"Status","Year","Sex","Function_of_post","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Analysis","Asian","210","200","43230","38630"
"In post","2021","Female","Analysis","Black","100","100","38410","36120"
"In post","2021","Female","Analysis","Chinese","30","30","[c]","[c]"
"In post","2021","Female","Analysis","Mixed","90","80","42220","37020"
"In post","2021","Female","Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Undeclared","60","60","44850","42220"
"In post","2021","Female","Analysis","Unknown","380","360","40660","36980"
"In post","2021","Female","Analysis","White","2370","2200","42260","37320"
"In post","2021","Female","Commercial","Asian","140","130","39670","34550"
"In post","2021","Female","Commercial","Black","120","120","38600","36060"
"In post","2021","Female","Commercial","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Mixed","60","60","38630","34670"
"In post","2021","Female","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Undeclared","120","110","36780","34090"
"In post","2021","Female","Commercial","Unknown","770","750","56350","53320"
"In post","2021","Female","Commercial","White","2290","2170","39550","35570"
"In post","2021","Female","Communications","Asian","210","210","35740","31810"
"In post","2021","Female","Communications","Black","140","130","33700","31810"
"In post","2021","Female","Communications","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Mixed","100","100","37080","33730"
"In post","2021","Female","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Undeclared","90","80","35730","31810"
"In post","2021","Female","Communications","Unknown","1070","1030","33840","28500"
"In post","2021","Female","Communications","White","2650","2470","36250","31810"
"In post","2021","Female","Counter Fraud","Asian","290","270","31500","29570"
"In post","2021","Female","Counter Fraud","Black","160","160","31400","29570"
"In post","2021","Female","Counter Fraud","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Mixed","60","50","30820","27830"
"In post","2021","Female","Counter Fraud","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Undeclared","200","180","33730","31810"
"In post","2021","Female","Counter Fraud","Unknown","730","680","30840","29570"
"In post","2021","Female","Counter Fraud","White","3050","2760","32830","31810"
"In post","2021","Female","Debt","Asian","220","180","23710","24360"
"In post","2021","Female","Debt","Black","100","90","25420","24120"
"In post","2021","Female","Debt","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Debt","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Debt","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Debt","Undeclared","80","60","24390","24120"
"In post","2021","Female","Debt","Unknown","810","730","21600","20140"
"In post","2021","Female","Debt","White","1400","1180","24040","21440"
"In post","2021","Female","Digital, Data & Technology","Asian","320","310","41290","36390"
"In post","2021","Female","Digital, Data & Technology","Black","160","150","38250","35960"
"In post","2021","Female","Digital, Data & Technology","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","Mixed","100","100","42300","40480"
"In post","2021","Female","Digital, Data & Technology","Other ethnicity","30","30","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","Undeclared","150","150","41060","38540"
"In post","2021","Female","Digital, Data & Technology","Unknown","790","760","40470","36780"
"In post","2021","Female","Digital, Data & Technology","White","3420","3220","40170","37540"
"In post","2021","Female","Finance","Asian","360","340","36730","33660"
"In post","2021","Female","Finance","Black","220","210","38080","35990"
"In post","2021","Female","Finance","Chinese","30","30","[c]","[c]"
"In post","2021","Female","Finance","Mixed","90","80","39700","36590"
"In post","2021","Female","Finance","Other ethnicity","30","30","[c]","[c]"
"In post","2021","Female","Finance","Undeclared","160","140","36980","33300"
"In post","2021","Female","Finance","Unknown","640","590","34580","31810"
"In post","2021","Female","Finance","White","3760","3440","37060","32780"
"In post","2021","Female","Grants Management","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","Unknown","370","350","23980","21050"
"In post","2021","Female","Grants Management","White","670","560","25670","24920"
"In post","2021","Female","Human Resources","Asian","360","340","37070","33950"
"In post","2021","Female","Human Resources","Black","260","250","37270","33820"
"In post","2021","Female","Human Resources","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Mixed","120","110","41230","37010"
"In post","2021","Female","Human Resources","Other ethnicity","40","30","[c]","[c]"
"In post","2021","Female","Human Resources","Undeclared","180","160","35680","32180"
"In post","2021","Female","Human Resources","Unknown","630","600","34910","31660"
"In post","2021","Female","Human Resources","White","5090","4730","37480","32960"
"In post","2021","Female","Internal Audit","Asian","40","40","[c]","[c]"
"In post","2021","Female","Internal Audit","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","White","290","270","44100","41550"
"In post","2021","Female","Legal","Asian","780","710","42110","40920"
"In post","2021","Female","Legal","Black","480","450","40580","35000"
"In post","2021","Female","Legal","Chinese","40","40","[c]","[c]"
"In post","2021","Female","Legal","Mixed","230","210","46690","50520"
"In post","2021","Female","Legal","Other ethnicity","100","90","50630","52730"
"In post","2021","Female","Legal","Undeclared","190","170","45820","43460"
"In post","2021","Female","Legal","Unknown","2110","1900","35430","29350"
"In post","2021","Female","Legal","White","5790","5200","45160","46080"
"In post","2021","Female","No function","Asian","5100","4660","32200","28130"
"In post","2021","Female","No function","Black","3590","3420","31690","28690"
"In post","2021","Female","No function","Chinese","260","250","36900","32790"
"In post","2021","Female","No function","Mixed","1880","1770","33510","30500"
"In post","2021","Female","No function","Other ethnicity","540","500","35510","31810"
"In post","2021","Female","No function","Undeclared","2820","2560","32990","29190"
"In post","2021","Female","No function","Unknown","15770","14560","29290","25560"
"In post","2021","Female","No function","White","69400","62520","31850","27380"
"In post","2021","Female","Project Delivery","Asian","560","540","41070","37640"
"In post","2021","Female","Project Delivery","Black","400","390","39120","36160"
"In post","2021","Female","Project Delivery","Chinese","30","30","[c]","[c]"
"In post","2021","Female","Project Delivery","Mixed","230","220","41000","36890"
"In post","2021","Female","Project Delivery","Other ethnicity","70","70","43770","39100"
"In post","2021","Female","Project Delivery","Undeclared","460","440","39630","37320"
"In post","2021","Female","Project Delivery","Unknown","1310","1250","41740","38630"
"In post","2021","Female","Project Delivery","White","9560","9010","39770","36160"
"In post","2021","Female","Property","Asian","160","140","31710","29450"
"In post","2021","Female","Property","Black","90","90","34880","31620"
"In post","2021","Female","Property","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Mixed","60","50","33330","31600"
"In post","2021","Female","Property","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Undeclared","150","130","34320","33250"
"In post","2021","Female","Property","Unknown","650","590","28710","25860"
"In post","2021","Female","Property","White","2760","2550","33050","30990"
"In post","2021","Female","Security","Asian","80","70","34800","33080"
"In post","2021","Female","Security","Black","40","40","[c]","[c]"
"In post","2021","Female","Security","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Mixed","40","30","[c]","[c]"
"In post","2021","Female","Security","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Undeclared","70","70","33600","33300"
"In post","2021","Female","Security","Unknown","330","310","30490","26670"
"In post","2021","Female","Security","White","1510","1460","31950","28870"
"In post","2021","Female","Unknown","Asian","7490","6570","29400","27570"
"In post","2021","Female","Unknown","Black","4200","3900","30300","29360"
"In post","2021","Female","Unknown","Chinese","240","220","32150","27570"
"In post","2021","Female","Unknown","Mixed","1750","1610","30690","27570"
"In post","2021","Female","Unknown","Other ethnicity","480","440","31050","28850"
"In post","2021","Female","Unknown","Undeclared","3790","3270","29200","27570"
"In post","2021","Female","Unknown","Unknown","6740","6150","31070","27570"
"In post","2021","Female","Unknown","White","73670","64900","29680","27570"
"In post","2021","Male","Analysis","Asian","220","220","42530","39730"
"In post","2021","Male","Analysis","Black","80","80","41080","39870"
"In post","2021","Male","Analysis","Chinese","30","30","[c]","[c]"
"In post","2021","Male","Analysis","Mixed","110","100","42560","38160"
"In post","2021","Male","Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Male","Analysis","Undeclared","180","180","44990","41790"
"In post","2021","Male","Analysis","Unknown","570","560","41030","36570"
"In post","2021","Male","Analysis","White","2710","2660","45000","39850"
"In post","2021","Male","Commercial","Asian","140","130","42930","37920"
"In post","2021","Male","Commercial","Black","60","60","43940","40580"
"In post","2021","Male","Commercial","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Male","Commercial","Mixed","40","40","[c]","[c]"
"In post","2021","Male","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Male","Commercial","Undeclared","160","160","43310","40580"
"In post","2021","Male","Commercial","Unknown","840","830","61620","56340"
"In post","2021","Male","Commercial","White","2200","2170","45430","40580"
"In post","2021","Male","Communications","Asian","290","290","30500","26210"
"In post","2021","Male","Communications","Black","70","70","31410","25560"
"In post","2021","Male","Communications","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Male","Communications","Mixed","60","60","35410","31810"
"In post","2021","Male","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
