"Status","Year","Organisation","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Scotland","Female","80","70","30250","29190"
"In post","2021","Accountant in Bankruptcy","Scotland","Male","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Female","60","60","29660","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Male","40","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","Female","110","110","40100","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","Male","90","90","45330","43750"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","Female","90","80","29580","26380"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","Male","50","50","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","Female","80","70","29720","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","Male","60","60","30000","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","Female","50","50","28900","28660"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","Male","50","50","31960","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","Female","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","Female","60","50","30560","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","Male","40","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Female","60","50","30520","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Male","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Female","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Male","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","Female","50","50","32490","29180"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East of England","Female","70","70","31020","28710"
"In post","2021","Animal and Plant Health Agency","East of England","Male","70","70","31670","30400"
"In post","2021","Animal and Plant Health Agency","London","Female","50","50","36390","31800"
"In post","2021","Animal and Plant Health Agency","London","Male","60","60","37660","31800"
"In post","2021","Animal and Plant Health Agency","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North West (England)","Female","180","170","27860","24920"
"In post","2021","Animal and Plant Health Agency","North West (England)","Male","100","90","28190","25100"
