"Status","Year","Responsibility_level","Disability","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Commercial","70","60","22520","21590"
"In post","2021","AA/AO","Declared disabled","Communications","80","60","21260","21130"
"In post","2021","AA/AO","Declared disabled","Counter Fraud","110","100","21730","21440"
"In post","2021","AA/AO","Declared disabled","Debt","280","240","21260","20220"
"In post","2021","AA/AO","Declared disabled","Digital, Data & Technology","50","40","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Finance","150","120","21110","21180"
"In post","2021","AA/AO","Declared disabled","Grants Management","80","70","21050","21050"
"In post","2021","AA/AO","Declared disabled","Human Resources","200","180","21450","21130"
"In post","2021","AA/AO","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Legal","200","180","22460","21950"
"In post","2021","AA/AO","Declared disabled","No function","6700","5930","22540","21440"
"In post","2021","AA/AO","Declared disabled","Project Delivery","60","60","21790","21490"
"In post","2021","AA/AO","Declared disabled","Property","160","150","21430","21100"
"In post","2021","AA/AO","Declared disabled","Security","350","340","26690","21130"
"In post","2021","AA/AO","Declared disabled","Unknown","7040","6070","21290","21010"
"In post","2021","AA/AO","Declared non-disabled","Analysis","110","100","22020","21050"
"In post","2021","AA/AO","Declared non-disabled","Commercial","320","300","21900","21130"
"In post","2021","AA/AO","Declared non-disabled","Communications","290","260","21420","21130"
"In post","2021","AA/AO","Declared non-disabled","Counter Fraud","450","400","21440","21440"
"In post","2021","AA/AO","Declared non-disabled","Debt","1500","1330","21120","20140"
"In post","2021","AA/AO","Declared non-disabled","Digital, Data & Technology","250","230","21720","21220"
"In post","2021","AA/AO","Declared non-disabled","Finance","860","730","21210","21130"
"In post","2021","AA/AO","Declared non-disabled","Grants Management","860","770","21000","21050"
"In post","2021","AA/AO","Declared non-disabled","Human Resources","1010","920","21310","21030"
"In post","2021","AA/AO","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared non-disabled","Legal","1020","910","22640","21950"
"In post","2021","AA/AO","Declared non-disabled","No function","40740","36880","23210","21590"
"In post","2021","AA/AO","Declared non-disabled","Project Delivery","400","370","21640","21440"
"In post","2021","AA/AO","Declared non-disabled","Property","1390","1290","21740","21100"
"In post","2021","AA/AO","Declared non-disabled","Security","3280","3210","25830","21030"
"In post","2021","AA/AO","Declared non-disabled","Unknown","36050","31690","21390","21010"
"In post","2021","AA/AO","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Commercial","30","30","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Communications","30","30","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Counter Fraud","50","50","21430","21440"
"In post","2021","AA/AO","Undeclared","Debt","140","120","21620","21400"
"In post","2021","AA/AO","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Finance","70","60","21290","21440"
"In post","2021","AA/AO","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Human Resources","100","90","21430","21090"
"In post","2021","AA/AO","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","No function","6290","5590","25580","23270"
"In post","2021","AA/AO","Undeclared","Project Delivery","60","50","21480","21130"
"In post","2021","AA/AO","Undeclared","Property","110","100","20400","21100"
"In post","2021","AA/AO","Undeclared","Security","370","360","28000","21880"
"In post","2021","AA/AO","Undeclared","Unknown","2280","2070","21330","21010"
"In post","2021","AA/AO","Unknown","Analysis","70","60","20630","19130"
"In post","2021","AA/AO","Unknown","Commercial","100","90","22560","21880"
"In post","2021","AA/AO","Unknown","Communications","100","90","21660","21440"
"In post","2021","AA/AO","Unknown","Counter Fraud","240","200","21430","21400"
"In post","2021","AA/AO","Unknown","Debt","1490","1380","20650","20140"
"In post","2021","AA/AO","Unknown","Digital, Data & Technology","140","130","21800","21580"
"In post","2021","AA/AO","Unknown","Finance","420","350","20890","20140"
"In post","2021","AA/AO","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Human Resources","300","270","21370","21000"
"In post","2021","AA/AO","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Legal","1350","1220","21610","21950"
"In post","2021","AA/AO","Unknown","No function","16780","15400","22100","21300"
"In post","2021","AA/AO","Unknown","Project Delivery","100","100","21700","21440"
"In post","2021","AA/AO","Unknown","Property","700","660","21230","20880"
"In post","2021","AA/AO","Unknown","Security","1520","1490","28320","25540"
"In post","2021","AA/AO","Unknown","Unknown","3690","3490","21760","21150"
"In post","2021","EO","Declared disabled","Analysis","60","60","27130","27200"
"In post","2021","EO","Declared disabled","Commercial","90","80","27240","26780"
"In post","2021","EO","Declared disabled","Communications","200","190","25920","25560"
"In post","2021","EO","Declared disabled","Counter Fraud","270","250","27130","25720"
"In post","2021","EO","Declared disabled","Debt","80","70","26780","25560"
"In post","2021","EO","Declared disabled","Digital, Data & Technology","260","240","27470","26670"
"In post","2021","EO","Declared disabled","Finance","160","140","26090","26580"
"In post","2021","EO","Declared disabled","Grants Management","30","30","[c]","[c]"
"In post","2021","EO","Declared disabled","Human Resources","220","200","26930","26670"
"In post","2021","EO","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","EO","Declared disabled","Legal","220","200","28050","28430"
"In post","2021","EO","Declared disabled","No function","3130","2910","27940","27130"
"In post","2021","EO","Declared disabled","Project Delivery","500","470","25080","26000"
"In post","2021","EO","Declared disabled","Property","160","140","27110","26670"
"In post","2021","EO","Declared disabled","Security","120","110","31780","27500"
"In post","2021","EO","Declared disabled","Unknown","10190","9120","27980","27570"
"In post","2021","EO","Declared non-disabled","Analysis","460","430","26580","26350"
"In post","2021","EO","Declared non-disabled","Commercial","580","550","27000","26670"
"In post","2021","EO","Declared non-disabled","Communications","1600","1540","25770","25560"
"In post","2021","EO","Declared non-disabled","Counter Fraud","1990","1880","26940","25560"
"In post","2021","EO","Declared non-disabled","Debt","590","530","26880","25560"
"In post","2021","EO","Declared non-disabled","Digital, Data & Technology","1280","1230","27420","26670"
"In post","2021","EO","Declared non-disabled","Finance","1150","1090","26490","26670"
"In post","2021","EO","Declared non-disabled","Grants Management","490","450","25490","25190"
"In post","2021","EO","Declared non-disabled","Human Resources","1080","1010","26490","26590"
"In post","2021","EO","Declared non-disabled","Internal Audit","40","30","[c]","[c]"
"In post","2021","EO","Declared non-disabled","Legal","1370","1270","28060","28430"
"In post","2021","EO","Declared non-disabled","No function","19250","17980","27680","27080"
"In post","2021","EO","Declared non-disabled","Project Delivery","3060","2920","24790","25720"
"In post","2021","EO","Declared non-disabled","Property","1330","1260","27630","26670"
"In post","2021","EO","Declared non-disabled","Security","740","730","32530","28210"
"In post","2021","EO","Declared non-disabled","Unknown","52430","47800","27860","27570"
"In post","2021","EO","Undeclared","Analysis","40","30","[c]","[c]"
"In post","2021","EO","Undeclared","Commercial","60","50","26720","26670"
"In post","2021","EO","Undeclared","Communications","120","110","25740","25560"
"In post","2021","EO","Undeclared","Counter Fraud","180","170","27510","27120"
"In post","2021","EO","Undeclared","Debt","50","40","[c]","[c]"
"In post","2021","EO","Undeclared","Digital, Data & Technology","110","110","28120","26780"
"In post","2021","EO","Undeclared","Finance","100","90","26810","26670"
"In post","2021","EO","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Human Resources","80","80","27250","26710"
"In post","2021","EO","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Legal","40","30","[c]","[c]"
"In post","2021","EO","Undeclared","No function","2510","2360","29400","28130"
"In post","2021","EO","Undeclared","Project Delivery","330","310","26260","26670"
"In post","2021","EO","Undeclared","Property","130","130","27360","26530"
"In post","2021","EO","Undeclared","Security","110","110","36010","40190"
"In post","2021","EO","Undeclared","Unknown","3340","3110","27990","27570"
"In post","2021","EO","Unknown","Analysis","180","170","25690","25000"
"In post","2021","EO","Unknown","Commercial","140","140","25850","25890"
"In post","2021","EO","Unknown","Communications","1280","1240","25780","25560"
"In post","2021","EO","Unknown","Counter Fraud","960","910","26950","25560"
"In post","2021","EO","Unknown","Debt","240","230","26640","25560"
"In post","2021","EO","Unknown","Digital, Data & Technology","640","620","27360","26670"
"In post","2021","EO","Unknown","Finance","280","270","26360","26120"
"In post","2021","EO","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Human Resources","390","380","26940","26680"
"In post","2021","EO","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Legal","820","770","28070","29350"
"In post","2021","EO","Unknown","No function","8230","7840","29180","28170"
"In post","2021","EO","Unknown","Project Delivery","720","680","24380","25560"
"In post","2021","EO","Unknown","Property","330","310","26910","25930"
"In post","2021","EO","Unknown","Security","210","210","30070","26670"
"In post","2021","EO","Unknown","Unknown","4140","4000","28000","27570"
"In post","2021","G6/G7","Declared disabled","Analysis","160","150","58680","57390"
"In post","2021","G6/G7","Declared disabled","Commercial","80","80","60270","57370"
"In post","2021","G6/G7","Declared disabled","Communications","50","40","[c]","[c]"
"In post","2021","G6/G7","Declared disabled","Counter Fraud","90","80","57750","54700"
"In post","2021","G6/G7","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Declared disabled","Digital, Data & Technology","240","230","57470","56570"
"In post","2021","G6/G7","Declared disabled","Finance","150","150","57990","57910"
"In post","2021","G6/G7","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Declared disabled","Human Resources","250","240","57590","55570"
"In post","2021","G6/G7","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Declared disabled","Legal","500","450","59700","58040"
"In post","2021","G6/G7","Declared disabled","No function","1490","1440","57740","54730"
"In post","2021","G6/G7","Declared disabled","Project Delivery","570","560","57000","55620"
"In post","2021","G6/G7","Declared disabled","Property","100","100","57660","56360"
"In post","2021","G6/G7","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Declared disabled","Unknown","910","880","59840","57680"
"In post","2021","G6/G7","Declared non-disabled","Analysis","1630","1560","58860","57390"
"In post","2021","G6/G7","Declared non-disabled","Commercial","820","800","61430","59850"
"In post","2021","G6/G7","Declared non-disabled","Communications","680","660","58030","56140"
"In post","2021","G6/G7","Declared non-disabled","Counter Fraud","770","740","57320","55010"
"In post","2021","G6/G7","Declared non-disabled","Debt","30","30","[c]","[c]"
"In post","2021","G6/G7","Declared non-disabled","Digital, Data & Technology","2460","2410","57340","54730"
"In post","2021","G6/G7","Declared non-disabled","Finance","1470","1430","58780","57670"
"In post","2021","G6/G7","Declared non-disabled","Grants Management","50","50","52360","49800"
"In post","2021","G6/G7","Declared non-disabled","Human Resources","1350","1310","57890","56380"
"In post","2021","G6/G7","Declared non-disabled","Internal Audit","160","150","58610","56610"
"In post","2021","G6/G7","Declared non-disabled","Legal","4280","3960","59590","58150"
"In post","2021","G6/G7","Declared non-disabled","No function","14470","13980","58590","55940"
"In post","2021","G6/G7","Declared non-disabled","Project Delivery","5090","4960","57480","55620"
"In post","2021","G6/G7","Declared non-disabled","Property","940","910","57700","55900"
"In post","2021","G6/G7","Declared non-disabled","Security","260","260","60350","57860"
"In post","2021","G6/G7","Declared non-disabled","Unknown","8740","8410","60620","59730"
"In post","2021","G6/G7","Undeclared","Analysis","140","130","55680","54760"
"In post","2021","G6/G7","Undeclared","Commercial","70","70","63230","60420"
"In post","2021","G6/G7","Undeclared","Communications","50","50","59550","58430"
"In post","2021","G6/G7","Undeclared","Counter Fraud","100","100","58010","54790"
"In post","2021","G6/G7","Undeclared","Debt","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Undeclared","Digital, Data & Technology","160","160","57370","54870"
"In post","2021","G6/G7","Undeclared","Finance","120","120","58200","57350"
"In post","2021","G6/G7","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Undeclared","Human Resources","90","80","59830","58700"
"In post","2021","G6/G7","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Undeclared","Legal","160","140","63030","64890"
"In post","2021","G6/G7","Undeclared","No function","1250","1210","57750","54760"
"In post","2021","G6/G7","Undeclared","Project Delivery","410","400","57340","55720"
"In post","2021","G6/G7","Undeclared","Property","90","80","57510","55930"
"In post","2021","G6/G7","Undeclared","Security","40","40","[c]","[c]"
