"Status","Year","Disability","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Commercial","Female","310","290","38920","36970"
"In post","2021","Declared disabled","Commercial","Male","200","190","41000","40580"
"In post","2021","Declared disabled","Communications","Female","150","140","38260","34320"
"In post","2021","Declared disabled","Communications","Male","110","110","36120","34240"
"In post","2021","Declared disabled","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Female","40","40","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Female","410","390","37340","33770"
"In post","2021","Declared disabled","Digital, Data and Technology","Male","630","620","40490","37410"
"In post","2021","Declared disabled","Economics","Female","40","40","[c]","[c]"
"In post","2021","Declared disabled","Economics","Male","60","60","47760","51970"
"In post","2021","Declared disabled","Finance","Female","460","410","36210","32180"
"In post","2021","Declared disabled","Finance","Male","310","300","40300","37410"
"In post","2021","Declared disabled","Human Resources","Female","700","650","39420","35000"
"In post","2021","Declared disabled","Human Resources","Male","280","280","41120","36720"
"In post","2021","Declared disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","Female","40","40","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Female","150","140","31150","28760"
"In post","2021","Declared disabled","Intelligence Analysis","Male","160","150","35720","33300"
"In post","2021","Declared disabled","Internal Audit","Female","50","40","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Male","50","40","[c]","[c]"
"In post","2021","Declared disabled","International Trade","Female","60","60","44740","39360"
"In post","2021","Declared disabled","International Trade","Male","50","50","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Female","140","130","33770","33300"
"In post","2021","Declared disabled","Knowledge and Information Management","Male","130","130","35540","32860"
"In post","2021","Declared disabled","Legal","Female","580","530","48450","50520"
"In post","2021","Declared disabled","Legal","Male","390","370","48630","50520"
"In post","2021","Declared disabled","Medicine","Female","80","70","50710","38640"
"In post","2021","Declared disabled","Medicine","Male","40","40","[c]","[c]"
"In post","2021","Declared disabled","Operational Delivery","Female","10310","9120","27340","24940"
"In post","2021","Declared disabled","Operational Delivery","Male","7040","6610","29010","26780"
"In post","2021","Declared disabled","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","Female","60","50","40910","38970"
"In post","2021","Declared disabled","Operational Research","Male","80","80","43130","38630"
"In post","2021","Declared disabled","Other","Female","1000","920","27950","24620"
"In post","2021","Declared disabled","Other","Male","900","870","28960","26250"
"In post","2021","Declared disabled","Planning","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning Inspectors","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning Inspectors","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Policy","Female","1390","1340","43880","39330"
"In post","2021","Declared disabled","Policy","Male","1070","1050","46330","41760"
"In post","2021","Declared disabled","Project Delivery","Female","850","810","39060","36160"
"In post","2021","Declared disabled","Project Delivery","Male","630","610","42280","40000"
"In post","2021","Declared disabled","Property","Female","270","250","34870","33000"
"In post","2021","Declared disabled","Property","Male","300","290","35610","33300"
"In post","2021","Declared disabled","Psychology","Female","100","100","32800","29750"
"In post","2021","Declared disabled","Psychology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Science and Engineering","Female","370","350","35310","32560"
"In post","2021","Declared disabled","Science and Engineering","Male","750","730","37500","37210"
"In post","2021","Declared disabled","Security","Female","150","150","30900","28200"
"In post","2021","Declared disabled","Security","Male","450","430","32240","28970"
"In post","2021","Declared disabled","Social Research","Female","80","70","42580","40200"
"In post","2021","Declared disabled","Social Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Statistics","Female","80","80","42520","39090"
"In post","2021","Declared disabled","Statistics","Male","90","90","43580","38090"
"In post","2021","Declared disabled","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Tax","Female","710","650","34180","31810"
"In post","2021","Declared disabled","Tax","Male","650","610","36370","31940"
"In post","2021","Declared disabled","Unknown","Female","11490","9870","28250","27570"
"In post","2021","Declared disabled","Unknown","Male","6000","5660","29240","27570"
"In post","2021","Declared disabled","Veterinarian","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinarian","Male","[c]","[c]","[c]","[c]"
