"Status","Year","Sexual_orientation","Ethnicity","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Asian","East Midlands (England)","1320","1210","27270","25560"
"In post","2021","Heterosexual / straight","Asian","East of England","940","850","30070","27570"
"In post","2021","Heterosexual / straight","Asian","London","11160","10620","37240","32090"
"In post","2021","Heterosexual / straight","Asian","North East (England)","310","290","28060","25560"
"In post","2021","Heterosexual / straight","Asian","North West (England)","2080","1940","28020","25560"
"In post","2021","Heterosexual / straight","Asian","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Overseas","130","130","45910","41090"
"In post","2021","Heterosexual / straight","Asian","Scotland","420","390","32500","27570"
"In post","2021","Heterosexual / straight","Asian","South East (England)","1150","1070","30290","27850"
"In post","2021","Heterosexual / straight","Asian","South West (England)","650","620","34380","31690"
"In post","2021","Heterosexual / straight","Asian","Unknown","130","120","30270","27570"
"In post","2021","Heterosexual / straight","Asian","Wales","370","350","30420","25560"
"In post","2021","Heterosexual / straight","Asian","West Midlands (England)","3240","3040","27950","26130"
"In post","2021","Heterosexual / straight","Asian","Yorkshire and The Humber","1830","1710","28320","26780"
"In post","2021","Heterosexual / straight","Black","East Midlands (England)","420","400","26960","25560"
"In post","2021","Heterosexual / straight","Black","East of England","500","480","30510","29290"
"In post","2021","Heterosexual / straight","Black","London","8200","7960","34640","31060"
"In post","2021","Heterosexual / straight","Black","North East (England)","120","110","27390","25560"
"In post","2021","Heterosexual / straight","Black","North West (England)","600","570","28840","27570"
"In post","2021","Heterosexual / straight","Black","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Overseas","60","60","42250","37500"
"In post","2021","Heterosexual / straight","Black","Scotland","210","200","31650","27570"
"In post","2021","Heterosexual / straight","Black","South East (England)","740","700","30420","29290"
"In post","2021","Heterosexual / straight","Black","South West (England)","480","460","32480","31000"
"In post","2021","Heterosexual / straight","Black","Unknown","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Wales","160","150","29170","27360"
"In post","2021","Heterosexual / straight","Black","West Midlands (England)","970","910","28570","27570"
"In post","2021","Heterosexual / straight","Black","Yorkshire and The Humber","450","430","29110","27570"
"In post","2021","Heterosexual / straight","Chinese","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","London","440","430","43180","39290"
"In post","2021","Heterosexual / straight","Chinese","North East (England)","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","North West (England)","110","100","29420","25310"
"In post","2021","Heterosexual / straight","Chinese","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Scotland","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","South East (England)","80","70","31690","28660"
"In post","2021","Heterosexual / straight","Chinese","South West (England)","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Wales","50","50","31850","29200"
"In post","2021","Heterosexual / straight","Chinese","West Midlands (England)","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Yorkshire and The Humber","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Mixed","East Midlands (England)","250","230","30290","27570"
"In post","2021","Heterosexual / straight","Mixed","East of England","340","320","30250","28200"
"In post","2021","Heterosexual / straight","Mixed","London","2650","2570","40690","35520"
"In post","2021","Heterosexual / straight","Mixed","North East (England)","170","160","28290","25790"
"In post","2021","Heterosexual / straight","Mixed","North West (England)","580","540","29690","26550"
"In post","2021","Heterosexual / straight","Mixed","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Mixed","Overseas","80","80","49220","51220"
"In post","2021","Heterosexual / straight","Mixed","Scotland","190","180","35150","27570"
"In post","2021","Heterosexual / straight","Mixed","South East (England)","520","500","31630","29290"
"In post","2021","Heterosexual / straight","Mixed","South West (England)","470","450","32810","28730"
"In post","2021","Heterosexual / straight","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Mixed","Wales","300","280","31370","27570"
"In post","2021","Heterosexual / straight","Mixed","West Midlands (England)","420","390","28420","26720"
"In post","2021","Heterosexual / straight","Mixed","Yorkshire and The Humber","390","370","31880","27570"
"In post","2021","Heterosexual / straight","Other ethnicity","East Midlands (England)","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","East of England","90","80","33740","29070"
"In post","2021","Heterosexual / straight","Other ethnicity","London","910","870","40550","35010"
"In post","2021","Heterosexual / straight","Other ethnicity","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","North West (England)","110","110","31590","27570"
"In post","2021","Heterosexual / straight","Other ethnicity","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Scotland","60","50","35240","27570"
"In post","2021","Heterosexual / straight","Other ethnicity","South East (England)","160","150","29040","26950"
"In post","2021","Heterosexual / straight","Other ethnicity","South West (England)","120","110","32070","28580"
"In post","2021","Heterosexual / straight","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Wales","70","70","31810","27680"
"In post","2021","Heterosexual / straight","Other ethnicity","West Midlands (England)","120","110","28810","26560"
"In post","2021","Heterosexual / straight","Other ethnicity","Yorkshire and The Humber","80","80","32610","27160"
"In post","2021","Heterosexual / straight","Undeclared","East Midlands (England)","130","120","27210","27250"
"In post","2021","Heterosexual / straight","Undeclared","East of England","140","120","29170","27570"
"In post","2021","Heterosexual / straight","Undeclared","London","880","840","38830","33620"
"In post","2021","Heterosexual / straight","Undeclared","North East (England)","110","100","27310","25560"
"In post","2021","Heterosexual / straight","Undeclared","North West (England)","250","230","28760","26720"
"In post","2021","Heterosexual / straight","Undeclared","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Overseas","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Scotland","260","240","33140","33520"
"In post","2021","Heterosexual / straight","Undeclared","South East (England)","270","260","31510","27920"
"In post","2021","Heterosexual / straight","Undeclared","South West (England)","180","180","33430","29440"
"In post","2021","Heterosexual / straight","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Wales","210","190","29190","27570"
"In post","2021","Heterosexual / straight","Undeclared","West Midlands (England)","210","200","27780","27570"
"In post","2021","Heterosexual / straight","Undeclared","Yorkshire and The Humber","210","190","29630","27570"
"In post","2021","Heterosexual / straight","Unknown","East Midlands (England)","180","170","29520","27130"
"In post","2021","Heterosexual / straight","Unknown","East of England","180","170","30420","28400"
"In post","2021","Heterosexual / straight","Unknown","London","750","720","43590","36240"
"In post","2021","Heterosexual / straight","Unknown","North East (England)","240","210","27470","24920"
"In post","2021","Heterosexual / straight","Unknown","North West (England)","400","370","29950","27570"
"In post","2021","Heterosexual / straight","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Scotland","270","240","31470","26780"
