"Status","Year","Responsibility_level","Profession_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Commercial","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Driver and Vehicle Licensing Agency","30","30","[c]","[c]"
"In post","2021","AA/AO","Commercial","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","HM Prison and Probation Service","60","50","23120","23240"
"In post","2021","AA/AO","Commercial","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Ministry of Defence (excl. agencies)","50","50","21550","20920"
"In post","2021","AA/AO","Commercial","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
