"Status","Year","Responsibility_level","Organisation","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Accountant in Bankruptcy","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Accountant in Bankruptcy","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Accountant in Bankruptcy","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Accountant in Bankruptcy","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Accountant in Bankruptcy","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Accountant in Bankruptcy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Accountant in Bankruptcy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Accountant in Bankruptcy","White","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Advisory, Conciliation and Arbitration Service","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Advisory, Conciliation and Arbitration Service","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Advisory, Conciliation and Arbitration Service","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Advisory, Conciliation and Arbitration Service","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Advisory, Conciliation and Arbitration Service","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Advisory, Conciliation and Arbitration Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Advisory, Conciliation and Arbitration Service","White","30","30","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","Undeclared","30","30","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","Unknown","80","70","22220","21050"
"In post","2021","AA/AO","Animal and Plant Health Agency","White","650","610","21800","21050"
"In post","2021","AA/AO","Cabinet Office (excl. agencies)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office (excl. agencies)","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office (excl. agencies)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office (excl. agencies)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office (excl. agencies)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office (excl. agencies)","Unknown","180","170","21470","20920"
"In post","2021","AA/AO","Cabinet Office (excl. agencies)","White","310","290","21770","20920"
"In post","2021","AA/AO","Centre for Environment, Fisheries and Aquaculture Science","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Centre for Environment, Fisheries and Aquaculture Science","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Centre for Environment, Fisheries and Aquaculture Science","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Centre for Environment, Fisheries and Aquaculture Science","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Centre for Environment, Fisheries and Aquaculture Science","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Centre for Environment, Fisheries and Aquaculture Science","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Centre for Environment, Fisheries and Aquaculture Science","White","50","50","20590","21050"
"In post","2021","AA/AO","Charity Commission","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","White","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Companies House","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Companies House","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Companies House","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Companies House","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Companies House","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Companies House","Undeclared","40","30","[c]","[c]"
"In post","2021","AA/AO","Companies House","Unknown","40","40","[c]","[c]"
"In post","2021","AA/AO","Companies House","White","340","290","21880","22490"
"In post","2021","AA/AO","Competition and Markets Authority","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Competition and Markets Authority","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Competition and Markets Authority","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Competition and Markets Authority","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Competition and Markets Authority","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Competition and Markets Authority","White","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Criminal Injuries Compensation Authority","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Criminal Injuries Compensation Authority","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Criminal Injuries Compensation Authority","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Criminal Injuries Compensation Authority","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Criminal Injuries Compensation Authority","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Criminal Injuries Compensation Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Criminal Injuries Compensation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Criminal Injuries Compensation Authority","White","80","70","20430","20650"
"In post","2021","AA/AO","Crown Commercial Service","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Commercial Service","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Commercial Service","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Commercial Service","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Commercial Service","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Commercial Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Commercial Service","White","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Office and Procurator Fiscal Service","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Office and Procurator Fiscal Service","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Office and Procurator Fiscal Service","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Office and Procurator Fiscal Service","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Office and Procurator Fiscal Service","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Office and Procurator Fiscal Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Office and Procurator Fiscal Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Office and Procurator Fiscal Service","White","670","590","21920","22220"
"In post","2021","AA/AO","Crown Prosecution Service","Asian","160","140","22740","23520"
"In post","2021","AA/AO","Crown Prosecution Service","Black","90","80","23120","23520"
"In post","2021","AA/AO","Crown Prosecution Service","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Mixed","30","30","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Unknown","170","160","21640","21950"
"In post","2021","AA/AO","Crown Prosecution Service","White","970","890","22150","21950"
"In post","2021","AA/AO","Crown Prosecution Service Inspectorate","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service Inspectorate","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service Inspectorate","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service Inspectorate","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service Inspectorate","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service Inspectorate","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service Inspectorate","White","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Defence Electronics and Components Agency","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Defence Electronics and Components Agency","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Defence Electronics and Components Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Defence Electronics and Components Agency","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Defence Electronics and Components Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Defence Electronics and Components Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Defence Electronics and Components Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Defence Electronics and Components Agency","White","80","70","20110","21000"
"In post","2021","AA/AO","Defence Science and Technology Laboratory","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Defence Science and Technology Laboratory","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Defence Science and Technology Laboratory","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Defence Science and Technology Laboratory","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Defence Science and Technology Laboratory","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Defence Science and Technology Laboratory","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Defence Science and Technology Laboratory","Unknown","30","30","[c]","[c]"
"In post","2021","AA/AO","Defence Science and Technology Laboratory","White","90","90","18810","17710"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","White","40","40","[c]","[c]"
"In post","2021","AA/AO","Department for Digital, Culture, Media and Sport","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Digital, Culture, Media and Sport","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Digital, Culture, Media and Sport","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Digital, Culture, Media and Sport","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Digital, Culture, Media and Sport","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Digital, Culture, Media and Sport","White","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education (excl. agencies)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education (excl. agencies)","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education (excl. agencies)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education (excl. agencies)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education (excl. agencies)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education (excl. agencies)","White","50","40","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","White","100","80","22280","21050"
"In post","2021","AA/AO","Department for International Trade","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for International Trade","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for International Trade","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for International Trade","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for International Trade","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for International Trade","White","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport (excl. agencies)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport (excl. agencies)","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport (excl. agencies)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport (excl. agencies)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport (excl. agencies)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport (excl. agencies)","Unknown","60","50","29210","32740"
"In post","2021","AA/AO","Department for Transport (excl. agencies)","White","60","50","27040","25730"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Asian","2240","1870","21770","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Black","850","770","22750","22680"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Chinese","60","50","21380","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Mixed","480","440","21720","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Other ethnicity","120","110","22030","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Undeclared","1550","1310","21250","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Unknown","2040","1770","21110","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","White","21970","18780","21030","21010"
"In post","2021","AA/AO","Department of Health and Social Care (excl. agencies)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department of Health and Social Care (excl. agencies)","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department of Health and Social Care (excl. agencies)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department of Health and Social Care (excl. agencies)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department of Health and Social Care (excl. agencies)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department of Health and Social Care (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department of Health and Social Care (excl. agencies)","White","[c]","[c]","[c]","[c]"
