"Status","Year","Sexual_orientation","Ethnicity","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Asian","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Advisory, Conciliation and Arbitration Service","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Animal and Plant Health Agency","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Cabinet Office (excl. agencies)","420","410","45750","40600"
"In post","2021","Heterosexual / straight","Asian","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Competition and Markets Authority","100","90","45380","36990"
"In post","2021","Heterosexual / straight","Asian","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Crown Office and Procurator Fiscal Service","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Crown Prosecution Service","500","460","39580","35020"
"In post","2021","Heterosexual / straight","Asian","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Defence Equipment and Support","290","280","33760","31950"
"In post","2021","Heterosexual / straight","Asian","Defence Science and Technology Laboratory","50","50","42740","38100"
"In post","2021","Heterosexual / straight","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","390","390","44010","40050"
"In post","2021","Heterosexual / straight","Asian","Department for Digital, Culture, Media and Sport","110","110","46790","42020"
"In post","2021","Heterosexual / straight","Asian","Department for Education (excl. agencies)","410","400","39800","36500"
"In post","2021","Heterosexual / straight","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","220","220","39970","35900"
"In post","2021","Heterosexual / straight","Asian","Department for International Trade","190","190","41790","38300"
"In post","2021","Heterosexual / straight","Asian","Department for Transport (excl. agencies)","260","260","45310","42680"
"In post","2021","Heterosexual / straight","Asian","Department for Work and Pensions (excl. agencies)","5430","5000","28060","27570"
"In post","2021","Heterosexual / straight","Asian","Department of Health and Social Care (excl. agencies)","140","140","42050","36820"
"In post","2021","Heterosexual / straight","Asian","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Driver and Vehicle Licensing Agency","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Driver and Vehicle Standards Agency","80","80","30010","30470"
"In post","2021","Heterosexual / straight","Asian","Education and Skills Funding Agency","150","150","39210","36780"
"In post","2021","Heterosexual / straight","Asian","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","FCDO Services","50","50","33840","28980"
"In post","2021","Heterosexual / straight","Asian","Food Standards Agency","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","360","350","43500","38130"
"In post","2021","Heterosexual / straight","Asian","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Government Internal Audit Agency","50","50","47860","49430"
"In post","2021","Heterosexual / straight","Asian","Government Legal Department","210","190","48420","51250"
"In post","2021","Heterosexual / straight","Asian","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Health and Safety Executive","50","50","50280","44690"
