"Status","Year","Age","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","60","50","22230","21150"
"In post","2021","16-19","Declared non-disabled","690","670","21650","21010"
"In post","2021","16-19","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","560","540","20660","20140"
"In post","2021","20-29","Declared disabled","4930","4840","28940","27570"
"In post","2021","20-29","Declared non-disabled","46500","45820","29220","27570"
"In post","2021","20-29","Undeclared","2770","2730","30540","28650"
"In post","2021","20-29","Unknown","23220","22910","28590","27150"
"In post","2021","30-39","Declared disabled","8140","7700","32630","28680"
"In post","2021","30-39","Declared non-disabled","69240","65420","34400","30820"
"In post","2021","30-39","Undeclared","5450","5190","34400","31180"
"In post","2021","30-39","Unknown","20580","19750","34810","31470"
"In post","2021","40-49","Declared disabled","11800","10920","32810","27570"
"In post","2021","40-49","Declared non-disabled","76850","71760","36510","31550"
"In post","2021","40-49","Undeclared","6830","6470","34900","31650"
"In post","2021","40-49","Unknown","16820","15930","38190","33090"
"In post","2021","50-59","Declared disabled","18450","17020","31890","27570"
"In post","2021","50-59","Declared non-disabled","94780","88820","34970","29710"
"In post","2021","50-59","Undeclared","10210","9680","33910","31650"
"In post","2021","50-59","Unknown","17590","16620","36960","32140"
"In post","2021","60-64","Declared disabled","5520","4470","29470","27570"
"In post","2021","60-64","Declared non-disabled","25080","20660","31920","27570"
"In post","2021","60-64","Undeclared","2620","2160","31380","27810"
"In post","2021","60-64","Unknown","4490","3750","32970","28130"
"In post","2021","65+","Declared disabled","1660","1240","28410","26410"
"In post","2021","65+","Declared non-disabled","7740","5910","30570","26780"
"In post","2021","65+","Undeclared","840","640","30050","26900"
"In post","2021","65+","Unknown","1410","1110","33420","26910"
"In post","2021","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","50","40","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","670","650","21990","21260"
"In post","2022","16-19","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","550","520","21610","21250"
"In post","2022","20-29","Declared disabled","5780","5680","29570","27570"
"In post","2022","20-29","Declared non-disabled","50380","49710","29790","27570"
"In post","2022","20-29","Undeclared","2440","2400","30730","28330"
"In post","2022","20-29","Unknown","25970","25630","29640","27570"
"In post","2022","30-39","Declared disabled","8910","8460","33620","30110"
"In post","2022","30-39","Declared non-disabled","73390","69750","35170","31080"
"In post","2022","30-39","Undeclared","5170","4930","34670","31100"
"In post","2022","30-39","Unknown","24060","23160","35640","32460"
"In post","2022","40-49","Declared disabled","12470","11580","33770","29080"
"In post","2022","40-49","Declared non-disabled","79270","74290","37450","31990"
"In post","2022","40-49","Undeclared","6450","6120","35550","31650"
"In post","2022","40-49","Unknown","18310","17390","39240","33600"
"In post","2022","50-59","Declared disabled","19400","17970","32680","27570"
"In post","2022","50-59","Declared non-disabled","95660","90010","35760","30820"
"In post","2022","50-59","Undeclared","9790","9280","34200","31650"
"In post","2022","50-59","Unknown","18190","17160","38060","33370"
"In post","2022","60-64","Declared disabled","6130","4990","30010","27570"
"In post","2022","60-64","Declared non-disabled","26930","22360","32460","27570"
"In post","2022","60-64","Undeclared","2790","2300","31630","28440"
"In post","2022","60-64","Unknown","4720","3980","34230","28920"
"In post","2022","65+","Declared disabled","1870","1420","29170","27320"
"In post","2022","65+","Declared non-disabled","8370","6460","31210","27480"
"In post","2022","65+","Undeclared","850","650","30300","27020"
"In post","2022","65+","Unknown","1500","1160","34230","28560"
"In post","2022","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Declared non-disabled","50","50","[c]","[c]"
"Leaver CS","2021","16-19","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Unknown","50","50","[c]","[c]"
"Leaver CS","2021","20-29","Declared disabled","310","300","25650","22670"
"Leaver CS","2021","20-29","Declared non-disabled","2620","2540","25870","24110"
"Leaver CS","2021","20-29","Undeclared","180","180","28000","24110"
"Leaver CS","2021","20-29","Unknown","2280","2170","24970","22680"
"Leaver CS","2021","30-39","Declared disabled","260","230","29580","27570"
"Leaver CS","2021","30-39","Declared non-disabled","2200","2030","34530","29470"
"Leaver CS","2021","30-39","Undeclared","220","200","33830","31060"
"Leaver CS","2021","30-39","Unknown","1400","1300","33220","29750"
"Leaver CS","2021","40-49","Declared disabled","330","290","30730","27570"
"Leaver CS","2021","40-49","Declared non-disabled","1800","1610","37070","29560"
"Leaver CS","2021","40-49","Undeclared","200","180","33890","27570"
"Leaver CS","2021","40-49","Unknown","1090","1000","37200","30750"
"Leaver CS","2021","50-59","Declared disabled","910","810","33180","27570"
"Leaver CS","2021","50-59","Declared non-disabled","3590","3220","36210","28230"
