"Status","Year","Sexual_orientation","Parent_department","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Attorney General's Departments","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","20-29","1000","990","30350","26970"
"In post","2021","Heterosexual / straight","Attorney General's Departments","30-39","1600","1510","44470","49580"
"In post","2021","Heterosexual / straight","Attorney General's Departments","40-49","1850","1710","47350","50520"
"In post","2021","Heterosexual / straight","Attorney General's Departments","50-59","1860","1750","48160","50500"
"In post","2021","Heterosexual / straight","Attorney General's Departments","60-64","350","300","47000","49580"
"In post","2021","Heterosexual / straight","Attorney General's Departments","65+","80","70","42490","31520"
"In post","2021","Heterosexual / straight","Cabinet Office","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","20-29","1070","1070","36450","34550"
"In post","2021","Heterosexual / straight","Cabinet Office","30-39","1290","1260","48490","54700"
"In post","2021","Heterosexual / straight","Cabinet Office","40-49","1030","1000","55760","54700"
"In post","2021","Heterosexual / straight","Cabinet Office","50-59","820","800","52580","42600"
"In post","2021","Heterosexual / straight","Cabinet Office","60-64","160","140","49020","35590"
"In post","2021","Heterosexual / straight","Cabinet Office","65+","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Chancellor's other departments","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chancellor's other departments","20-29","60","60","36220","35310"
"In post","2021","Heterosexual / straight","Chancellor's other departments","30-39","80","80","60030","55000"
"In post","2021","Heterosexual / straight","Chancellor's other departments","40-49","80","70","68520","65280"
"In post","2021","Heterosexual / straight","Chancellor's other departments","50-59","60","50","70370","56480"
"In post","2021","Heterosexual / straight","Chancellor's other departments","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chancellor's other departments","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","30-39","70","60","34180","29160"
"In post","2021","Heterosexual / straight","Charity Commission","40-49","70","60","35540","29160"
"In post","2021","Heterosexual / straight","Charity Commission","50-59","60","50","35960","29620"
"In post","2021","Heterosexual / straight","Charity Commission","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","20-29","120","120","39230","34150"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","30-39","260","250","59590","56630"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","40-49","180","170","70570","72430"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","50-59","110","110","65560","56630"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","20-29","1530","1520","38100","33880"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","30-39","1770","1700","45440","42560"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","40-49","1660","1570","46460","43000"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","50-59","1590","1530","43400","39540"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","60-64","340","300","38740","34500"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","65+","110","90","38080","34500"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","20-29","460","460","41110","35180"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","30-39","420","410","52750","52130"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","40-49","210","200","58240","57000"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","50-59","130","130","54270","52250"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Education","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Education","20-29","1070","1060","35350","33000"
"In post","2021","Heterosexual / straight","Department for Education","30-39","1480","1420","43330","40400"
"In post","2021","Heterosexual / straight","Department for Education","40-49","1480","1400","47530","49860"
"In post","2021","Heterosexual / straight","Department for Education","50-59","1240","1200","46730","42410"
"In post","2021","Heterosexual / straight","Department for Education","60-64","180","170","45550","42560"
"In post","2021","Heterosexual / straight","Department for Education","65+","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs","20-29","1150","1140","31170","29270"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs","30-39","1520","1440","37020","35900"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs","40-49","1940","1810","39320","36520"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs","50-59","1810","1740","38900","35530"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs","60-64","400","360","35320","29750"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs","65+","120","110","34170","29480"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for International Trade","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for International Trade","20-29","510","500","36780","32120"
