"Status","Year","Age","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Attorney General's Departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Heterosexual / straight","150","150","22620","21010"
"In post","2021","16-19","Department for Work and Pensions","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
