"Status","Year","Function_of_post","Ethnicity","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Asian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","EO","50","50","27690","27680"
"In post","2021","Analysis","Asian","G6/G7","130","130","59230","58820"
"In post","2021","Analysis","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","SEO/HEO","220","210","37000","36160"
"In post","2021","Analysis","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","G6/G7","30","30","[c]","[c]"
"In post","2021","Analysis","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","SEO/HEO","110","110","37580","36800"
"In post","2021","Analysis","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Analysis","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","G6/G7","60","60","58100","55430"
"In post","2021","Analysis","Mixed","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","SEO/HEO","110","110","35800","34710"
"In post","2021","Analysis","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","G6/G7","100","90","58210","56350"
"In post","2021","Analysis","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","SEO/HEO","120","110","37230","37320"
"In post","2021","Analysis","Unknown","AA/AO","40","40","[c]","[c]"
"In post","2021","Analysis","Unknown","EO","120","110","25990","25880"
"In post","2021","Analysis","Unknown","G6/G7","300","290","57160","54760"
"In post","2021","Analysis","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","SEO/HEO","500","490","35040","35140"
"In post","2021","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","White","AA/AO","130","120","21310","21050"
"In post","2021","Analysis","White","EO","490","460","26200","25800"
"In post","2021","Analysis","White","G6/G7","1750","1670","58510","56410"
"In post","2021","Analysis","White","SCS","140","130","88320","78830"
"In post","2021","Analysis","White","SEO/HEO","2590","2500","35740","36030"
"In post","2021","Analysis","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","EO","50","50","28100","28080"
"In post","2021","Commercial","Asian","G6/G7","40","40","[c]","[c]"
"In post","2021","Commercial","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","SEO/HEO","140","140","38190","37590"
"In post","2021","Commercial","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","SEO/HEO","100","100","39700","39440"
"In post","2021","Commercial","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","SEO/HEO","50","40","[c]","[c]"
"In post","2021","Commercial","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","EO","40","40","[c]","[c]"
