"Status","Year","Disability","Age","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","16-19","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","White","40","40","[c]","[c]"
"In post","2021","Declared disabled","20-29","Asian","340","340","29380","27570"
"In post","2021","Declared disabled","20-29","Black","200","200","29700","29570"
"In post","2021","Declared disabled","20-29","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","20-29","Mixed","210","210","28820","27570"
"In post","2021","Declared disabled","20-29","Other ethnicity","40","40","[c]","[c]"
"In post","2021","Declared disabled","20-29","Undeclared","90","90","29090","27570"
"In post","2021","Declared disabled","20-29","Unknown","110","110","29130","27570"
"In post","2021","Declared disabled","20-29","White","3920","3850","28800","27570"
"In post","2021","Declared disabled","30-39","Asian","540","500","32360","29170"
"In post","2021","Declared disabled","30-39","Black","270","260","33730","31060"
"In post","2021","Declared disabled","30-39","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","30-39","Mixed","270","250","33950","30860"
"In post","2021","Declared disabled","30-39","Other ethnicity","60","60","36370","32790"
"In post","2021","Declared disabled","30-39","Undeclared","240","230","32670","27570"
"In post","2021","Declared disabled","30-39","Unknown","220","210","32840","28630"
"In post","2021","Declared disabled","30-39","White","6540","6180","32500","28200"
"In post","2021","Declared disabled","40-49","Asian","810","730","32070","28750"
"In post","2021","Declared disabled","40-49","Black","360","330","32760","30940"
"In post","2021","Declared disabled","40-49","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","40-49","Mixed","300","280","35650","30900"
"In post","2021","Declared disabled","40-49","Other ethnicity","90","80","35510","31450"
"In post","2021","Declared disabled","40-49","Undeclared","480","450","31720","27700"
"In post","2021","Declared disabled","40-49","Unknown","240","220","32260","29290"
"In post","2021","Declared disabled","40-49","White","9510","8790","32840","27570"
"In post","2021","Declared disabled","50-59","Asian","800","730","31950","29250"
"In post","2021","Declared disabled","50-59","Black","760","720","32400","30350"
"In post","2021","Declared disabled","50-59","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","50-59","Mixed","300","290","34240","30260"
"In post","2021","Declared disabled","50-59","Other ethnicity","120","120","35630","31060"
"In post","2021","Declared disabled","50-59","Undeclared","900","840","32170","28770"
"In post","2021","Declared disabled","50-59","Unknown","470","430","32200","28970"
"In post","2021","Declared disabled","50-59","White","15070","13880","31760","27570"
"In post","2021","Declared disabled","60-64","Asian","200","170","30670","28180"
"In post","2021","Declared disabled","60-64","Black","190","170","30560","28200"
"In post","2021","Declared disabled","60-64","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","60-64","Mixed","90","70","30760","27570"
"In post","2021","Declared disabled","60-64","Other ethnicity","40","30","[c]","[c]"
"In post","2021","Declared disabled","60-64","Undeclared","230","190","30230","27570"
"In post","2021","Declared disabled","60-64","Unknown","150","120","28760","26590"
"In post","2021","Declared disabled","60-64","White","4620","3720","29320","27570"
"In post","2021","Declared disabled","65+","Asian","80","60","29930","28200"
"In post","2021","Declared disabled","65+","Black","50","40","[c]","[c]"
"In post","2021","Declared disabled","65+","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","65+","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","65+","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","65+","Undeclared","90","60","28820","27570"
"In post","2021","Declared disabled","65+","Unknown","60","40","32180","27130"
"In post","2021","Declared disabled","65+","White","1360","1020","28070","26120"
"In post","2021","Declared disabled","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","16-19","Asian","60","50","22900","21010"
"In post","2021","Declared non-disabled","16-19","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","16-19","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","16-19","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","16-19","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","16-19","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","16-19","White","590","580","21450","21010"
"In post","2021","Declared non-disabled","20-29","Asian","4680","4570","29030","27570"
"In post","2021","Declared non-disabled","20-29","Black","1710","1680","29840","29290"
"In post","2021","Declared non-disabled","20-29","Chinese","190","190","33870","31140"
"In post","2021","Declared non-disabled","20-29","Mixed","1670","1650","30850","28670"
"In post","2021","Declared non-disabled","20-29","Other ethnicity","340","340","31580","30450"
"In post","2021","Declared non-disabled","20-29","Undeclared","620","610","30280","27680"
