"Status","Year","Disability","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Commercial","Heterosexual / straight","380","370","40960","38780"
"In post","2021","Declared disabled","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Undeclared","60","50","38010","36660"
"In post","2021","Declared disabled","Commercial","Unknown","40","40","[c]","[c]"
"In post","2021","Declared disabled","Communications","Heterosexual / straight","190","180","37030","34640"
"In post","2021","Declared disabled","Communications","LGBO","30","30","[c]","[c]"
"In post","2021","Declared disabled","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Heterosexual / straight","50","50","34430","31000"
"In post","2021","Declared disabled","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Heterosexual / straight","750","730","39560","36160"
"In post","2021","Declared disabled","Digital, Data and Technology","LGBO","110","100","39140","36500"
"In post","2021","Declared disabled","Digital, Data and Technology","Undeclared","120","110","39720","37240"
"In post","2021","Declared disabled","Digital, Data and Technology","Unknown","70","70","35220","33690"
"In post","2021","Declared disabled","Economics","Heterosexual / straight","80","70","47010","46220"
"In post","2021","Declared disabled","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Heterosexual / straight","620","580","37910","33790"
"In post","2021","Declared disabled","Finance","LGBO","30","30","[c]","[c]"
"In post","2021","Declared disabled","Finance","Undeclared","80","70","36890","31810"
"In post","2021","Declared disabled","Finance","Unknown","40","40","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Heterosexual / straight","770","730","40010","36030"
"In post","2021","Declared disabled","Human Resources","LGBO","90","90","40860","35000"
"In post","2021","Declared disabled","Human Resources","Undeclared","80","80","39520","35200"
"In post","2021","Declared disabled","Human Resources","Unknown","40","40","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","Heterosexual / straight","50","50","61590","51360"
"In post","2021","Declared disabled","Inspector of Education and Training","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Heterosexual / straight","240","230","33240","30830"
"In post","2021","Declared disabled","Intelligence Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Undeclared","40","30","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
