"Status","Year","Disability","Parent_department","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Attorney General's Departments","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","20-29","60","50","30640","27350"
"In post","2021","Declared disabled","Attorney General's Departments","30-39","130","120","42900","48830"
"In post","2021","Declared disabled","Attorney General's Departments","40-49","260","230","44250","45530"
"In post","2021","Declared disabled","Attorney General's Departments","50-59","390","370","46160","48830"
"In post","2021","Declared disabled","Attorney General's Departments","60-64","80","70","47090","54430"
"In post","2021","Declared disabled","Attorney General's Departments","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","20-29","170","170","34290","32000"
"In post","2021","Declared disabled","Cabinet Office","30-39","170","170","46610","53710"
"In post","2021","Declared disabled","Cabinet Office","40-49","150","150","48170","51190"
"In post","2021","Declared disabled","Cabinet Office","50-59","180","170","48240","39750"
"In post","2021","Declared disabled","Cabinet Office","60-64","30","30","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","20-29","180","180","36460","33570"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","30-39","260","250","41430","39530"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","40-49","250","230","42800","39490"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","50-59","270","250","39230","35080"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","60-64","60","50","35170","32730"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","20-29","30","30","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","30-39","40","40","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","20-29","110","110","36240","33190"
"In post","2021","Declared disabled","Department for Education","30-39","170","160","41930","37100"
"In post","2021","Declared disabled","Department for Education","40-49","190","180","42910","37100"
"In post","2021","Declared disabled","Department for Education","50-59","210","200","43640","38360"
"In post","2021","Declared disabled","Department for Education","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","20-29","180","170","30880","29270"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","30-39","200","190","35840","32560"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","40-49","320","300","35680","30730"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","50-59","340","320","34580","30220"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","60-64","80","70","31600","28860"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","65+","30","30","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","20-29","50","50","36940","32120"
"In post","2021","Declared disabled","Department for International Trade","30-39","50","50","51540","51970"
"In post","2021","Declared disabled","Department for International Trade","40-49","40","40","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","50-59","50","50","45580","38830"
"In post","2021","Declared disabled","Department for International Trade","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport","20-29","80","80","32040","30580"
"In post","2021","Declared disabled","Department for Transport","30-39","210","190","29100","26350"
"In post","2021","Declared disabled","Department for Transport","40-49","330","300","30100","26590"
"In post","2021","Declared disabled","Department for Transport","50-59","480","430","29800","26780"
"In post","2021","Declared disabled","Department for Transport","60-64","220","170","27620","26780"
"In post","2021","Declared disabled","Department for Transport","65+","60","40","25800","26780"
"In post","2021","Declared disabled","Department for Work and Pensions","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Work and Pensions","20-29","1160","1130","26350","27570"
"In post","2021","Declared disabled","Department for Work and Pensions","30-39","1820","1670","27420","27570"
"In post","2021","Declared disabled","Department for Work and Pensions","40-49","3650","3250","27490","27570"
"In post","2021","Declared disabled","Department for Work and Pensions","50-59","6390","5700","27670","27570"
"In post","2021","Declared disabled","Department for Work and Pensions","60-64","1970","1520","26630","27570"
"In post","2021","Declared disabled","Department for Work and Pensions","65+","540","380","25830","26120"
"In post","2021","Declared disabled","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care","20-29","140","130","29890","28200"
"In post","2021","Declared disabled","Department of Health and Social Care","30-39","120","110","39650","36330"
"In post","2021","Declared disabled","Department of Health and Social Care","40-49","120","110","44300","39500"
"In post","2021","Declared disabled","Department of Health and Social Care","50-59","110","100","48770","42480"
"In post","2021","Declared disabled","Department of Health and Social Care","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","20-29","140","140","33880","34070"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","30-39","210","200","45990","44230"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","40-49","210","210","46600","39240"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","50-59","190","190","44740","40010"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","60-64","30","30","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","20-29","30","30","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","30-39","40","30","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","40-49","90","80","31570","27130"
"In post","2021","Declared disabled","HM Land Registry","50-59","240","220","31040","27130"
"In post","2021","Declared disabled","HM Land Registry","60-64","60","40","31600","27130"
"In post","2021","Declared disabled","HM Land Registry","65+","[c]","[c]","[c]","[c]"
