"Status","Year","Sexual_orientation","Function_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Analysis","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","20-29","1560","1550","36660","34090"
"In post","2021","Heterosexual / straight","Analysis","30-39","1330","1270","46490","43890"
"In post","2021","Heterosexual / straight","Analysis","40-49","940","880","50170","48380"
"In post","2021","Heterosexual / straight","Analysis","50-59","650","620","48130","44280"
"In post","2021","Heterosexual / straight","Analysis","60-64","120","100","43660","40150"
"In post","2021","Heterosexual / straight","Analysis","65+","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","20-29","570","570","31390","29720"
"In post","2021","Heterosexual / straight","Commercial","30-39","940","900","39330","36830"
"In post","2021","Heterosexual / straight","Commercial","40-49","1060","1020","45820","40290"
"In post","2021","Heterosexual / straight","Commercial","50-59","1320","1290","46350","40780"
"In post","2021","Heterosexual / straight","Commercial","60-64","250","220","43280","40000"
"In post","2021","Heterosexual / straight","Commercial","65+","60","50","39030","33900"
"In post","2021","Heterosexual / straight","Communications","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","20-29","1010","1000","30650","27500"
"In post","2021","Heterosexual / straight","Communications","30-39","1410","1360","36090","31810"
"In post","2021","Heterosexual / straight","Communications","40-49","1150","1100","38870","33300"
"In post","2021","Heterosexual / straight","Communications","50-59","900","860","36530","31810"
"In post","2021","Heterosexual / straight","Communications","60-64","230","200","32440","28130"
"In post","2021","Heterosexual / straight","Communications","65+","60","60","31320","27310"
"In post","2021","Heterosexual / straight","Counter Fraud","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","20-29","570","570","30190","27910"
"In post","2021","Heterosexual / straight","Counter Fraud","30-39","1290","1250","33410","31810"
"In post","2021","Heterosexual / straight","Counter Fraud","40-49","1420","1360","34660","31810"
"In post","2021","Heterosexual / straight","Counter Fraud","50-59","2000","1910","36070","32030"
"In post","2021","Heterosexual / straight","Counter Fraud","60-64","470","360","34800","32520"
"In post","2021","Heterosexual / straight","Counter Fraud","65+","110","80","33380","32020"
"In post","2021","Heterosexual / straight","Debt","16-19","[c]","[c]","[c]","[c]"
