"Status","Year","Responsibility_level","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Commercial","Female","160","150","22370","21710"
"In post","2021","AA/AO","Commercial","Male","110","100","22760","21590"
"In post","2021","AA/AO","Communications","Female","140","130","22170","21590"
"In post","2021","AA/AO","Communications","Male","100","100","22340","21580"
"In post","2021","AA/AO","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Female","40","30","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Female","190","180","21760","21420"
"In post","2021","AA/AO","Digital, Data and Technology","Male","250","250","22030","21590"
"In post","2021","AA/AO","Economics","Female","40","40","[c]","[c]"
"In post","2021","AA/AO","Economics","Male","50","50","22680","22500"
"In post","2021","AA/AO","Finance","Female","810","660","21400","21440"
"In post","2021","AA/AO","Finance","Male","360","330","21440","21130"
"In post","2021","AA/AO","Human Resources","Female","890","790","21650","21130"
"In post","2021","AA/AO","Human Resources","Male","320","320","21650","21130"
"In post","2021","AA/AO","Intelligence Analysis","Female","80","70","23380","22600"
"In post","2021","AA/AO","Intelligence Analysis","Male","50","40","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","Female","200","190","22130","21580"
"In post","2021","AA/AO","Knowledge and Information Management","Male","130","130","22070","21130"
"In post","2021","AA/AO","Legal","Female","170","150","21340","21440"
"In post","2021","AA/AO","Legal","Male","130","130","21720","21030"
"In post","2021","AA/AO","Medicine","Female","320","300","22170","22640"
"In post","2021","AA/AO","Medicine","Male","30","30","[c]","[c]"
"In post","2021","AA/AO","Operational Delivery","Female","44890","38440","22040","21430"
"In post","2021","AA/AO","Operational Delivery","Male","36050","34240","24100","22080"
"In post","2021","AA/AO","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other","Female","4620","4300","21330","21130"
"In post","2021","AA/AO","Other","Male","3230","3150","21150","20720"
"In post","2021","AA/AO","Planning","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Planning","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Policy","Female","520","490","23310","23350"
"In post","2021","AA/AO","Policy","Male","270","270","23730","23830"
"In post","2021","AA/AO","Project Delivery","Female","230","210","21650","21130"
"In post","2021","AA/AO","Project Delivery","Male","90","90","21970","21440"
"In post","2021","AA/AO","Property","Female","440","400","20210","20920"
"In post","2021","AA/AO","Property","Male","580","560","19240","18760"
"In post","2021","AA/AO","Psychology","Female","70","60","21300","21300"
"In post","2021","AA/AO","Psychology","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Science and Engineering","Female","510","470","22130","21570"
"In post","2021","AA/AO","Science and Engineering","Male","890","870","21490","21930"
"In post","2021","AA/AO","Security","Female","800","770","24970","21130"
"In post","2021","AA/AO","Security","Male","4620","4540","27170","22650"
"In post","2021","AA/AO","Social Research","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Social Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Tax","Female","2010","1850","20290","20140"
"In post","2021","AA/AO","Tax","Male","1780","1720","20230","20140"
"In post","2021","AA/AO","Unknown","Female","22160","18220","21230","21010"
"In post","2021","AA/AO","Unknown","Male","12190","11640","21430","21010"
"In post","2021","AA/AO","Veterinarian","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Veterinarian","Male","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","Female","420","390","25870","26400"
"In post","2021","EO","Commercial","Male","290","280","26120","26360"
"In post","2021","EO","Communications","Female","370","350","27400","26970"
"In post","2021","EO","Communications","Male","260","260","27550","27270"
"In post","2021","EO","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","EO","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","EO","Counter Fraud","Female","120","110","26410","25580"
"In post","2021","EO","Counter Fraud","Male","70","70","26920","26350"
"In post","2021","EO","Digital, Data and Technology","Female","810","760","27230","26670"
"In post","2021","EO","Digital, Data and Technology","Male","1410","1390","27660","26750"
"In post","2021","EO","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Economics","Female","60","60","26300","26250"
"In post","2021","EO","Economics","Male","60","60","27640","27680"
"In post","2021","EO","Finance","Female","1050","970","26670","26670"
"In post","2021","EO","Finance","Male","580","570","26390","26670"
"In post","2021","EO","Human Resources","Female","990","920","26910","26670"
"In post","2021","EO","Human Resources","Male","390","380","27640","27180"
"In post","2021","EO","Intelligence Analysis","Female","790","720","27450","27370"
"In post","2021","EO","Intelligence Analysis","Male","780","760","28140","27370"
"In post","2021","EO","Internal Audit","Female","30","30","[c]","[c]"
"In post","2021","EO","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","EO","International Trade","Female","50","50","[c]","[c]"
"In post","2021","EO","International Trade","Male","50","50","26910","26510"
"In post","2021","EO","Knowledge and Information Management","Female","320","290","26840","26670"
"In post","2021","EO","Knowledge and Information Management","Male","190","190","27140","26670"
"In post","2021","EO","Legal","Female","980","920","27400","26060"
"In post","2021","EO","Legal","Male","960","950","27400","25560"
"In post","2021","EO","Medicine","Female","240","210","30900","30620"
"In post","2021","EO","Medicine","Male","90","90","29660","30620"
"In post","2021","EO","Operational Delivery","Female","23190","20940","27120","26570"
"In post","2021","EO","Operational Delivery","Male","21900","20890","28430","27370"
"In post","2021","EO","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2021","EO","Operational Research","Male","40","40","[c]","[c]"
"In post","2021","EO","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other","Female","2340","2200","26230","26670"
"In post","2021","EO","Other","Male","2810","2710","26550","26670"
"In post","2021","EO","Planning","Female","[c]","[c]","[c]","[c]"
"In post","2021","EO","Planning","Male","[c]","[c]","[c]","[c]"
"In post","2021","EO","Policy","Female","1630","1570","28320","28410"
"In post","2021","EO","Policy","Male","1050","1040","28270","28500"
"In post","2021","EO","Project Delivery","Female","1200","1130","26530","26670"
"In post","2021","EO","Project Delivery","Male","710","690","26550","26670"
"In post","2021","EO","Property","Female","740","660","27040","26500"
"In post","2021","EO","Property","Male","770","750","27010","26670"
"In post","2021","EO","Psychology","Female","360","350","26920","26330"
"In post","2021","EO","Psychology","Male","70","60","26730","26850"
"In post","2021","EO","Science and Engineering","Female","610","570","26150","26560"
"In post","2021","EO","Science and Engineering","Male","1400","1370","25750","26370"
"In post","2021","EO","Security","Female","310","290","29390","27070"
"In post","2021","EO","Security","Male","790","780","34170","31980"
"In post","2021","EO","Social Research","Female","30","30","[c]","[c]"
"In post","2021","EO","Social Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","EO","Statistics","Female","110","100","27640","27850"
"In post","2021","EO","Statistics","Male","140","130","27970","28270"
"In post","2021","EO","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Tax","Female","2020","1810","26690","25560"
"In post","2021","EO","Tax","Male","2040","1960","26420","25560"
"In post","2021","EO","Unknown","Female","34670","30560","28050","27570"
"In post","2021","EO","Unknown","Male","18560","17890","28110","27570"
"In post","2021","EO","Veterinarian","Female","[c]","[c]","[c]","[c]"
"In post","2021","EO","Veterinarian","Male","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Commercial","Female","470","450","57950","54970"
"In post","2021","G6/G7","Commercial","Male","550","540","59890","58110"
"In post","2021","G6/G7","Communications","Female","560","530","57970","56620"
"In post","2021","G6/G7","Communications","Male","380","380","58220","56960"
"In post","2021","G6/G7","Corporate Finance","Female","30","30","[c]","[c]"
"In post","2021","G6/G7","Corporate Finance","Male","40","40","[c]","[c]"
"In post","2021","G6/G7","Counter Fraud","Female","30","30","[c]","[c]"
"In post","2021","G6/G7","Counter Fraud","Male","90","80","61810","58820"
"In post","2021","G6/G7","Digital, Data and Technology","Female","1190","1150","57040","55650"
"In post","2021","G6/G7","Digital, Data and Technology","Male","2270","2250","59010","57460"
"In post","2021","G6/G7","Economics","Female","360","330","59210","57850"
"In post","2021","G6/G7","Economics","Male","590","580","59840","58130"
"In post","2021","G6/G7","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Finance","Female","1020","980","58220","57460"
"In post","2021","G6/G7","Finance","Male","1120","1110","59870","58770"
"In post","2021","G6/G7","Human Resources","Female","1170","1120","57900","56610"
"In post","2021","G6/G7","Human Resources","Male","500","490","59280","57740"
"In post","2021","G6/G7","Inspector of Education and Training","Female","300","300","74720","75500"
"In post","2021","G6/G7","Inspector of Education and Training","Male","210","200","76280","75500"
"In post","2021","G6/G7","Intelligence Analysis","Female","180","170","58180","56740"
"In post","2021","G6/G7","Intelligence Analysis","Male","230","230","58900","57740"
"In post","2021","G6/G7","Internal Audit","Female","80","80","58830","56150"
"In post","2021","G6/G7","Internal Audit","Male","110","110","58980","58470"
"In post","2021","G6/G7","International Trade","Female","260","250","54720","51970"
"In post","2021","G6/G7","International Trade","Male","340","340","56290","54600"
"In post","2021","G6/G7","Knowledge and Information Management","Female","220","200","56700","54540"
"In post","2021","G6/G7","Knowledge and Information Management","Male","190","190","58340","56720"
"In post","2021","G6/G7","Legal","Female","3660","3290","58870","57330"
"In post","2021","G6/G7","Legal","Male","2270","2190","60310","59160"
"In post","2021","G6/G7","Medicine","Female","390","330","72620","74070"
"In post","2021","G6/G7","Medicine","Male","280","250","76690","78980"
"In post","2021","G6/G7","Operational Delivery","Female","3310","3190","57250","54440"
"In post","2021","G6/G7","Operational Delivery","Male","3230","3170","60320","57740"
"In post","2021","G6/G7","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Operational Research","Female","170","150","54780","54540"
"In post","2021","G6/G7","Operational Research","Male","340","330","54110","53550"
"In post","2021","G6/G7","Other","Female","850","810","59930","57680"
"In post","2021","G6/G7","Other","Male","1100","1080","63040","59970"
"In post","2021","G6/G7","Planning","Female","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Planning","Male","40","30","[c]","[c]"
"In post","2021","G6/G7","Planning Inspectors","Female","130","110","57420","58810"
"In post","2021","G6/G7","Planning Inspectors","Male","220","190","57960","58810"
"In post","2021","G6/G7","Policy","Female","5740","5490","58070","56620"
"In post","2021","G6/G7","Policy","Male","5630","5570","58890","57460"
"In post","2021","G6/G7","Project Delivery","Female","1960","1890","56310","54540"
"In post","2021","G6/G7","Project Delivery","Male","2380","2350","57360","55120"
"In post","2021","G6/G7","Property","Female","370","360","56840","54990"
"In post","2021","G6/G7","Property","Male","790","770","58710","57130"
"In post","2021","G6/G7","Psychology","Female","90","90","63910","65520"
"In post","2021","G6/G7","Psychology","Male","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Science and Engineering","Female","1010","930","55940","53830"
"In post","2021","G6/G7","Science and Engineering","Male","2120","2050","55510","54890"
"In post","2021","G6/G7","Security","Female","110","100","59360","56800"
"In post","2021","G6/G7","Security","Male","240","230","59820","57460"
"In post","2021","G6/G7","Social Research","Female","210","190","56350","57430"
"In post","2021","G6/G7","Social Research","Male","110","110","56350","56190"
"In post","2021","G6/G7","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Statistics","Female","310","280","56420","56200"
"In post","2021","G6/G7","Statistics","Male","350","350","57680","57850"
"In post","2021","G6/G7","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Tax","Female","1010","960","56330","52580"
"In post","2021","G6/G7","Tax","Male","1700","1640","57270","52580"
"In post","2021","G6/G7","Unknown","Female","4920","4690","59110","56640"
"In post","2021","G6/G7","Unknown","Male","4720","4640","60100","58850"
"In post","2021","G6/G7","Veterinarian","Female","80","70","54390","54150"
"In post","2021","G6/G7","Veterinarian","Male","80","70","57380","56760"
"In post","2021","SCS","Commercial","Female","50","40","[c]","[c]"
"In post","2021","SCS","Commercial","Male","60","60","89190","80900"
"In post","2021","SCS","Communications","Female","70","60","83440","79580"
"In post","2021","SCS","Communications","Male","50","50","91190","84670"
"In post","2021","SCS","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","Female","80","80","87410","80420"
"In post","2021","SCS","Digital, Data and Technology","Male","140","140","93360","87910"
"In post","2021","SCS","Economics","Female","30","30","[c]","[c]"
"In post","2021","SCS","Economics","Male","60","60","88330","81610"
"In post","2021","SCS","Finance","Female","110","110","88770","81830"
"In post","2021","SCS","Finance","Male","170","170","91720","85100"
"In post","2021","SCS","Human Resources","Female","130","120","89020","82020"
"In post","2021","SCS","Human Resources","Male","60","60","89200","83690"
"In post","2021","SCS","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Inspector of Education and Training","Female","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Inspector of Education and Training","Male","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Intelligence Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Intelligence Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","SCS","International Trade","Female","50","50","79670","74540"
"In post","2021","SCS","International Trade","Male","60","60","90530","76810"
"In post","2021","SCS","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Legal","Female","210","200","86910","82500"
"In post","2021","SCS","Legal","Male","180","170","90200","83830"
"In post","2021","SCS","Medicine","Female","260","220","105080","98890"
"In post","2021","SCS","Medicine","Male","170","150","109440","106750"
"In post","2021","SCS","Operational Delivery","Female","290","280","91300","82500"
"In post","2021","SCS","Operational Delivery","Male","360","360","94350","90530"
"In post","2021","SCS","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Other","Female","130","120","89200","83510"
"In post","2021","SCS","Other","Male","140","140","98840","90100"
"In post","2021","SCS","Planning","Female","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Planning","Male","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Planning Inspectors","Female","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Planning Inspectors","Male","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Policy","Female","880","830","83510","76700"
"In post","2021","SCS","Policy","Male","960","950","87550","78460"
"In post","2021","SCS","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Project Delivery","Female","190","180","88080","84130"
"In post","2021","SCS","Project Delivery","Male","240","240","95060","86700"
"In post","2021","SCS","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Property","Male","40","40","[c]","[c]"
"In post","2021","SCS","Science and Engineering","Female","40","30","[c]","[c]"
"In post","2021","SCS","Science and Engineering","Male","90","80","96770","92370"
"In post","2021","SCS","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Social Research","Female","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Social Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Tax","Female","50","40","[c]","[c]"
"In post","2021","SCS","Tax","Male","40","40","[c]","[c]"
"In post","2021","SCS","Unknown","Female","740","710","87950","79930"
"In post","2021","SCS","Unknown","Male","920","910","94200","83230"
"In post","2021","SCS","Veterinarian","Female","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Veterinarian","Male","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Commercial","Female","1650","1570","36900","36780"
"In post","2021","SEO/HEO","Commercial","Male","1390","1380","38550","38160"
"In post","2021","SEO/HEO","Communications","Female","1190","1140","37870","37410"
"In post","2021","SEO/HEO","Communications","Male","830","820","38080","37410"
"In post","2021","SEO/HEO","Corporate Finance","Female","40","40","[c]","[c]"
"In post","2021","SEO/HEO","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Counter Fraud","Female","210","200","37240","37910"
"In post","2021","SEO/HEO","Counter Fraud","Male","310","310","37770","38090"
"In post","2021","SEO/HEO","Digital, Data and Technology","Female","2340","2220","36870","36740"
"In post","2021","SEO/HEO","Digital, Data and Technology","Male","4530","4470","38210","38070"
"In post","2021","SEO/HEO","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Economics","Female","310","310","34670","33880"
"In post","2021","SEO/HEO","Economics","Male","600","590","35070","34000"
"In post","2021","SEO/HEO","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Finance","Female","2080","1970","37440","36820"
"In post","2021","SEO/HEO","Finance","Male","1740","1710","38220","37710"
"In post","2021","SEO/HEO","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Human Resources","Female","2350","2210","36610","35990"
"In post","2021","SEO/HEO","Human Resources","Male","1030","1000","37380","36780"
"In post","2021","SEO/HEO","Inspector of Education and Training","Female","300","290","51010","51360"
"In post","2021","SEO/HEO","Inspector of Education and Training","Male","40","40","[c]","[c]"
"In post","2021","SEO/HEO","Intelligence Analysis","Female","510","490","36310","36040"
"In post","2021","SEO/HEO","Intelligence Analysis","Male","760","750","37440","36560"
"In post","2021","SEO/HEO","Internal Audit","Female","260","240","40010","39980"
"In post","2021","SEO/HEO","Internal Audit","Male","220","220","41090","40580"
"In post","2021","SEO/HEO","International Trade","Female","290","290","35220","34760"
"In post","2021","SEO/HEO","International Trade","Male","370","370","35590","34990"
"In post","2021","SEO/HEO","Knowledge and Information Management","Female","530","490","36340","36330"
"In post","2021","SEO/HEO","Knowledge and Information Management","Male","530","530","37340","37320"
"In post","2021","SEO/HEO","Legal","Female","2010","1840","38830","38000"
"In post","2021","SEO/HEO","Legal","Male","1570","1520","37780","36240"
"In post","2021","SEO/HEO","Medicine","Female","540","480","38460","37890"
"In post","2021","SEO/HEO","Medicine","Male","190","190","39200","38490"
"In post","2021","SEO/HEO","Operational Delivery","Female","15790","14830","35770","34510"
"In post","2021","SEO/HEO","Operational Delivery","Male","14880","14370","37970","36720"
"In post","2021","SEO/HEO","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Operational Research","Female","220","210","36130","37020"
"In post","2021","SEO/HEO","Operational Research","Male","340","340","37200","37320"
"In post","2021","SEO/HEO","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Other","Female","2610","2480","35860","35190"
"In post","2021","SEO/HEO","Other","Male","2780","2720","36340","35720"
"In post","2021","SEO/HEO","Planning","Female","50","40","38800","39800"
"In post","2021","SEO/HEO","Planning","Male","50","50","38580","38660"
"In post","2021","SEO/HEO","Policy","Female","6930","6680","36990","36660"
"In post","2021","SEO/HEO","Policy","Male","5440","5380","37450","36800"
"In post","2021","SEO/HEO","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Project Delivery","Female","4320","4120","36370","36070"
"In post","2021","SEO/HEO","Project Delivery","Male","4160","4090","37410","38080"
