"Status","Year","Sex","Disability","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Declared disabled","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Advisory, Conciliation and Arbitration Service","70","70","31480","30950"
"In post","2021","Female","Declared disabled","Animal and Plant Health Agency","220","210","27140","24920"
"In post","2021","Female","Declared disabled","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Cabinet Office (excl. agencies)","390","370","43210","38420"
"In post","2021","Female","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Companies House","40","40","[c]","[c]"
"In post","2021","Female","Declared disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Crown Office and Procurator Fiscal Service","70","60","36130","32630"
"In post","2021","Female","Declared disabled","Crown Prosecution Service","490","440","41180","34480"
"In post","2021","Female","Declared disabled","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Defence Equipment and Support","430","400","33890","32040"
"In post","2021","Female","Declared disabled","Defence Science and Technology Laboratory","190","180","37050","37320"
"In post","2021","Female","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","260","250","46900","41660"
"In post","2021","Female","Declared disabled","Department for Digital, Culture, Media and Sport","70","70","46980","39190"
"In post","2021","Female","Declared disabled","Department for Education (excl. agencies)","320","300","41790","37100"
"In post","2021","Female","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","340","320","40050","36970"
"In post","2021","Female","Declared disabled","Department for International Trade","100","100","45360","41640"
"In post","2021","Female","Declared disabled","Department for Transport (excl. agencies)","100","100","42680","37610"
"In post","2021","Female","Declared disabled","Department for Work and Pensions (excl. agencies)","10240","8690","26980","27570"
"In post","2021","Female","Declared disabled","Department of Health and Social Care (excl. agencies)","80","80","43170","39610"
"In post","2021","Female","Declared disabled","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Driver and Vehicle Licensing Agency","460","360","23020","21590"
"In post","2021","Female","Declared disabled","Driver and Vehicle Standards Agency","170","150","28740","26780"
"In post","2021","Female","Declared disabled","Education and Skills Funding Agency","100","90","39050","36780"
"In post","2021","Female","Declared disabled","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","FCDO Services","30","30","[c]","[c]"
"In post","2021","Female","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","390","370","43380","38600"
"In post","2021","Female","Declared disabled","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Government Internal Audit Agency","30","30","[c]","[c]"
"In post","2021","Female","Declared disabled","Government Legal Department","100","100","54980","59310"
"In post","2021","Female","Declared disabled","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Health and Safety Executive","200","170","36680","31710"
"In post","2021","Female","Declared disabled","HM Courts and Tribunals Service","1490","1310","23730","20650"
"In post","2021","Female","Declared disabled","HM Land Registry","290","240","29870","27130"
"In post","2021","Female","Declared disabled","HM Prison and Probation Service","3440","3200","29740","28200"
"In post","2021","Female","Declared disabled","HM Revenue and Customs (excl. agencies)","3130","2710","30230","25630"
"In post","2021","Female","Declared disabled","HM Treasury (excl. agencies)","100","100","43850","38890"
"In post","2021","Female","Declared disabled","Home Office (incl. agencies)","1670","1490","30990","27370"
