"Status","Year","Disability","Sex","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Female","Analysis","300","270","40640","37280"
"In post","2021","Declared disabled","Female","Commercial","340","320","37700","34800"
"In post","2021","Declared disabled","Female","Communications","290","270","32980","29750"
"In post","2021","Declared disabled","Female","Counter Fraud","450","400","32180","29620"
"In post","2021","Declared disabled","Female","Debt","240","190","23150","21440"
"In post","2021","Declared disabled","Female","Digital, Data & Technology","460","440","37820","34160"
"In post","2021","Declared disabled","Female","Finance","480","440","35710","31810"
"In post","2021","Declared disabled","Female","Grants Management","100","80","25850","21050"
"In post","2021","Declared disabled","Female","Human Resources","860","800","38460","33490"
"In post","2021","Declared disabled","Female","Internal Audit","50","50","[c]","[c]"
"In post","2021","Declared disabled","Female","Legal","810","730","42950","38760"
"In post","2021","Declared disabled","Female","No function","10190","9180","30020","26780"
"In post","2021","Declared disabled","Female","Project Delivery","1350","1270","38510","34870"
"In post","2021","Declared disabled","Female","Property","360","330","33730","31810"
"In post","2021","Declared disabled","Female","Security","190","180","31260","28080"
"In post","2021","Declared disabled","Female","Unknown","13630","11800","28280","27570"
"In post","2021","Declared disabled","Male","Analysis","280","270","41810","37320"
"In post","2021","Declared disabled","Male","Commercial","240","230","40860","39860"
"In post","2021","Declared disabled","Male","Communications","260","250","31110","27290"
"In post","2021","Declared disabled","Male","Counter Fraud","380","350","34430","31810"
"In post","2021","Declared disabled","Male","Debt","140","130","22900","20640"
"In post","2021","Declared disabled","Male","Digital, Data & Technology","620","600","40250","36780"
"In post","2021","Declared disabled","Male","Finance","330","320","40260","36460"
"In post","2021","Declared disabled","Male","Grants Management","60","50","25140","21050"
"In post","2021","Declared disabled","Male","Human Resources","360","350","38880","34420"
"In post","2021","Declared disabled","Male","Internal Audit","40","40","[c]","[c]"
"In post","2021","Declared disabled","Male","Legal","440","420","45710","46530"
"In post","2021","Declared disabled","Male","No function","7320","6940","32730","30400"
"In post","2021","Declared disabled","Male","Project Delivery","1290","1260","40020","38500"
"In post","2021","Declared disabled","Male","Property","380","360","35460","33250"
"In post","2021","Declared disabled","Male","Security","470","450","32280","29540"
"In post","2021","Declared disabled","Male","Unknown","7870","7440","29360","27570"
"In post","2021","Declared disabled","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Female","Analysis","2050","1910","43290","38630"
"In post","2021","Declared non-disabled","Female","Commercial","2040","1940","40230","35760"
"In post","2021","Declared non-disabled","Female","Communications","2540","2390","36340","31810"
"In post","2021","Declared non-disabled","Female","Counter Fraud","2840","2600","32980","31810"
"In post","2021","Declared non-disabled","Female","Debt","1360","1160","24150","21440"
"In post","2021","Declared non-disabled","Female","Digital, Data & Technology","3210","3040","40720","38450"
"In post","2021","Declared non-disabled","Female","Finance","3600","3320","37330","33300"
"In post","2021","Declared non-disabled","Female","Grants Management","980","850","24980","21050"
"In post","2021","Declared non-disabled","Female","Human Resources","4430","4140","37650","33300"
"In post","2021","Declared non-disabled","Female","Internal Audit","290","270","43910","41690"
"In post","2021","Declared non-disabled","Female","Legal","5950","5350","45700","48080"
"In post","2021","Declared non-disabled","Female","No function","62290","56450","32210","27730"
"In post","2021","Declared non-disabled","Female","Project Delivery","8690","8230","40130","36800"
"In post","2021","Declared non-disabled","Female","Property","2640","2430","33130","30670"
"In post","2021","Declared non-disabled","Female","Security","1320","1270","32380","30120"
"In post","2021","Declared non-disabled","Female","Unknown","73500","64840","29630","27570"
"In post","2021","Declared non-disabled","Male","Analysis","2490","2450","45520","40960"
"In post","2021","Declared non-disabled","Male","Commercial","1940","1920","46580","40580"
"In post","2021","Declared non-disabled","Male","Communications","2180","2150","34940","31810"
"In post","2021","Declared non-disabled","Male","Counter Fraud","3080","3000","35930","31810"
"In post","2021","Declared non-disabled","Male","Debt","950","900","24170","21440"
"In post","2021","Declared non-disabled","Male","Digital, Data & Technology","5300","5210","43250","39650"
"In post","2021","Declared non-disabled","Male","Finance","2730","2690","43640","39450"
"In post","2021","Declared non-disabled","Male","Grants Management","710","700","26010","24920"
"In post","2021","Declared non-disabled","Male","Human Resources","1900","1860","39470","34810"
"In post","2021","Declared non-disabled","Male","Internal Audit","280","270","48790","47180"
"In post","2021","Declared non-disabled","Male","Legal","3220","3120","49730","51250"
