"Status","Year","Profession_of_post","Function_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Female","2210","2100","38880","36460"
"In post","2021","Commercial","Commercial","Male","1880","1850","42360","40000"
"In post","2021","Commercial","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","No function","Female","140","130","41800","36780"
"In post","2021","Commercial","No function","Male","150","150","46450","43000"
"In post","2021","Commercial","Project Delivery","Female","410","380","36930","34090"
"In post","2021","Commercial","Project Delivery","Male","400","390","40390","37400"
"In post","2021","Commercial","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Female","60","60","39490","39190"
"In post","2021","Commercial","Unknown","Male","50","50","41910","42100"
"In post","2021","Communications","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Female","2010","1910","41090","37910"
"In post","2021","Communications","Communications","Male","1420","1400","41630","37920"
"In post","2021","Communications","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","No function","Female","70","70","42640","39200"
"In post","2021","Communications","No function","Male","50","50","39810","38540"
"In post","2021","Communications","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Female","200","190","44220","42710"
"In post","2021","Communications","Unknown","Male","140","140","44160","41320"
"In post","2021","Corporate Finance","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Commercial","Female","[c]","[c]","[c]","[c]"
