"Status","Year","Parent_department","Sexual_orientation","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Declared disabled","710","650","44050","40050"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Declared non-disabled","5070","4740","45480","48830"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Undeclared","70","70","50490","51250"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Unknown","920","890","36810","38000"
"In post","2021","Attorney General's Departments","LGBO","Declared disabled","70","70","47040","51050"
"In post","2021","Attorney General's Departments","LGBO","Declared non-disabled","300","290","47300","50500"
"In post","2021","Attorney General's Departments","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Unknown","60","50","30900","26950"
"In post","2021","Attorney General's Departments","Undeclared","Declared disabled","50","50","48080","50680"
"In post","2021","Attorney General's Departments","Undeclared","Declared non-disabled","200","190","49010","51250"
"In post","2021","Attorney General's Departments","Undeclared","Undeclared","50","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Unknown","80","80","36760","31560"
"In post","2021","Attorney General's Departments","Unknown","Declared disabled","100","90","43320","42770"
"In post","2021","Attorney General's Departments","Unknown","Declared non-disabled","1180","1060","47090","52040"
"In post","2021","Attorney General's Departments","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Unknown","950","880","47680","51470"
"In post","2021","Cabinet Office","Heterosexual / straight","Declared disabled","530","500","43730","37300"
"In post","2021","Cabinet Office","Heterosexual / straight","Declared non-disabled","3690","3590","48720","41820"
"In post","2021","Cabinet Office","Heterosexual / straight","Undeclared","140","140","44260","38580"
"In post","2021","Cabinet Office","Heterosexual / straight","Unknown","60","60","48480","49700"
"In post","2021","Cabinet Office","LGBO","Declared disabled","90","90","44810","40600"
"In post","2021","Cabinet Office","LGBO","Declared non-disabled","320","320","44850","40600"
"In post","2021","Cabinet Office","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","Declared disabled","80","80","44900","40580"
"In post","2021","Cabinet Office","Undeclared","Declared non-disabled","300","290","49150","41820"
"In post","2021","Cabinet Office","Undeclared","Undeclared","120","110","45200","40600"
"In post","2021","Cabinet Office","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Declared non-disabled","200","190","60750","55520"
"In post","2021","Cabinet Office","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Unknown","3890","3840","44550","32000"
"In post","2021","Chancellor's other departments","Heterosexual / straight","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Heterosexual / straight","Declared non-disabled","260","260","59940","49040"
"In post","2021","Chancellor's other departments","Heterosexual / straight","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","LGBO","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","Declared non-disabled","60","50","60390","50480"
"In post","2021","Chancellor's other departments","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Declared non-disabled","180","170","35150","29160"
"In post","2021","Charity Commission","Heterosexual / straight","Unknown","40","30","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Undeclared","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Unknown","160","150","35470","29550"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Declared non-disabled","610","590","59400","56190"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Unknown","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Declared non-disabled","50","50","[c]","[c]"
