"Status","Year","Region_ITL1","Organisation","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Advisory, Conciliation and Arbitration Service","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Advisory, Conciliation and Arbitration Service","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Advisory, Conciliation and Arbitration Service","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Advisory, Conciliation and Arbitration Service","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Advisory, Conciliation and Arbitration Service","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Advisory, Conciliation and Arbitration Service","Unknown","50","50","[c]","[c]"
"In post","2021","East Midlands (England)","Advisory, Conciliation and Arbitration Service","White","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Animal and Plant Health Agency","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Animal and Plant Health Agency","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Animal and Plant Health Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Animal and Plant Health Agency","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Animal and Plant Health Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Animal and Plant Health Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Animal and Plant Health Agency","White","60","60","31860","29180"
"In post","2021","East Midlands (England)","Cabinet Office (excl. agencies)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Cabinet Office (excl. agencies)","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Cabinet Office (excl. agencies)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Cabinet Office (excl. agencies)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Cabinet Office (excl. agencies)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Cabinet Office (excl. agencies)","White","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Crown Commercial Service","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Crown Commercial Service","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Crown Commercial Service","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Crown Commercial Service","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Crown Commercial Service","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Crown Commercial Service","White","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Crown Prosecution Service","Asian","50","50","36170","28430"
"In post","2021","East Midlands (England)","Crown Prosecution Service","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Crown Prosecution Service","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Crown Prosecution Service","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Crown Prosecution Service","Other ethnicity","[c]","[c]","[c]","[c]"
