"Status","Year","Region_ITL1","Ethnicity","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Asian","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Communications","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Counter Fraud","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Debt","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Human Resources","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Legal","70","60","38200","35140"
"In post","2021","East Midlands (England)","Asian","No function","750","670","26120","22350"
"In post","2021","East Midlands (England)","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Unknown","640","560","24910","26930"
"In post","2021","East Midlands (England)","Black","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Debt","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","No function","250","230","26130","22850"
"In post","2021","East Midlands (England)","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Unknown","170","160","25760","27570"
"In post","2021","East Midlands (England)","Chinese","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Debt","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","No function","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Analysis","[c]","[c]","[c]","[c]"
