"Status","Year","Function_of_post","Region_ITL2","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Bedfordshire and Hertfordshire","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bedfordshire and Hertfordshire","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bedfordshire and Hertfordshire","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bedfordshire and Hertfordshire","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bedfordshire and Hertfordshire","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bedfordshire and Hertfordshire","White","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","White","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire","White","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","White","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cumbria","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cumbria","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cumbria","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cumbria","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cumbria","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cumbria","White","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","White","30","30","[c]","[c]"
"In post","2021","Analysis","Devon","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","White","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset and Somerset","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset and Somerset","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset and Somerset","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset and Somerset","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset and Somerset","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset and Somerset","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset and Somerset","White","110","100","32830","29270"
"In post","2021","Analysis","East Anglia","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","White","330","310","34540","30220"
"In post","2021","Analysis","East Wales","Asian","[c]","[c]","[c]","[c]"
