"Status","Year","Function_of_post","Ethnicity","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Asian","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Department for Education (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Analysis","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","HM Revenue and Customs (excl. agencies)","70","60","40440","36160"
"In post","2021","Analysis","Asian","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Ministry of Justice (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Analysis","Asian","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","United Kingdom Statistics Authority","40","40","[c]","[c]"
"In post","2021","Analysis","Asian","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Charity Commission","[c]","[c]","[c]","[c]"
