"Status","Year","Region_ITL2","Sex","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Female","Declared disabled","330","300","30360","29290"
"In post","2021","Bedfordshire and Hertfordshire","Female","Declared non-disabled","1790","1620","31390","29290"
"In post","2021","Bedfordshire and Hertfordshire","Female","Undeclared","120","110","30860","28900"
"In post","2021","Bedfordshire and Hertfordshire","Female","Unknown","340","320","33050","30200"
"In post","2021","Bedfordshire and Hertfordshire","Male","Declared disabled","180","170","32320","29290"
"In post","2021","Bedfordshire and Hertfordshire","Male","Declared non-disabled","1330","1290","33660","30750"
"In post","2021","Bedfordshire and Hertfordshire","Male","Undeclared","130","130","33810","31880"
"In post","2021","Bedfordshire and Hertfordshire","Male","Unknown","310","310","35380","31810"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Declared disabled","560","510","30960","28200"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Declared non-disabled","3290","3040","31270","28350"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Undeclared","320","290","31140","28670"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Unknown","620","580","33610","29290"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Declared disabled","450","440","32700","30460"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Declared non-disabled","3100","3040","34440","31810"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Undeclared","410","400","35090","34250"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Unknown","850","830","34080","30400"
"In post","2021","Cheshire","Female","Declared disabled","270","240","28350","27570"
"In post","2021","Cheshire","Female","Declared non-disabled","1310","1190","29870","27570"
"In post","2021","Cheshire","Female","Undeclared","130","120","28810","27570"
"In post","2021","Cheshire","Female","Unknown","480","470","31530","30640"
"In post","2021","Cheshire","Male","Declared disabled","140","130","30740","27570"
"In post","2021","Cheshire","Male","Declared non-disabled","930","910","32300","29180"
"In post","2021","Cheshire","Male","Undeclared","150","140","32310","31650"
"In post","2021","Cheshire","Male","Unknown","490","490","34990","34140"
"In post","2021","Cornwall and Isles of Scilly","Female","Declared disabled","130","110","26430","27570"
"In post","2021","Cornwall and Isles of Scilly","Female","Declared non-disabled","670","590","25830","26590"
"In post","2021","Cornwall and Isles of Scilly","Female","Undeclared","50","40","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Female","Unknown","70","60","29480","22640"
"In post","2021","Cornwall and Isles of Scilly","Male","Declared disabled","80","70","26520","26690"
"In post","2021","Cornwall and Isles of Scilly","Male","Declared non-disabled","510","490","27370","26670"
"In post","2021","Cornwall and Isles of Scilly","Male","Undeclared","50","50","27840","26630"
"In post","2021","Cornwall and Isles of Scilly","Male","Unknown","90","90","25170","21950"
"In post","2021","Cumbria","Female","Declared disabled","140","120","26970","24920"
"In post","2021","Cumbria","Female","Declared non-disabled","1010","870","26320","24920"
"In post","2021","Cumbria","Female","Undeclared","50","40","26770","25420"
"In post","2021","Cumbria","Female","Unknown","40","40","[c]","[c]"
"In post","2021","Cumbria","Male","Declared disabled","100","100","28820","26580"
"In post","2021","Cumbria","Male","Declared non-disabled","670","650","29630","25490"
"In post","2021","Cumbria","Male","Undeclared","60","60","32060","29180"
"In post","2021","Cumbria","Male","Unknown","70","70","32870","30630"
"In post","2021","Derbyshire and Nottinghamshire","Female","Declared disabled","950","840","29660","27570"
"In post","2021","Derbyshire and Nottinghamshire","Female","Declared non-disabled","4630","4130","30650","27570"
"In post","2021","Derbyshire and Nottinghamshire","Female","Undeclared","390","350","29560","27570"
"In post","2021","Derbyshire and Nottinghamshire","Female","Unknown","960","890","28410","25560"
"In post","2021","Derbyshire and Nottinghamshire","Male","Declared disabled","600","570","29430","27570"
"In post","2021","Derbyshire and Nottinghamshire","Male","Declared non-disabled","3420","3290","33230","28210"
"In post","2021","Derbyshire and Nottinghamshire","Male","Undeclared","400","380","31570","31650"
"In post","2021","Derbyshire and Nottinghamshire","Male","Unknown","950","920","29580","25560"
"In post","2021","Devon","Female","Declared disabled","530","450","27430","26670"
"In post","2021","Devon","Female","Declared non-disabled","3220","2800","30120","27570"
"In post","2021","Devon","Female","Undeclared","170","150","27450","26000"
"In post","2021","Devon","Female","Unknown","430","400","26390","22350"
"In post","2021","Devon","Male","Declared disabled","430","410","30230","27570"
"In post","2021","Devon","Male","Declared non-disabled","3380","3260","34290","31740"
"In post","2021","Devon","Male","Undeclared","280","260","30560","28220"
"In post","2021","Devon","Male","Unknown","580","560","29690","26650"
"In post","2021","Dorset and Somerset","Female","Declared disabled","330","290","27710","27150"
"In post","2021","Dorset and Somerset","Female","Declared non-disabled","1760","1550","28320","27570"
"In post","2021","Dorset and Somerset","Female","Undeclared","150","130","29780","27570"
"In post","2021","Dorset and Somerset","Female","Unknown","270","240","28620","24920"
"In post","2021","Dorset and Somerset","Male","Declared disabled","260","250","30070","27570"
"In post","2021","Dorset and Somerset","Male","Declared non-disabled","1780","1730","30710","28220"
"In post","2021","Dorset and Somerset","Male","Undeclared","260","240","31390","31650"
"In post","2021","Dorset and Somerset","Male","Unknown","410","390","31540","27540"
