"Status","Year","Profession_of_post","Sex","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Female","East Midlands (England)","70","60","40050","39040"
"In post","2021","Commercial","Female","East of England","140","130","36900","35630"
"In post","2021","Commercial","Female","London","460","450","45900","41330"
"In post","2021","Commercial","Female","North East (England)","60","50","40740","37030"
"In post","2021","Commercial","Female","North West (England)","290","270","37930","35760"
"In post","2021","Commercial","Female","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Scotland","140","130","35050","33930"
"In post","2021","Commercial","Female","South East (England)","260","240","36200","34800"
"In post","2021","Commercial","Female","South West (England)","900","840","37640","34800"
"In post","2021","Commercial","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Wales","170","150","33520","31090"
"In post","2021","Commercial","Female","West Midlands (England)","140","140","38160","36780"
"In post","2021","Commercial","Female","Yorkshire and The Humber","220","210","39360","36820"
"In post","2021","Commercial","Male","East Midlands (England)","70","60","45880","46870"
"In post","2021","Commercial","Male","East of England","110","110","41660","37320"
"In post","2021","Commercial","Male","London","420","410","49660","45810"
"In post","2021","Commercial","Male","North East (England)","60","60","45420","42630"
"In post","2021","Commercial","Male","North West (England)","230","220","39190","36500"
"In post","2021","Commercial","Male","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Scotland","140","140","36290","34060"
"In post","2021","Commercial","Male","South East (England)","210","200","41270","40330"
"In post","2021","Commercial","Male","South West (England)","820","810","41580","39650"
"In post","2021","Commercial","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Wales","160","160","36480","32180"
"In post","2021","Commercial","Male","West Midlands (England)","110","110","40810","38280"
"In post","2021","Commercial","Male","Yorkshire and The Humber","150","150","41500","37240"
"In post","2021","Communications","Female","East Midlands (England)","70","70","36170","33960"
"In post","2021","Communications","Female","East of England","50","40","[c]","[c]"
"In post","2021","Communications","Female","London","1240","1190","45780","42200"
"In post","2021","Communications","Female","North East (England)","80","70","32660","30090"
"In post","2021","Communications","Female","North West (England)","120","120","36400","33620"
"In post","2021","Communications","Female","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Scotland","40","40","[c]","[c]"
"In post","2021","Communications","Female","South East (England)","160","150","33940","33000"
"In post","2021","Communications","Female","South West (England)","160","150","35050","33320"
"In post","2021","Communications","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Wales","220","200","36560","33840"
"In post","2021","Communications","Female","West Midlands (England)","100","90","40480","38000"
"In post","2021","Communications","Female","Yorkshire and The Humber","70","70","42660","39930"
"In post","2021","Communications","Male","East Midlands (England)","40","40","[c]","[c]"
"In post","2021","Communications","Male","East of England","50","40","[c]","[c]"
"In post","2021","Communications","Male","London","860","850","46940","42700"
"In post","2021","Communications","Male","North East (England)","40","40","[c]","[c]"
"In post","2021","Communications","Male","North West (England)","80","80","36330","35110"
"In post","2021","Communications","Male","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","South East (England)","140","130","32690","31200"
"In post","2021","Communications","Male","South West (England)","150","150","36060","33790"
"In post","2021","Communications","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Wales","140","140","37260","34490"
"In post","2021","Communications","Male","West Midlands (England)","50","50","36020","33100"
"In post","2021","Communications","Male","Yorkshire and The Humber","60","60","40650","36970"
"In post","2021","Corporate Finance","Female","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Female","London","30","30","[c]","[c]"
