"Status","Year","Profession_of_post","Disability","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Declared disabled","Female","310","290","38920","36970"
"In post","2021","Commercial","Declared disabled","Male","200","190","41000","40580"
"In post","2021","Commercial","Declared non-disabled","Female","1880","1780","38990","36460"
"In post","2021","Commercial","Declared non-disabled","Male","1640","1620","42930","40000"
"In post","2021","Commercial","Undeclared","Female","160","150","39630","36110"
"In post","2021","Commercial","Undeclared","Male","190","190","44960","42080"
"In post","2021","Commercial","Unknown","Female","510","480","37560","35760"
"In post","2021","Commercial","Unknown","Male","480","470","39740","36500"
"In post","2021","Communications","Declared disabled","Female","150","140","38260","34320"
"In post","2021","Communications","Declared disabled","Male","110","110","36120","34240"
"In post","2021","Communications","Declared non-disabled","Female","1530","1440","41700","38630"
"In post","2021","Communications","Declared non-disabled","Male","1030","1020","42060","38620"
"In post","2021","Communications","Undeclared","Female","100","100","42020","38600"
"In post","2021","Communications","Undeclared","Male","100","100","41900","38810"
"In post","2021","Communications","Unknown","Female","550","530","41400","37880"
"In post","2021","Communications","Unknown","Male","400","400","42400","38620"
"In post","2021","Corporate Finance","Declared disabled","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared disabled","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared non-disabled","Female","70","70","44410","41990"
"In post","2021","Corporate Finance","Declared non-disabled","Male","60","60","50400","47140"
"In post","2021","Corporate Finance","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","Female","40","40","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared non-disabled","Female","280","260","34380","33100"
"In post","2021","Counter Fraud","Declared non-disabled","Male","330","320","41080","39490"
"In post","2021","Counter Fraud","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Male","50","40","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Female","50","50","40140","34050"
"In post","2021","Counter Fraud","Unknown","Male","90","80","41330","37380"
"In post","2021","Digital, Data and Technology","Declared disabled","Female","410","390","37340","33770"
"In post","2021","Digital, Data and Technology","Declared disabled","Male","630","620","40490","37410"
"In post","2021","Digital, Data and Technology","Declared non-disabled","Female","3020","2860","41220","38450"
"In post","2021","Digital, Data and Technology","Declared non-disabled","Male","5360","5290","43200","39750"
"In post","2021","Digital, Data and Technology","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Undeclared","Female","210","200","40280","38450"
"In post","2021","Digital, Data and Technology","Undeclared","Male","510","500","41460","38630"
"In post","2021","Digital, Data and Technology","Unknown","Female","990","950","40280","36780"
"In post","2021","Digital, Data and Technology","Unknown","Male","2170","2140","41130","38050"
"In post","2021","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared disabled","Female","40","40","[c]","[c]"
"In post","2021","Economics","Declared disabled","Male","60","60","47760","51970"
"In post","2021","Economics","Declared non-disabled","Female","540","510","48820","51970"
"In post","2021","Economics","Declared non-disabled","Male","870","860","49170","48370"
"In post","2021","Economics","Undeclared","Female","30","30","[c]","[c]"
"In post","2021","Economics","Undeclared","Male","90","90","45020","37000"
"In post","2021","Economics","Unknown","Female","190","180","41270","35060"
"In post","2021","Economics","Unknown","Male","350","350","43440","36160"
"In post","2021","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","Female","460","410","36210","32180"
"In post","2021","Finance","Declared disabled","Male","310","300","40300","37410"
"In post","2021","Finance","Declared non-disabled","Female","3630","3370","38460","33930"
"In post","2021","Finance","Declared non-disabled","Male","2820","2780","44640","40580"
"In post","2021","Finance","Undeclared","Female","270","250","37960","34740"
"In post","2021","Finance","Undeclared","Male","250","250","41680","38630"
"In post","2021","Finance","Unknown","Female","780","730","36880","32950"
"In post","2021","Finance","Unknown","Male","640","630","39840","35000"
"In post","2021","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared disabled","Female","700","650","39420","35000"
"In post","2021","Human Resources","Declared disabled","Male","280","280","41120","36720"
"In post","2021","Human Resources","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared non-disabled","Female","3760","3510","38690","33900"
"In post","2021","Human Resources","Declared non-disabled","Male","1550","1520","40570","36500"
"In post","2021","Human Resources","Undeclared","Female","280","270","38060","34030"
"In post","2021","Human Resources","Undeclared","Male","130","120","39250","36600"
"In post","2021","Human Resources","Unknown","Female","820","770","34950","30940"
"In post","2021","Human Resources","Unknown","Male","350","350","34980","31810"
"In post","2021","Inspector of Education and Training","Declared disabled","Female","40","40","[c]","[c]"
"In post","2021","Inspector of Education and Training","Declared disabled","Male","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Declared non-disabled","Female","500","480","64840","64500"
"In post","2021","Inspector of Education and Training","Declared non-disabled","Male","220","220","73860","75500"
"In post","2021","Inspector of Education and Training","Unknown","Female","70","60","57140","51360"
"In post","2021","Inspector of Education and Training","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Declared disabled","Female","150","140","31150","28760"
"In post","2021","Intelligence Analysis","Declared disabled","Male","160","150","35720","33300"
"In post","2021","Intelligence Analysis","Declared non-disabled","Female","1130","1050","32670","29250"
"In post","2021","Intelligence Analysis","Declared non-disabled","Male","1270","1240","35090","31810"
"In post","2021","Intelligence Analysis","Undeclared","Female","130","120","31820","28850"
"In post","2021","Intelligence Analysis","Undeclared","Male","160","160","35850","33300"
"In post","2021","Intelligence Analysis","Unknown","Female","150","150","46000","48060"
"In post","2021","Intelligence Analysis","Unknown","Male","260","250","43010","39420"
"In post","2021","Internal Audit","Declared disabled","Female","50","40","[c]","[c]"
"In post","2021","Internal Audit","Declared disabled","Male","50","40","[c]","[c]"
"In post","2021","Internal Audit","Declared non-disabled","Female","300","280","43710","41640"
"In post","2021","Internal Audit","Declared non-disabled","Male","280","270","48660","46770"
"In post","2021","Internal Audit","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","Male","30","30","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Declared disabled","Female","60","60","44740","39360"
"In post","2021","International Trade","Declared disabled","Male","50","50","[c]","[c]"
"In post","2021","International Trade","Declared non-disabled","Female","320","310","47580","45960"
"In post","2021","International Trade","Declared non-disabled","Male","460","460","47970","44030"
"In post","2021","International Trade","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Unknown","Female","260","250","43930","38540"
"In post","2021","International Trade","Unknown","Male","290","280","47300","39070"
