"Status","Year","Sexual_orientation","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Accountant in Bankruptcy","Scottish Government","80","70","32700","29190"
"In post","2021","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","630","580","34790","34270"
"In post","2021","Heterosexual / straight","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","1880","1780","30450","27960"
"In post","2021","Heterosexual / straight","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office (excl. agencies)","Cabinet Office","4420","4300","47980","40600"
"In post","2021","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","230","210","33820","29510"
"In post","2021","Heterosexual / straight","Charity Commission","Charity Commission","230","220","34440","29160"
"In post","2021","Heterosexual / straight","Companies House","Department for Business, Energy and Industrial Strategy","710","660","31890","27460"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Competition and Markets Authority","690","660","59810","56360"
"In post","2021","Heterosexual / straight","Criminal Injuries Compensation Authority","Ministry of Justice","190","180","26650","22710"
"In post","2021","Heterosexual / straight","Crown Commercial Service","Other Cabinet Office Agencies","560","540","38700","34800"
"In post","2021","Heterosexual / straight","Crown Office and Procurator Fiscal Service","Scottish Government","1740","1610","35150","29040"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Attorney General's Departments","4780","4470","40960","38000"
"In post","2021","Heterosexual / straight","Crown Prosecution Service Inspectorate","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Electronics and Components Agency","Ministry of Defence","130","130","29070","27460"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Ministry of Defence","8470","8180","36490","33730"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Ministry of Defence","3070","2950","40260","37360"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","3780","3690","49480","53380"
