"Status","Year","Region_ITL2","Function_of_post","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Analysis","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Commercial","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Commercial","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Commercial","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Commercial","Luton","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Communications","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Communications","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Communications","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Counter Fraud","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Counter Fraud","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Counter Fraud","Luton","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Debt","Hertfordshire","40","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Digital, Data & Technology","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Digital, Data & Technology","Central Bedfordshire","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Digital, Data & Technology","Hertfordshire","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Finance","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Finance","Hertfordshire","100","90","45110","39600"
"In post","2021","Bedfordshire and Hertfordshire","Human Resources","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Human Resources","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Human Resources","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Human Resources","Luton","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Internal Audit","Central Bedfordshire","[c]","[c]","[c]","[c]"
