"Status","Year","Sex","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Commercial","East Midlands (England)","70","60","40050","39040"
"In post","2021","Female","Commercial","East of England","140","130","36900","35630"
"In post","2021","Female","Commercial","London","460","450","45900","41330"
"In post","2021","Female","Commercial","North East (England)","60","50","40740","37030"
"In post","2021","Female","Commercial","North West (England)","290","270","37930","35760"
"In post","2021","Female","Commercial","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Scotland","140","130","35050","33930"
"In post","2021","Female","Commercial","South East (England)","260","240","36200","34800"
"In post","2021","Female","Commercial","South West (England)","900","840","37640","34800"
"In post","2021","Female","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Wales","170","150","33520","31090"
"In post","2021","Female","Commercial","West Midlands (England)","140","140","38160","36780"
"In post","2021","Female","Commercial","Yorkshire and The Humber","220","210","39360","36820"
"In post","2021","Female","Communications","East Midlands (England)","70","70","36170","33960"
"In post","2021","Female","Communications","East of England","50","40","[c]","[c]"
"In post","2021","Female","Communications","London","1240","1190","45780","42200"
"In post","2021","Female","Communications","North East (England)","80","70","32660","30090"
"In post","2021","Female","Communications","North West (England)","120","120","36400","33620"
"In post","2021","Female","Communications","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Scotland","40","40","[c]","[c]"
"In post","2021","Female","Communications","South East (England)","160","150","33940","33000"
"In post","2021","Female","Communications","South West (England)","160","150","35050","33320"
"In post","2021","Female","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Wales","220","200","36560","33840"
"In post","2021","Female","Communications","West Midlands (England)","100","90","40480","38000"
"In post","2021","Female","Communications","Yorkshire and The Humber","70","70","42660","39930"
"In post","2021","Female","Corporate Finance","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","London","30","30","[c]","[c]"
"In post","2021","Female","Corporate Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","London","160","150","40720","34980"
