"Status","Year","Organisation","Region_ITL2","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","Scotland","110","100","31650","29190"
"In post","2021","Accountant in Bankruptcy","West Central Scotland","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","East Midlands (England)","100","90","29690","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Anglia","East of England","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Wales","Wales","90","90","30920","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","South West (England)","60","50","33460","30970"
"In post","2021","Advisory, Conciliation and Arbitration Service","Greater Manchester","North West (England)","140","130","29840","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","South East (England)","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Inner London - West","London","200","190","42390","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","Northumberland and Tyne and Wear","North East (England)","140","130","29960","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Central Scotland","Scotland","100","100","30430","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands","West Midlands (England)","90","80","30970","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Yorkshire","Yorkshire and The Humber","70","60","31800","30950"
"In post","2021","Animal and Plant Health Agency","Bedfordshire and Hertfordshire","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cheshire","North West (England)","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cornwall and Isles of Scilly","South West (England)","60","50","32700","26520"
"In post","2021","Animal and Plant Health Agency","Cumbria","North West (England)","160","150","25630","21050"
"In post","2021","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","East Midlands (England)","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Devon","South West (England)","210","200","27290","21050"
"In post","2021","Animal and Plant Health Agency","Dorset and Somerset","South West (England)","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Anglia","East of England","90","80","31270","29180"
"In post","2021","Animal and Plant Health Agency","East Wales","Wales","110","100","29490","25100"
"In post","2021","Animal and Plant Health Agency","East Yorkshire and Northern Lincolnshire","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Eastern Scotland","Scotland","50","50","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Essex","East of England","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","South West (England)","120","110","28900","25320"
"In post","2021","Animal and Plant Health Agency","Greater Manchester","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Hampshire and Isle of Wight","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Herefordshire, Worcestershire and Warwickshire","West Midlands (England)","160","150","29810","26600"
"In post","2021","Animal and Plant Health Agency","Highlands and Islands","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Inner London - West","London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Kent","South East (England)","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Lancashire","North West (England)","70","60","30790","26520"
"In post","2021","Animal and Plant Health Agency","Leicestershire, Rutland and Northamptonshire","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Lincolnshire","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North Eastern Scotland","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North Yorkshire","Yorkshire and The Humber","190","180","29070","25330"
"In post","2021","Animal and Plant Health Agency","Northumberland and Tyne and Wear","North East (England)","40","40","[c]","[c]"
