"Status","Year","Region_ITL2","Sex","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Female","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Female","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Female","Finance","60","60","42410","38620"
"In post","2021","Bedfordshire and Hertfordshire","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Female","Legal","140","120","40190","35800"
"In post","2021","Bedfordshire and Hertfordshire","Female","No function","930","850","28410","25860"
"In post","2021","Bedfordshire and Hertfordshire","Female","Project Delivery","100","100","38930","37640"
"In post","2021","Bedfordshire and Hertfordshire","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Female","Unknown","1190","1080","31480","29290"
"In post","2021","Bedfordshire and Hertfordshire","Male","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Male","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Male","Digital, Data & Technology","60","60","37160","37640"
"In post","2021","Bedfordshire and Hertfordshire","Male","Finance","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Male","Legal","60","60","48460","51120"
"In post","2021","Bedfordshire and Hertfordshire","Male","No function","700","680","31920","30730"
"In post","2021","Bedfordshire and Hertfordshire","Male","Project Delivery","100","90","41280","38590"
"In post","2021","Bedfordshire and Hertfordshire","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Male","Security","60","60","24950","22650"
"In post","2021","Bedfordshire and Hertfordshire","Male","Unknown","850","810","33050","29290"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Commercial","110","110","39260","35300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Communications","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Counter Fraud","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Digital, Data & Technology","90","80","40030","38200"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Finance","170","160","37060","33000"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Grants Management","80","70","26380","21050"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Human Resources","100","100","37010","31500"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Legal","150","130","43140","41750"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","No function","1930","1770","30720","27850"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Project Delivery","270","250","36570","33300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Property","110","100","33000","30910"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Security","170","170","30940","27780"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Unknown","1490","1370","28560","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Commercial","100","100","42370","40330"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Communications","60","60","33400","31200"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Counter Fraud","50","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Digital, Data & Technology","180","170","42560","40170"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Finance","130","130","40630","35300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Grants Management","80","70","31340","26520"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Legal","70","60","50730","53630"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","No function","1820","1770","32670","31800"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Project Delivery","230","230","42860","40580"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Property","250","250","34520","33300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Security","910","890","34590","33510"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Unknown","870","860","29570","27570"
"In post","2021","Cheshire","Female","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Female","Digital, Data & Technology","60","50","40530","36740"
"In post","2021","Cheshire","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Female","Grants Management","60","60","24150","22980"
"In post","2021","Cheshire","Female","Human Resources","40","40","[c]","[c]"
"In post","2021","Cheshire","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Female","Legal","30","30","[c]","[c]"
"In post","2021","Cheshire","Female","No function","1260","1190","30880","30640"
"In post","2021","Cheshire","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Female","Unknown","650","570","25440","27570"
"In post","2021","Cheshire","Male","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Male","Digital, Data & Technology","80","80","42960","45480"
"In post","2021","Cheshire","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Male","Grants Management","40","40","[c]","[c]"
"In post","2021","Cheshire","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Male","No function","1150","1120","33680","32450"
"In post","2021","Cheshire","Male","Project Delivery","30","30","[c]","[c]"
"In post","2021","Cheshire","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Male","Unknown","330","320","25690","27570"
"In post","2021","Cornwall and Isles of Scilly","Female","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Female","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Female","No function","140","120","27750","23840"
"In post","2021","Cornwall and Isles of Scilly","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Female","Property","[c]","[c]","[c]","[c]"
