"Status","Year","Region_ITL1","Sexual_orientation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Heterosexual / straight","Attorney General's Departments","320","290","38320","34480"
"In post","2021","East Midlands (England)","Heterosexual / straight","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","80","70","35490","34500"
"In post","2021","East Midlands (England)","Heterosexual / straight","Department for Education","230","220","41450","37100"
"In post","2021","East Midlands (England)","Heterosexual / straight","Department for Environment, Food and Rural Affairs","140","130","34740","30950"
"In post","2021","East Midlands (England)","Heterosexual / straight","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Heterosexual / straight","Department for Transport","400","390","34280","29730"
"In post","2021","East Midlands (England)","Heterosexual / straight","Department for Work and Pensions","3160","2830","27440","27570"
"In post","2021","East Midlands (England)","Heterosexual / straight","Department of Health and Social Care","140","130","41930","36330"
"In post","2021","East Midlands (England)","Heterosexual / straight","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Heterosexual / straight","HM Land Registry","500","460","32400","27130"
"In post","2021","East Midlands (England)","Heterosexual / straight","HM Revenue and Customs","2140","2000","34240","31810"
"In post","2021","East Midlands (England)","Heterosexual / straight","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Heterosexual / straight","Home Office","180","170","27790","25310"
"In post","2021","East Midlands (England)","Heterosexual / straight","Ministry of Defence","1400","1360","28070","23540"
"In post","2021","East Midlands (England)","Heterosexual / straight","Ministry of Housing, Communities and Local Government","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Heterosexual / straight","Ministry of Justice","5100","4740","27360","24470"
"In post","2021","East Midlands (England)","Heterosexual / straight","National Crime Agency","120","120","37940","36740"
"In post","2021","East Midlands (England)","Heterosexual / straight","Office for Standards in Education","140","130","45330","39850"
"In post","2021","East Midlands (England)","Heterosexual / straight","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Department for Work and Pensions","200","180","26790","27570"
"In post","2021","East Midlands (England)","LGBO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","HM Revenue and Customs","140","130","33630","31810"
"In post","2021","East Midlands (England)","LGBO","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Ministry of Defence","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Ministry of Justice","310","300","27550","25400"
"In post","2021","East Midlands (England)","LGBO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Department for Transport","110","100","34950","30890"
"In post","2021","East Midlands (England)","Undeclared","Department for Work and Pensions","450","390","28440","27570"
"In post","2021","East Midlands (England)","Undeclared","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","HM Land Registry","80","70","30910","27130"
"In post","2021","East Midlands (England)","Undeclared","HM Revenue and Customs","310","280","33390","31810"
"In post","2021","East Midlands (England)","Undeclared","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Home Office","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Ministry of Defence","230","220","29590","26670"
"In post","2021","East Midlands (England)","Undeclared","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Ministry of Justice","700","640","27950","24620"
"In post","2021","East Midlands (England)","Undeclared","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Attorney General's Departments","100","90","38410","34480"
"In post","2021","East Midlands (England)","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Department for Business, Energy and Industrial Strategy","110","110","29920","30240"
"In post","2021","East Midlands (England)","Unknown","Department for Education","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Department for Environment, Food and Rural Affairs","70","70","30020","26100"
"In post","2021","East Midlands (England)","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Department for Transport","120","110","30710","26700"
"In post","2021","East Midlands (England)","Unknown","Department for Work and Pensions","1080","930","26270","27570"
"In post","2021","East Midlands (England)","Unknown","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","HM Land Registry","260","240","28670","27130"
"In post","2021","East Midlands (England)","Unknown","HM Revenue and Customs","1360","1260","28050","25560"
"In post","2021","East Midlands (England)","Unknown","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Ministry of Defence","160","160","28700","24760"
"In post","2021","East Midlands (England)","Unknown","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Ministry of Justice","1030","950","26250","24440"
"In post","2021","East Midlands (England)","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Heterosexual / straight","Attorney General's Departments","350","320","39880","35020"
"In post","2021","East of England","Heterosexual / straight","Cabinet Office","60","50","39830","33300"
"In post","2021","East of England","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","110","100","35770","34500"
"In post","2021","East of England","Heterosexual / straight","Department for Education","60","50","45540","41990"
"In post","2021","East of England","Heterosexual / straight","Department for Environment, Food and Rural Affairs","430","400","34460","30220"
"In post","2021","East of England","Heterosexual / straight","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Heterosexual / straight","Department for Transport","260","240","30580","27680"
"In post","2021","East of England","Heterosexual / straight","Department for Work and Pensions","3140","2860","28720","27570"
"In post","2021","East of England","Heterosexual / straight","Department of Health and Social Care","470","430","42920","37640"
"In post","2021","East of England","Heterosexual / straight","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Heterosexual / straight","HM Land Registry","170","160","32790","29760"
"In post","2021","East of England","Heterosexual / straight","HM Revenue and Customs","990","900","32890","31810"
"In post","2021","East of England","Heterosexual / straight","HM Treasury","60","50","32000","29320"
"In post","2021","East of England","Heterosexual / straight","Home Office","1550","1390","26550","25220"
"In post","2021","East of England","Heterosexual / straight","Ministry of Defence","2890","2800","31940","29200"
"In post","2021","East of England","Heterosexual / straight","Ministry of Housing, Communities and Local Government","60","60","39390","36340"
"In post","2021","East of England","Heterosexual / straight","Ministry of Justice","4720","4430","28910","27700"
"In post","2021","East of England","Heterosexual / straight","National Crime Agency","100","90","38270","37590"
"In post","2021","East of England","Heterosexual / straight","Office for Standards in Education","80","80","62190","64500"
"In post","2021","East of England","Heterosexual / straight","Other Cabinet Office Agencies","120","110","36070","34800"
"In post","2021","East of England","LGBO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","East of England","LGBO","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","East of England","LGBO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","East of England","LGBO","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","East of England","LGBO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","East of England","LGBO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East of England","LGBO","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","East of England","LGBO","Department for Work and Pensions","190","180","28240","27570"
"In post","2021","East of England","LGBO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
