"Status","Year","Ethnicity","Sex","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Female","Analysis","210","200","43230","38630"
"In post","2021","Asian","Female","Commercial","140","130","39670","34550"
"In post","2021","Asian","Female","Communications","210","210","35740","31810"
"In post","2021","Asian","Female","Counter Fraud","290","270","31500","29570"
"In post","2021","Asian","Female","Debt","220","180","23710","24360"
"In post","2021","Asian","Female","Digital, Data & Technology","320","310","41290","36390"
"In post","2021","Asian","Female","Finance","360","340","36730","33660"
"In post","2021","Asian","Female","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Human Resources","360","340","37070","33950"
"In post","2021","Asian","Female","Internal Audit","40","40","[c]","[c]"
"In post","2021","Asian","Female","Legal","780","710","42110","40920"
"In post","2021","Asian","Female","No function","5100","4660","32200","28130"
"In post","2021","Asian","Female","Project Delivery","560","540","41070","37640"
"In post","2021","Asian","Female","Property","160","140","31710","29450"
"In post","2021","Asian","Female","Security","80","70","34800","33080"
"In post","2021","Asian","Female","Unknown","7490","6570","29400","27570"
"In post","2021","Asian","Male","Analysis","220","220","42530","39730"
"In post","2021","Asian","Male","Commercial","140","130","42930","37920"
"In post","2021","Asian","Male","Communications","290","290","30500","26210"
"In post","2021","Asian","Male","Counter Fraud","320","320","33160","31810"
"In post","2021","Asian","Male","Debt","140","120","24100","21400"
"In post","2021","Asian","Male","Digital, Data & Technology","480","480","41190","37640"
"In post","2021","Asian","Male","Finance","380","380","39760","36640"
"In post","2021","Asian","Male","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Human Resources","120","110","36230","32310"
"In post","2021","Asian","Male","Internal Audit","40","40","[c]","[c]"
"In post","2021","Asian","Male","Legal","370","360","43290","40800"
"In post","2021","Asian","Male","No function","4220","4070","32940","29730"
"In post","2021","Asian","Male","Project Delivery","580","570","42080","38630"
"In post","2021","Asian","Male","Property","160","150","37060","31810"
"In post","2021","Asian","Male","Security","150","150","30450","26590"
"In post","2021","Asian","Male","Unknown","5240","5070","30010","27570"
"In post","2021","Black","Female","Analysis","100","100","38410","36120"
"In post","2021","Black","Female","Commercial","120","120","38600","36060"
"In post","2021","Black","Female","Communications","140","130","33700","31810"
"In post","2021","Black","Female","Counter Fraud","160","160","31400","29570"
"In post","2021","Black","Female","Debt","100","90","25420","24120"
"In post","2021","Black","Female","Digital, Data & Technology","160","150","38250","35960"
"In post","2021","Black","Female","Finance","220","210","38080","35990"
"In post","2021","Black","Female","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Human Resources","260","250","37270","33820"
"In post","2021","Black","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Legal","480","450","40580","35000"
"In post","2021","Black","Female","No function","3590","3420","31690","28690"
"In post","2021","Black","Female","Project Delivery","400","390","39120","36160"
"In post","2021","Black","Female","Property","90","90","34880","31620"
"In post","2021","Black","Female","Security","40","40","[c]","[c]"
"In post","2021","Black","Female","Unknown","4200","3900","30300","29360"
"In post","2021","Black","Male","Analysis","80","80","41080","39870"
"In post","2021","Black","Male","Commercial","60","60","43940","40580"
"In post","2021","Black","Male","Communications","70","70","31410","25560"
"In post","2021","Black","Male","Counter Fraud","90","90","31710","29570"
"In post","2021","Black","Male","Debt","60","50","25310","25600"
"In post","2021","Black","Male","Digital, Data & Technology","220","220","39930","36030"
"In post","2021","Black","Male","Finance","130","130","41640","38580"
"In post","2021","Black","Male","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Human Resources","50","50","38230","34640"
"In post","2021","Black","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Legal","170","170","43150","36160"
"In post","2021","Black","Male","No function","2230","2190","32930","31570"
"In post","2021","Black","Male","Project Delivery","260","260","39070","36650"
"In post","2021","Black","Male","Property","60","50","38770","37530"
"In post","2021","Black","Male","Security","80","80","29470","22650"
"In post","2021","Black","Male","Unknown","1970","1930","30800","29290"
"In post","2021","Black","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Analysis","30","30","[c]","[c]"
"In post","2021","Chinese","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Finance","30","30","[c]","[c]"
"In post","2021","Chinese","Female","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Legal","40","40","[c]","[c]"
"In post","2021","Chinese","Female","No function","260","250","36900","32790"
"In post","2021","Chinese","Female","Project Delivery","30","30","[c]","[c]"
"In post","2021","Chinese","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Unknown","240","220","32150","27570"
"In post","2021","Chinese","Male","Analysis","30","30","[c]","[c]"
"In post","2021","Chinese","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","Chinese","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","No function","200","190","36610","32560"
"In post","2021","Chinese","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Unknown","140","140","32540","28980"
"In post","2021","Chinese","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","Analysis","90","80","42220","37020"
"In post","2021","Mixed","Female","Commercial","60","60","38630","34670"
"In post","2021","Mixed","Female","Communications","100","100","37080","33730"
"In post","2021","Mixed","Female","Counter Fraud","60","50","30820","27830"
"In post","2021","Mixed","Female","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","Digital, Data & Technology","100","100","42300","40480"
"In post","2021","Mixed","Female","Finance","90","80","39700","36590"
"In post","2021","Mixed","Female","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","Human Resources","120","110","41230","37010"
"In post","2021","Mixed","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","Legal","230","210","46690","50520"
"In post","2021","Mixed","Female","No function","1880","1770","33510","30500"
"In post","2021","Mixed","Female","Project Delivery","230","220","41000","36890"
"In post","2021","Mixed","Female","Property","60","50","33330","31600"
"In post","2021","Mixed","Female","Security","40","30","[c]","[c]"
"In post","2021","Mixed","Female","Unknown","1750","1610","30690","27570"
"In post","2021","Mixed","Male","Analysis","110","100","42560","38160"
"In post","2021","Mixed","Male","Commercial","40","40","[c]","[c]"
"In post","2021","Mixed","Male","Communications","60","60","35410","31810"
"In post","2021","Mixed","Male","Counter Fraud","80","70","36840","34250"
"In post","2021","Mixed","Male","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Male","Digital, Data & Technology","130","130","44470","40040"
"In post","2021","Mixed","Male","Finance","70","70","43840","40000"
"In post","2021","Mixed","Male","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Male","Human Resources","60","60","40400","34020"
"In post","2021","Mixed","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Male","Legal","120","110","48850","51120"
"In post","2021","Mixed","Male","No function","1400","1360","36670","32560"
"In post","2021","Mixed","Male","Project Delivery","230","220","43350","39860"
"In post","2021","Mixed","Male","Property","50","50","[c]","[c]"
"In post","2021","Mixed","Male","Security","60","60","35060","31360"
"In post","2021","Mixed","Male","Unknown","1050","1010","31690","27570"
"In post","2021","Mixed","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Analysis","[c]","[c]","[c]","[c]"
