"Status","Year","Region_ITL2","Region_ITL1","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","East of England","Declared disabled","510","470","31040","29290"
"In post","2021","Bedfordshire and Hertfordshire","East of England","Declared non-disabled","3130","2910","32360","29290"
"In post","2021","Bedfordshire and Hertfordshire","East of England","Undeclared","260","240","32400","29870"
"In post","2021","Bedfordshire and Hertfordshire","East of England","Unknown","650","630","34180","30990"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","Declared disabled","1000","950","31740","29290"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","Declared non-disabled","6390","6080","32810","29440"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","Undeclared","730","690","33340","33000"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","Unknown","1470","1410","33880","30400"
"In post","2021","Cheshire","North West (England)","Declared disabled","400","370","29170","27570"
"In post","2021","Cheshire","North West (England)","Declared non-disabled","2240","2100","30880","27570"
"In post","2021","Cheshire","North West (England)","Undeclared","280","260","30710","31650"
"In post","2021","Cheshire","North West (England)","Unknown","980","960","33280","32770"
"In post","2021","Cornwall and Isles of Scilly","South West (England)","Declared disabled","210","190","26460","27570"
"In post","2021","Cornwall and Isles of Scilly","South West (England)","Declared non-disabled","1180","1080","26500","26670"
"In post","2021","Cornwall and Isles of Scilly","South West (England)","Undeclared","100","90","27270","26670"
"In post","2021","Cornwall and Isles of Scilly","South West (England)","Unknown","160","150","27000","21960"
"In post","2021","Cumbria","North West (England)","Declared disabled","240","220","27770","25790"
"In post","2021","Cumbria","North West (England)","Declared non-disabled","1680","1520","27630","24920"
"In post","2021","Cumbria","North West (England)","Undeclared","110","100","29680","26810"
"In post","2021","Cumbria","North West (England)","Unknown","110","110","32250","29370"
"In post","2021","Derbyshire and Nottinghamshire","East Midlands (England)","Declared disabled","1550","1420","29570","27570"
"In post","2021","Derbyshire and Nottinghamshire","East Midlands (England)","Declared non-disabled","8050","7420","31740","27570"
"In post","2021","Derbyshire and Nottinghamshire","East Midlands (England)","Undeclared","790","730","30580","28330"
"In post","2021","Derbyshire and Nottinghamshire","East Midlands (England)","Unknown","1910","1820","28990","25560"
"In post","2021","Devon","South West (England)","Declared disabled","960","860","28680","27570"
"In post","2021","Devon","South West (England)","Declared non-disabled","6600","6060","32260","27570"
"In post","2021","Devon","South West (England)","Undeclared","450","410","29360","27570"
"In post","2021","Devon","South West (England)","Unknown","1010","960","28280","24500"
"In post","2021","Dorset and Somerset","South West (England)","Declared disabled","590","540","28750","27570"
"In post","2021","Dorset and Somerset","South West (England)","Declared non-disabled","3540","3290","29520","27570"
"In post","2021","Dorset and Somerset","South West (England)","Undeclared","400","380","30800","29240"
"In post","2021","Dorset and Somerset","South West (England)","Unknown","680","640","30390","26740"
"In post","2021","East Anglia","East of England","Declared disabled","1360","1250","29280","27570"
"In post","2021","East Anglia","East of England","Declared non-disabled","8530","7930","29920","27570"
"In post","2021","East Anglia","East of England","Undeclared","1120","1030","31010","30980"
"In post","2021","East Anglia","East of England","Unknown","1460","1380","31510","27570"
"In post","2021","East Wales","Wales","Declared disabled","1780","1640","31210","27570"
"In post","2021","East Wales","Wales","Declared non-disabled","13500","12620","33660","28850"
"In post","2021","East Wales","Wales","Undeclared","980","910","31400","28750"
"In post","2021","East Wales","Wales","Unknown","4110","3890","29670","25560"
"In post","2021","East Yorkshire and Northern Lincolnshire","Yorkshire and The Humber","Declared disabled","500","450","27030","27130"
"In post","2021","East Yorkshire and Northern Lincolnshire","Yorkshire and The Humber","Declared non-disabled","3340","3050","27960","27130"
"In post","2021","East Yorkshire and Northern Lincolnshire","Yorkshire and The Humber","Undeclared","420","380","30460","31650"
