"Status","Year","Region_ITL1","Region_ITL2","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Asian","650","590","29880","27570"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Black","320","300","27280","26560"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Mixed","210","200","30360","27570"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Other ethnicity","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Undeclared","500","460","31450","28130"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","1800","1700","28540","25560"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","White","8750","8080","31650","27570"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Asian","1030","920","25190","22030"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Black","170","160","26400","24140"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Mixed","100","90","27890","27570"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Undeclared","270","250","27380","26930"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Unknown","740","690","25330","22850"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","White","3900","3580","28420","27130"
"In post","2021","East Midlands (England)","Lincolnshire","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Undeclared","140","130","31090","27570"
"In post","2021","East Midlands (England)","Lincolnshire","Unknown","150","150","27370","26300"
"In post","2021","East Midlands (England)","Lincolnshire","White","2450","2310","27840","26670"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Asian","540","500","30790","29290"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Black","230","220","30990","29290"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Mixed","140","130","31830","29290"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Other ethnicity","40","40","[c]","[c]"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Undeclared","210","190","32800","30420"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Unknown","410","390","29890","28100"
"In post","2021","East of England","Bedfordshire and Hertfordshire","White","2950","2760","33160","30110"
"In post","2021","East of England","East Anglia","Asian","370","320","27160","23130"
"In post","2021","East of England","East Anglia","Black","120","120","32370","27570"
"In post","2021","East of England","East Anglia","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","East Anglia","Mixed","180","170","28940","27570"
"In post","2021","East of England","East Anglia","Other ethnicity","50","50","[c]","[c]"
"In post","2021","East of England","East Anglia","Undeclared","570","530","31140","27900"
"In post","2021","East of England","East Anglia","Unknown","1090","1030","28940","26350"
"In post","2021","East of England","East Anglia","White","10060","9370","30280","27570"
"In post","2021","East of England","Essex","Asian","210","200","34760","29290"
"In post","2021","East of England","Essex","Black","240","230","29610","29290"
"In post","2021","East of England","Essex","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Essex","Mixed","100","90","32100","29290"
"In post","2021","East of England","Essex","Other ethnicity","30","30","[c]","[c]"
"In post","2021","East of England","Essex","Undeclared","310","290","30990","29090"
"In post","2021","East of England","Essex","Unknown","580","540","29370","26590"
"In post","2021","East of England","Essex","White","4110","3750","30790","29290"
"In post","2021","London","Inner London - East","Asian","2520","2360","37070","31880"
"In post","2021","London","Inner London - East","Black","2540","2440","33470","31060"
"In post","2021","London","Inner London - East","Chinese","110","110","44400","40450"
"In post","2021","London","Inner London - East","Mixed","610","580","38210","32680"
"In post","2021","London","Inner London - East","Other ethnicity","270","250","42610","35570"
"In post","2021","London","Inner London - East","Undeclared","930","870","40430","33090"
"In post","2021","London","Inner London - East","Unknown","2010","1920","40340","34700"
"In post","2021","London","Inner London - East","White","8220","7840","47040","41030"
"In post","2021","London","Inner London - West","Asian","6000","5800","41320","36240"
"In post","2021","London","Inner London - West","Black","4330","4230","36970","33460"
"In post","2021","London","Inner London - West","Chinese","360","360","44730","40860"
"In post","2021","London","Inner London - West","Mixed","2050","2000","44360","39960"
"In post","2021","London","Inner London - West","Other ethnicity","710","680","44660","39000"
"In post","2021","London","Inner London - West","Undeclared","2340","2270","46680","42620"
"In post","2021","London","Inner London - West","Unknown","11100","10900","45400","39610"
"In post","2021","London","Inner London - West","White","34260","33250","50080","48920"
"In post","2021","London","Outer London - East and North East","Asian","700","640","29620","31060"
"In post","2021","London","Outer London - East and North East","Black","640","620","30720","31060"
"In post","2021","London","Outer London - East and North East","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","London","Outer London - East and North East","Mixed","120","110","30180","31060"
"In post","2021","London","Outer London - East and North East","Other ethnicity","70","60","30590","31060"
