"Status","Year","Age","Sexual_orientation","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Heterosexual / straight","Declared disabled","40","40","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Declared non-disabled","610","590","21700","21010"
"In post","2021","16-19","Heterosexual / straight","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Unknown","60","60","21720","21690"
"In post","2021","16-19","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","16-19","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","480","460","20480","20140"
"In post","2021","20-29","Heterosexual / straight","Declared disabled","3400","3340","28910","27570"
"In post","2021","20-29","Heterosexual / straight","Declared non-disabled","38700","38110","29110","27570"
"In post","2021","20-29","Heterosexual / straight","Undeclared","1240","1230","29460","27570"
"In post","2021","20-29","Heterosexual / straight","Unknown","3760","3720","30310","28840"
"In post","2021","20-29","LGBO","Declared disabled","1020","1000","28960","27570"
"In post","2021","20-29","LGBO","Declared non-disabled","3680","3640","30120","27570"
"In post","2021","20-29","LGBO","Undeclared","270","270","29520","27570"
"In post","2021","20-29","LGBO","Unknown","450","450","31460","29240"
"In post","2021","20-29","Undeclared","Declared disabled","340","330","29460","27570"
"In post","2021","20-29","Undeclared","Declared non-disabled","2180","2150","30440","27980"
