"Status","Year","Region_ITL2","Parent_department","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Attorney General's Departments","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Attorney General's Departments","Black","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Attorney General's Departments","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Attorney General's Departments","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Attorney General's Departments","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Attorney General's Departments","White","120","100","42010","40000"
"In post","2021","Bedfordshire and Hertfordshire","Cabinet Office","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Cabinet Office","Black","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Cabinet Office","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Cabinet Office","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Cabinet Office","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Cabinet Office","White","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Business, Energy and Industrial Strategy","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Business, Energy and Industrial Strategy","Black","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Business, Energy and Industrial Strategy","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Business, Energy and Industrial Strategy","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Business, Energy and Industrial Strategy","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Business, Energy and Industrial Strategy","White","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Education","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Education","Black","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Education","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Education","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Education","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Education","White","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Environment, Food and Rural Affairs","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Environment, Food and Rural Affairs","Black","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Environment, Food and Rural Affairs","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Environment, Food and Rural Affairs","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Environment, Food and Rural Affairs","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Environment, Food and Rural Affairs","White","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Transport","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Transport","Black","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Transport","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Transport","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Transport","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Transport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
