"Status","Year","Organisation","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Unknown","Female","80","70","30250","29190"
"In post","2021","Accountant in Bankruptcy","Unknown","Male","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Male","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Female","540","490","30930","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Male","370","350","32380","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Female","940","870","26190","24920"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Male","630","610","28380","26520"
"In post","2021","Animal and Plant Health Agency","Other","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Female","400","370","30290","28170"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Male","250","240","34010","30110"
"In post","2021","Animal and Plant Health Agency","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Female","210","190","43130","38130"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Male","150","140","46360","46160"
