"Status","Year","Function_of_post","Sex","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Female","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Dorset and Somerset","50","50","30150","29270"
"In post","2021","Analysis","Female","East Anglia","160","140","31770","29270"
"In post","2021","Analysis","Female","East Wales","550","510","35250","33020"
"In post","2021","Analysis","Female","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Gloucestershire, Wiltshire and Bath/Bristol area","160","150","38950","37320"
"In post","2021","Analysis","Female","Greater Manchester","100","90","38060","33190"
"In post","2021","Analysis","Female","Hampshire and Isle of Wight","350","320","37300","37020"
"In post","2021","Analysis","Female","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Inner London - East","300","280","49880","45730"
"In post","2021","Analysis","Female","Inner London - West","1170","1120","48040","44300"
"In post","2021","Analysis","Female","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Merseyside","70","60","39690","38630"
"In post","2021","Analysis","Female","North Yorkshire","40","30","[c]","[c]"
"In post","2021","Analysis","Female","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","South Yorkshire","60","50","42340","42220"
"In post","2021","Analysis","Female","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","West Yorkshire","80","80","39650","38280"
"In post","2021","Analysis","Male","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","Dorset and Somerset","70","60","35240","29990"
"In post","2021","Analysis","Male","East Anglia","200","200","36570","35900"
"In post","2021","Analysis","Male","East Wales","490","480","37920","36030"
"In post","2021","Analysis","Male","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","Gloucestershire, Wiltshire and Bath/Bristol area","160","160","39000","37320"
"In post","2021","Analysis","Male","Greater Manchester","130","130","38170","38630"
"In post","2021","Analysis","Male","Hampshire and Isle of Wight","460","450","39970","37320"
"In post","2021","Analysis","Male","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","Inner London - East","390","390","51390","46890"
"In post","2021","Analysis","Male","Inner London - West","1540","1520","48850","45010"
"In post","2021","Analysis","Male","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","Merseyside","50","50","41030","38630"
"In post","2021","Analysis","Male","North Yorkshire","30","30","[c]","[c]"
"In post","2021","Analysis","Male","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","South Yorkshire","60","60","45660","45620"
"In post","2021","Analysis","Male","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","Tees Valley and Durham","[c]","[c]","[c]","[c]"
