"Status","Year","Region_ITL3","Sex","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Declared disabled","80","70","29420","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Declared non-disabled","530","480","33730","28170"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Unknown","300","280","30650","28410"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Declared disabled","50","50","39650","32400"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Declared non-disabled","520","510","43490","35110"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Undeclared","30","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Unknown","330","310","33420","33650"
"In post","2021","Angus and Dundee City","Female","Declared disabled","180","160","24100","21150"
"In post","2021","Angus and Dundee City","Female","Declared non-disabled","710","640","26910","24910"
"In post","2021","Angus and Dundee City","Female","Undeclared","50","40","[c]","[c]"
"In post","2021","Angus and Dundee City","Female","Unknown","220","200","27410","22230"
"In post","2021","Angus and Dundee City","Male","Declared disabled","80","80","23930","21010"
"In post","2021","Angus and Dundee City","Male","Declared non-disabled","450","440","26380","21440"
"In post","2021","Angus and Dundee City","Male","Undeclared","40","40","[c]","[c]"
"In post","2021","Angus and Dundee City","Male","Unknown","170","160","25810","21400"
"In post","2021","Antrim and Newtownabbey","Female","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Female","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Male","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Male","Declared non-disabled","90","90","24480","20310"
"In post","2021","Antrim and Newtownabbey","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Female","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Female","Declared non-disabled","40","30","[c]","[c]"
"In post","2021","Ards and North Down","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Male","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Male","Declared non-disabled","100","100","26090","20310"
"In post","2021","Ards and North Down","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Male","Unknown","40","40","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Female","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Female","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Male","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Male","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Female","Declared disabled","70","60","30790","31060"
"In post","2021","Barking & Dagenham and Havering","Female","Declared non-disabled","280","250","30080","31060"
"In post","2021","Barking & Dagenham and Havering","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Male","Declared disabled","30","30","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Male","Declared non-disabled","160","150","31360","31060"
"In post","2021","Barking & Dagenham and Havering","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Female","Declared disabled","80","70","32650","31060"
"In post","2021","Barnet","Female","Declared non-disabled","680","630","35310","31880"
"In post","2021","Barnet","Female","Undeclared","40","30","[c]","[c]"
"In post","2021","Barnet","Female","Unknown","270","250","47450","40470"
"In post","2021","Barnet","Male","Declared disabled","50","40","[c]","[c]"
"In post","2021","Barnet","Male","Declared non-disabled","410","400","39720","33950"
"In post","2021","Barnet","Male","Undeclared","40","40","[c]","[c]"
"In post","2021","Barnet","Male","Unknown","130","130","50640","46000"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","Declared disabled","280","240","26320","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","Declared non-disabled","1350","1140","26040","26120"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","Undeclared","120","110","28620","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","Unknown","90","90","23900","22850"
"In post","2021","Barnsley, Doncaster and Rotherham","Male","Declared disabled","140","130","28080","26810"
"In post","2021","Barnsley, Doncaster and Rotherham","Male","Declared non-disabled","790","750","29050","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Male","Undeclared","140","130","30840","31650"
"In post","2021","Barnsley, Doncaster and Rotherham","Male","Unknown","90","90","24670","24440"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","Declared disabled","640","600","34130","32280"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","Declared non-disabled","3830","3540","34540","32350"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","Undeclared","280","260","35860","33300"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","Unknown","620","580","35770","33000"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","Declared disabled","710","690","38750","37510"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","Declared non-disabled","5720","5630","39960","38010"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","Undeclared","570","560","40940","39970"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","Unknown","990","970","38970","36650"
"In post","2021","Bedford","Female","Declared disabled","70","60","29260","27850"
"In post","2021","Bedford","Female","Declared non-disabled","320","290","29350","27570"
"In post","2021","Bedford","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Female","Unknown","50","50","26100","22850"
"In post","2021","Bedford","Male","Declared disabled","40","40","[c]","[c]"
"In post","2021","Bedford","Male","Declared non-disabled","250","250","32500","30400"
"In post","2021","Bedford","Male","Undeclared","30","30","[c]","[c]"
"In post","2021","Bedford","Male","Unknown","50","50","29240","27850"
"In post","2021","Belfast","Female","Declared disabled","140","120","29400","26550"
"In post","2021","Belfast","Female","Declared non-disabled","860","770","29580","25560"
"In post","2021","Belfast","Female","Undeclared","80","70","29530","26750"
"In post","2021","Belfast","Female","Unknown","350","320","26400","21440"
"In post","2021","Belfast","Male","Declared disabled","100","90","26950","25560"
"In post","2021","Belfast","Male","Declared non-disabled","790","760","29950","25560"
"In post","2021","Belfast","Male","Undeclared","60","60","31740","31320"
"In post","2021","Belfast","Male","Unknown","430","420","27370","25560"
"In post","2021","Berkshire","Female","Declared disabled","180","160","32880","29290"
"In post","2021","Berkshire","Female","Declared non-disabled","910","840","32710","29290"
"In post","2021","Berkshire","Female","Undeclared","70","60","31430","29290"
"In post","2021","Berkshire","Female","Unknown","210","200","33040","30540"
"In post","2021","Berkshire","Male","Declared disabled","150","140","33830","31880"
"In post","2021","Berkshire","Male","Declared non-disabled","950","940","36180","32120"
"In post","2021","Berkshire","Male","Undeclared","110","100","36300","38850"
"In post","2021","Berkshire","Male","Unknown","380","370","35540","36200"
"In post","2021","Bexley and Greenwich","Female","Declared disabled","120","110","30020","30550"
"In post","2021","Bexley and Greenwich","Female","Declared non-disabled","600","560","30950","31060"
"In post","2021","Bexley and Greenwich","Female","Undeclared","90","90","30030","28880"
"In post","2021","Bexley and Greenwich","Female","Unknown","110","110","28910","29250"
"In post","2021","Bexley and Greenwich","Male","Declared disabled","70","60","32140","31590"
