"Status","Year","Function_of_post","Region_ITL2","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Bedfordshire and Hertfordshire","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bedfordshire and Hertfordshire","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cumbria","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cumbria","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset and Somerset","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset and Somerset","Declared non-disabled","70","60","32230","29270"
"In post","2021","Analysis","Dorset and Somerset","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset and Somerset","Unknown","50","40","[c]","[c]"
"In post","2021","Analysis","East Anglia","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","Declared non-disabled","230","220","32850","29750"
"In post","2021","Analysis","East Anglia","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","Unknown","90","90","39600","37280"
"In post","2021","Analysis","East Wales","Declared disabled","90","80","36790","36030"
"In post","2021","Analysis","East Wales","Declared non-disabled","540","510","38890","36840"
"In post","2021","Analysis","East Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Wales","Unknown","410","400","33140","29540"
"In post","2021","Analysis","East Yorkshire and Northern Lincolnshire","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Yorkshire and Northern Lincolnshire","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Eastern Scotland","Declared disabled","[c]","[c]","[c]","[c]"
