"Status","Year","Parent_department","Ethnicity","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Asian","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Asian","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Asian","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Asian","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Asian","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Asian","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Asian","Legal","800","740","43030","48080"
"In post","2021","Attorney General's Departments","Asian","No function","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Asian","Property","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Asian","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Black","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Black","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Black","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Black","Legal","490","470","41190","33310"
"In post","2021","Attorney General's Departments","Black","No function","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Black","Property","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Black","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","Legal","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","No function","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","Property","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","Legal","260","240","47180","50520"
"In post","2021","Attorney General's Departments","Mixed","No function","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","Property","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other ethnicity","Legal","120","120","51440","52730"
"In post","2021","Attorney General's Departments","Other ethnicity","No function","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Legal","140","130","44930","48830"
"In post","2021","Attorney General's Departments","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Counter Fraud","60","60","46920","40270"
"In post","2021","Attorney General's Departments","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Legal","1010","940","47270","51250"
"In post","2021","Attorney General's Departments","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
