"Status","Year","Age","Region_ITL3","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Aberdeen City and Aberdeenshire","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Angus and Dundee City","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barking & Dagenham and Havering","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnet","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnsley, Doncaster and Rotherham","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Gloucestershire, Wiltshire and Bath/Bristol area","100","100","18130","17780"
"In post","2021","16-19","Bedford","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Belfast","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bexley and Greenwich","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Birmingham","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Blackburn with Darwen","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Blackpool","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bradford","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Breckland and South Norfolk","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Brent","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bridgend and Neath Port Talbot","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Brighton and Hove","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bristol, City of","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Buckinghamshire CC","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Calderdale and Kirklees","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cambridgeshire CC","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Camden and City of London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cardiff and Vale of Glamorgan","East Wales","40","30","[c]","[c]"
"In post","2021","16-19","Central Bedfordshire","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Central Hampshire","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Central Valleys","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire East","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire West and Chester","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chorley and West Lancashire","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","City of Edinburgh","Eastern Scotland","80","80","21190","21150"
"In post","2021","16-19","Clackmannanshire and Fife","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Coventry","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Croydon","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derby","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon CC","Devon","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dudley","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dumfries and Galloway","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Durham CC","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ealing","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Ayrshire and North Ayrshire mainland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Cumbria","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Kent","Kent","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Riding of Yorkshire","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
