"Status","Year","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","240","230","42200","41990"
"In post","2021","Analysis","Economics","1280","1250","46460","39640"
"In post","2021","Analysis","Finance","50","50","[c]","[c]"
"In post","2021","Analysis","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","290","280","52160","53360"
"In post","2021","Analysis","Knowledge and Information Management","50","50","37300","33020"
"In post","2021","Analysis","Operational Delivery","590","550","32370","30020"
"In post","2021","Analysis","Operational Research","660","640","44090","41580"
"In post","2021","Analysis","Other","220","210","64340","57250"
"In post","2021","Analysis","Policy","350","330","47530","45540"
"In post","2021","Analysis","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","670","640","35880","31070"
"In post","2021","Analysis","Social Research","870","830","41230","37020"
"In post","2021","Analysis","Statistics","1780","1720","43100","39050"
"In post","2021","Analysis","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","100","100","45030","41760"
"In post","2021","Commercial","Commercial","4090","3950","40480","37620"
"In post","2021","Commercial","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","70","70","33520","29730"
"In post","2021","Commercial","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","690","670","33530","30870"
"In post","2021","Commercial","Operational Delivery","410","400","42880","37360"
"In post","2021","Commercial","Other","70","60","44510","40900"
"In post","2021","Commercial","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","70","70","47400","43640"
"In post","2021","Commercial","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","110","110","40650","40740"
"In post","2021","Commercial","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","1440","1420","69960","64500"
"In post","2021","Commercial","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","3420","3310","41310","37910"
"In post","2021","Communications","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Communications","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Operational Delivery","1530","1440","29900","26520"
"In post","2021","Communications","Other","250","250","25900","21600"
"In post","2021","Communications","Policy","30","30","[c]","[c]"
"In post","2021","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Property","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Tax","2140","2070","27400","25560"
"In post","2021","Communications","Unknown","790","780","37910","31810"
"In post","2021","Counter Fraud","Counter Fraud","670","650","40740","38510"
"In post","2021","Counter Fraud","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Intelligence Analysis","200","190","37880","36160"
"In post","2021","Counter Fraud","Knowledge and Information Management","40","30","[c]","[c]"
"In post","2021","Counter Fraud","Legal","3340","3190","31380","29570"
"In post","2021","Counter Fraud","Operational Delivery","2890","2660","30150","28130"
"In post","2021","Counter Fraud","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other","340","300","38680","32520"
"In post","2021","Counter Fraud","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Tax","1910","1790","39290","35000"
"In post","2021","Counter Fraud","Unknown","220","210","38720","32960"
"In post","2021","Debt","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Operational Delivery","3580","3160","23950","21440"
"In post","2021","Debt","Tax","1000","970","20750","20140"
"In post","2021","Debt","Unknown","90","90","24430","20140"
"In post","2021","Digital, Data & Technology","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","10850","10560","40940","38300"
"In post","2021","Digital, Data & Technology","Finance","[c]","[c]","[c]","[c]"
