"Status","Year","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Female","12020","10750","28680","27130"
"In post","2021","East Midlands (England)","Male","9350","9010","30670","27570"
"In post","2021","East of England","Female","12170","10950","29650","27570"
"In post","2021","East of England","Male","10420","10030","32060","29290"
"In post","2021","London","Female","55260","52190","41930","36160"
"In post","2021","London","Male","46650","45780","45040","39430"
"In post","2021","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Female","18050","15520","27210","25550"
"In post","2021","North East (England)","Male","12570","11990","29570","26780"
"In post","2021","North West (England)","Female","34130","30410","28630","26550"
"In post","2021","North West (England)","Male","25220","24300","30620","27570"
"In post","2021","Northern Ireland","Female","1760","1590","28400","25560"
"In post","2021","Northern Ireland","Male","2060","2000","27630","24890"
"In post","2021","Overseas","Female","1500","1490","49160","46620"
"In post","2021","Overseas","Male","2260","2250","50540","50430"
"In post","2021","Scotland","Female","25650","23090","31200","27570"
"In post","2021","Scotland","Male","21940","21130","33280","29190"
"In post","2021","South East (England)","Female","21300","19210","30150","27570"
"In post","2021","South East (England)","Male","20460","19640","32860","29810"
"In post","2021","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","South West (England)","Female","21430","19360","32040","27570"
"In post","2021","South West (England)","Male","23760","23100","36310","33290"
"In post","2021","Unknown","Female","1200","1130","33020","29250"
"In post","2021","Unknown","Male","2530","2510","36930","32700"
"In post","2021","Wales","Female","20670","18360","29550","26780"
"In post","2021","Wales","Male","15400","14870","32590","27570"
"In post","2021","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Female","17500","15690","29290","27570"
"In post","2021","West Midlands (England)","Male","13000","12590","31400","27570"
"In post","2021","Yorkshire and The Humber","Female","20060","17850","30490","27570"
"In post","2021","Yorkshire and The Humber","Male","16550","15960","32090","27570"
"In post","2022","East Midlands (England)","Female","13050","11760","29740","27330"
"In post","2022","East Midlands (England)","Male","9950","9610","31580","27570"
"In post","2022","East of England","Female","12470","11270","30340","27570"
"In post","2022","East of England","Male","10460","10090","32500","29300"
"In post","2022","London","Female","57170","54130","42480","37420"
"In post","2022","London","Male","47660","46820","45540","40120"
"In post","2022","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","Female","19330","16880","28580","26590"
"In post","2022","North East (England)","Male","13780","13190","31350","27570"
"In post","2022","North West (England)","Female","36920","33250","29560","27130"
"In post","2022","North West (England)","Male","27390","26460","31790","27570"
"In post","2022","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Female","1980","1820","30030","26820"
"In post","2022","Northern Ireland","Male","2280","2230","29290","26590"
"In post","2022","Overseas","Female","1510","1500","48980","46600"
"In post","2022","Overseas","Male","2180","2170","49750","49370"
"In post","2022","Scotland","Female","27680","25190","32540","27570"
"In post","2022","Scotland","Male","23330","22510","34380","30820"
"In post","2022","South East (England)","Female","22120","19990","31000","27570"
"In post","2022","South East (England)","Male","20510","19670","33590","30700"
"In post","2022","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","Female","22340","20260","32650","28650"
"In post","2022","South West (England)","Male","24380","23700","36670","33300"
"In post","2022","Unknown","Female","1030","970","33060","30150"
"In post","2022","Unknown","Male","2280","2270","37250","32900"
"In post","2022","Wales","Female","21720","19460","30510","27130"
"In post","2022","Wales","Male","16170","15640","33480","28550"
"In post","2022","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","West Midlands (England)","Female","19170","17330","30100","27570"
