"Status","Year","Age","Disability","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared non-disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Scottish Government","50","50","21240","21150"
"In post","2021","16-19","Declared non-disabled","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","HM Revenue and Customs","160","150","20590","20140"
"In post","2021","16-19","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Home Office","40","40","[c]","[c]"
"In post","2021","16-19","Unknown","Ministry of Defence","110","110","18180","16780"
"In post","2021","16-19","Unknown","Ministry of Justice","60","60","21330","20600"
"In post","2021","16-19","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Scottish Government","40","40","[c]","[c]"
"In post","2021","16-19","Unknown","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Attorney General's Departments","60","50","30640","27350"
"In post","2021","20-29","Declared disabled","Cabinet Office","170","170","34290","32000"
"In post","2021","20-29","Declared disabled","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Department for Business, Energy and Industrial Strategy","180","180","36460","33570"
"In post","2021","20-29","Declared disabled","Department for Digital, Culture, Media and Sport","30","30","[c]","[c]"
"In post","2021","20-29","Declared disabled","Department for Education","110","110","36240","33190"
"In post","2021","20-29","Declared disabled","Department for Environment, Food and Rural Affairs","180","170","30880","29270"
"In post","2021","20-29","Declared disabled","Department for International Trade","50","50","36940","32120"
"In post","2021","20-29","Declared disabled","Department for Transport","80","80","32040","30580"
"In post","2021","20-29","Declared disabled","Department for Work and Pensions","1160","1130","26350","27570"
"In post","2021","20-29","Declared disabled","Department of Health and Social Care","140","130","29890","28200"
"In post","2021","20-29","Declared disabled","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Foreign, Commonwealth and Development Office","140","140","33880","34070"
"In post","2021","20-29","Declared disabled","HM Land Registry","30","30","[c]","[c]"
"In post","2021","20-29","Declared disabled","HM Revenue and Customs","350","340","28470","25560"
"In post","2021","20-29","Declared disabled","HM Treasury","90","80","38220","32320"
"In post","2021","20-29","Declared disabled","Home Office","230","220","28670","24890"
"In post","2021","20-29","Declared disabled","Ministry of Defence","520","510","28780","27750"
"In post","2021","20-29","Declared disabled","Ministry of Housing, Communities and Local Government","70","70","35090","33210"
"In post","2021","20-29","Declared disabled","Ministry of Justice","930","920","25380","24020"
"In post","2021","20-29","Declared disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Scottish Government","230","220","29450","28170"
"In post","2021","20-29","Declared disabled","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","United Kingdom Statistics Authority","80","70","29170","29540"
"In post","2021","20-29","Declared disabled","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Welsh Government","30","30","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Attorney General's Departments","730","720","32420","27440"
"In post","2021","20-29","Declared non-disabled","Cabinet Office","1150","1150","37040","34550"
"In post","2021","20-29","Declared non-disabled","Chancellor's other departments","60","60","37490","36590"
"In post","2021","20-29","Declared non-disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Competition and Markets Authority","140","140","39120","34570"
"In post","2021","20-29","Declared non-disabled","Department for Business, Energy and Industrial Strategy","1760","1750","37540","34090"
"In post","2021","20-29","Declared non-disabled","Department for Digital, Culture, Media and Sport","510","510","41410","35180"
"In post","2021","20-29","Declared non-disabled","Department for Education","920","910","36280","33300"
"In post","2021","20-29","Declared non-disabled","Department for Environment, Food and Rural Affairs","1430","1420","29790","29180"
"In post","2021","20-29","Declared non-disabled","Department for International Trade","430","420","37430","32120"
"In post","2021","20-29","Declared non-disabled","Department for Transport","1350","1320","30560","27840"
"In post","2021","20-29","Declared non-disabled","Department for Work and Pensions","7810","7670","26600","27570"
"In post","2021","20-29","Declared non-disabled","Department of Health and Social Care","1230","1180","29830","28470"
"In post","2021","20-29","Declared non-disabled","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Food Standards Agency","40","40","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Foreign, Commonwealth and Development Office","990","990","34210","33860"
"In post","2021","20-29","Declared non-disabled","HM Land Registry","350","340","26520","27130"
"In post","2021","20-29","Declared non-disabled","HM Revenue and Customs","5040","4940","28150","25560"
"In post","2021","20-29","Declared non-disabled","HM Treasury","690","690","38820","32960"
"In post","2021","20-29","Declared non-disabled","Home Office","4110","3990","28060","24890"
"In post","2021","20-29","Declared non-disabled","Ministry of Defence","5100","5060","28560","27540"
"In post","2021","20-29","Declared non-disabled","Ministry of Housing, Communities and Local Government","500","500","36800","33210"
"In post","2021","20-29","Declared non-disabled","Ministry of Justice","9020","8910","26060","25300"
"In post","2021","20-29","Declared non-disabled","National Crime Agency","110","110","34100","32770"
"In post","2021","20-29","Declared non-disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Office for Standards in Education","140","140","29230","25880"
"In post","2021","20-29","Declared non-disabled","Office of Gas and Electricity Markets","300","300","31370","30950"
"In post","2021","20-29","Declared non-disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Other Cabinet Office Agencies","40","40","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Scottish Government","1500","1480","28020","26160"
"In post","2021","20-29","Declared non-disabled","The National Archives","60","60","26810","23560"
"In post","2021","20-29","Declared non-disabled","UK Export Finance","60","60","35780","33000"
"In post","2021","20-29","Declared non-disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","United Kingdom Statistics Authority","360","350","31670","29540"
"In post","2021","20-29","Declared non-disabled","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Welsh Government","440","430","27170","23830"
"In post","2021","20-29","Undeclared","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Cabinet Office","60","60","39440","37300"
"In post","2021","20-29","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Department for Business, Energy and Industrial Strategy","70","70","39660","35120"
"In post","2021","20-29","Undeclared","Department for Digital, Culture, Media and Sport","30","30","[c]","[c]"
"In post","2021","20-29","Undeclared","Department for Education","50","50","37510","36640"
"In post","2021","20-29","Undeclared","Department for Environment, Food and Rural Affairs","70","70","31250","29270"
"In post","2021","20-29","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Department for Transport","320","320","35040","34710"
"In post","2021","20-29","Undeclared","Department for Work and Pensions","530","510","26550","27570"
"In post","2021","20-29","Undeclared","Department of Health and Social Care","100","90","28550","26880"
"In post","2021","20-29","Undeclared","Food Standards Agency","70","70","31570","31980"
"In post","2021","20-29","Undeclared","Foreign, Commonwealth and Development Office","30","30","[c]","[c]"
"In post","2021","20-29","Undeclared","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","HM Revenue and Customs","230","220","28660","25560"
"In post","2021","20-29","Undeclared","HM Treasury","210","210","36970","32320"
"In post","2021","20-29","Undeclared","Home Office","60","60","30910","28650"
"In post","2021","20-29","Undeclared","Ministry of Defence","250","250","28970","28650"
"In post","2021","20-29","Undeclared","Ministry of Housing, Communities and Local Government","30","30","[c]","[c]"
"In post","2021","20-29","Undeclared","Ministry of Justice","520","510","26590","25790"
"In post","2021","20-29","Undeclared","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Scottish Government","30","30","[c]","[c]"
"In post","2021","20-29","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Attorney General's Departments","520","510","26880","24590"
"In post","2021","20-29","Unknown","Cabinet Office","2020","2020","32010","29250"
"In post","2021","20-29","Unknown","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Department for Business, Energy and Industrial Strategy","900","890","32900","33040"
"In post","2021","20-29","Unknown","Department for Digital, Culture, Media and Sport","100","100","39430","34020"
"In post","2021","20-29","Unknown","Department for Education","530","530","33730","29750"
"In post","2021","20-29","Unknown","Department for Environment, Food and Rural Affairs","270","260","34470","32560"
"In post","2021","20-29","Unknown","Department for International Trade","460","450","37350","33460"
"In post","2021","20-29","Unknown","Department for Transport","470","450","25850","21590"
"In post","2021","20-29","Unknown","Department for Work and Pensions","1050","1040","27770","27570"
"In post","2021","20-29","Unknown","Department of Health and Social Care","1220","1210","36250","32790"
"In post","2021","20-29","Unknown","Foreign, Commonwealth and Development Office","320","320","36340","34770"
"In post","2021","20-29","Unknown","HM Land Registry","710","700","24840","22350"
"In post","2021","20-29","Unknown","HM Revenue and Customs","4710","4600","25280","24120"
"In post","2021","20-29","Unknown","HM Treasury","60","60","40840","37950"
"In post","2021","20-29","Unknown","Home Office","880","870","29190","25630"
"In post","2021","20-29","Unknown","Ministry of Defence","1720","1710","28260","26750"
"In post","2021","20-29","Unknown","Ministry of Housing, Communities and Local Government","120","120","35020","32990"
"In post","2021","20-29","Unknown","Ministry of Justice","3570","3520","25230","23970"
"In post","2021","20-29","Unknown","National Crime Agency","800","800","31690","32260"
"In post","2021","20-29","Unknown","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Other Cabinet Office Agencies","100","100","27990","27770"
"In post","2021","20-29","Unknown","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Scottish Government","1710","1680","26800","25870"
"In post","2021","20-29","Unknown","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","United Kingdom Statistics Authority","770","760","29100","29540"
"In post","2021","20-29","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Welsh Government","80","80","25940","23830"
"In post","2021","30-39","Declared disabled","Attorney General's Departments","130","120","42900","48830"
"In post","2021","30-39","Declared disabled","Cabinet Office","170","170","46610","53710"
"In post","2021","30-39","Declared disabled","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Department for Business, Energy and Industrial Strategy","260","250","41430","39530"
"In post","2021","30-39","Declared disabled","Department for Digital, Culture, Media and Sport","40","40","[c]","[c]"
"In post","2021","30-39","Declared disabled","Department for Education","170","160","41930","37100"
"In post","2021","30-39","Declared disabled","Department for Environment, Food and Rural Affairs","200","190","35840","32560"
"In post","2021","30-39","Declared disabled","Department for International Trade","50","50","51540","51970"
"In post","2021","30-39","Declared disabled","Department for Transport","210","190","29100","26350"
"In post","2021","30-39","Declared disabled","Department for Work and Pensions","1820","1670","27420","27570"
"In post","2021","30-39","Declared disabled","Department of Health and Social Care","120","110","39650","36330"
"In post","2021","30-39","Declared disabled","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Foreign, Commonwealth and Development Office","210","200","45990","44230"
"In post","2021","30-39","Declared disabled","HM Land Registry","40","30","[c]","[c]"
"In post","2021","30-39","Declared disabled","HM Revenue and Customs","820","770","31810","30550"
"In post","2021","30-39","Declared disabled","HM Treasury","60","60","50970","52530"
"In post","2021","30-39","Declared disabled","Home Office","580","550","31230","25630"
"In post","2021","30-39","Declared disabled","Ministry of Defence","840","810","33990","33290"
"In post","2021","30-39","Declared disabled","Ministry of Housing, Communities and Local Government","80","80","42430","40540"
"In post","2021","30-39","Declared disabled","Ministry of Justice","1640","1560","28470","26570"
"In post","2021","30-39","Declared disabled","National Crime Agency","50","40","[c]","[c]"
"In post","2021","30-39","Declared disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Scottish Government","400","380","34830","32140"
"In post","2021","30-39","Declared disabled","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","United Kingdom Statistics Authority","100","90","33620","31270"
"In post","2021","30-39","Declared disabled","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Welsh Government","50","50","35470","34490"
"In post","2021","30-39","Declared non-disabled","Attorney General's Departments","1500","1400","45790","50520"
"In post","2021","30-39","Declared non-disabled","Cabinet Office","1350","1320","49030","54700"
"In post","2021","30-39","Declared non-disabled","Chancellor's other departments","80","80","58530","51370"
"In post","2021","30-39","Declared non-disabled","Charity Commission","70","60","33810","29160"
"In post","2021","30-39","Declared non-disabled","Competition and Markets Authority","270","260","59600","56360"
"In post","2021","30-39","Declared non-disabled","Department for Business, Energy and Industrial Strategy","2310","2230","43810","40220"
"In post","2021","30-39","Declared non-disabled","Department for Digital, Culture, Media and Sport","440","430","52750","52130"
"In post","2021","30-39","Declared non-disabled","Department for Education","1480","1420","44720","42220"
"In post","2021","30-39","Declared non-disabled","Department for Environment, Food and Rural Affairs","1850","1750","35390","33120"
"In post","2021","30-39","Declared non-disabled","Department for International Trade","360","360","50560","51970"
"In post","2021","30-39","Declared non-disabled","Department for Transport","2570","2380","33060","26780"
"In post","2021","30-39","Declared non-disabled","Department for Work and Pensions","11400","10430","27860","27570"
"In post","2021","30-39","Declared non-disabled","Department of Health and Social Care","1520","1420","42110","39780"
"In post","2021","30-39","Declared non-disabled","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Food Standards Agency","110","110","38840","37910"
"In post","2021","30-39","Declared non-disabled","Foreign, Commonwealth and Development Office","1530","1510","46130","44230"
"In post","2021","30-39","Declared non-disabled","HM Land Registry","310","290","32700","27130"
"In post","2021","30-39","Declared non-disabled","HM Revenue and Customs","8090","7690","32480","31810"
"In post","2021","30-39","Declared non-disabled","HM Treasury","520","510","55970","57500"
"In post","2021","30-39","Declared non-disabled","Home Office","7210","6780","31930","26910"
"In post","2021","30-39","Declared non-disabled","Ministry of Defence","6980","6720","34870","33300"
"In post","2021","30-39","Declared non-disabled","Ministry of Housing, Communities and Local Government","650","620","46240","48200"
"In post","2021","30-39","Declared non-disabled","Ministry of Justice","13080","12330","29360","27050"
"In post","2021","30-39","Declared non-disabled","National Crime Agency","350","340","41190","40170"
"In post","2021","30-39","Declared non-disabled","Northern Ireland Office","30","30","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Office for Standards in Education","350","330","42870","39460"
"In post","2021","30-39","Declared non-disabled","Office of Gas and Electricity Markets","370","360","45760","42000"
"In post","2021","30-39","Declared non-disabled","Office of Qualifications and Examinations Regulation","60","60","41920","38000"
"In post","2021","30-39","Declared non-disabled","Office of Rail and Road","80","80","51000","53250"
"In post","2021","30-39","Declared non-disabled","Other Cabinet Office Agencies","100","90","39200","35420"
"In post","2021","30-39","Declared non-disabled","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Scottish Government","2320","2230","37540","34150"
"In post","2021","30-39","Declared non-disabled","The National Archives","80","80","34540","34770"
"In post","2021","30-39","Declared non-disabled","UK Export Finance","80","80","53070","50830"
"In post","2021","30-39","Declared non-disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","United Kingdom Statistics Authority","570","530","36880","36030"
"In post","2021","30-39","Declared non-disabled","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Water Services Regulation Authority","40","40","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Welsh Government","1110","1050","37640","37410"
"In post","2021","30-39","Undeclared","Attorney General's Departments","40","40","[c]","[c]"
"In post","2021","30-39","Undeclared","Cabinet Office","80","80","45350","46790"
"In post","2021","30-39","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Undeclared","Department for Business, Energy and Industrial Strategy","120","110","49530","53380"
"In post","2021","30-39","Undeclared","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Undeclared","Department for Education","110","100","43450","40230"
"In post","2021","30-39","Undeclared","Department for Environment, Food and Rural Affairs","80","80","39030","37260"
"In post","2021","30-39","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Undeclared","Department for Transport","370","350","38670","35060"
"In post","2021","30-39","Undeclared","Department for Work and Pensions","990","910","27410","27570"
"In post","2021","30-39","Undeclared","Department of Health and Social Care","130","120","43740","39700"
"In post","2021","30-39","Undeclared","Food Standards Agency","130","130","38060","37630"
"In post","2021","30-39","Undeclared","Foreign, Commonwealth and Development Office","80","80","46090","42200"
"In post","2021","30-39","Undeclared","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Undeclared","HM Revenue and Customs","510","490","32540","31810"
"In post","2021","30-39","Undeclared","HM Treasury","100","90","55250","56340"
"In post","2021","30-39","Undeclared","Home Office","310","290","33760","28990"
"In post","2021","30-39","Undeclared","Ministry of Defence","610","600","36920","37320"
"In post","2021","30-39","Undeclared","Ministry of Housing, Communities and Local Government","40","40","[c]","[c]"
"In post","2021","30-39","Undeclared","Ministry of Justice","1550","1470","30320","30110"
"In post","2021","30-39","Undeclared","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Undeclared","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Undeclared","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Undeclared","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Undeclared","Scottish Government","80","80","38650","33640"
