"Status","Year","Sexual_orientation","Parent_department","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Attorney General's Departments","AA/AO","1080","1000","22390","21950"
"In post","2021","Heterosexual / straight","Attorney General's Departments","EO","1210","1140","27930","27760"
"In post","2021","Heterosexual / straight","Attorney General's Departments","G6/G7","3180","2960","57650","55610"
"In post","2021","Heterosexual / straight","Attorney General's Departments","SCS","200","190","89080","82820"
"In post","2021","Heterosexual / straight","Attorney General's Departments","SEO/HEO","1090","1060","36560","37780"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","AA/AO","320","290","21880","20920"
"In post","2021","Heterosexual / straight","Cabinet Office","EO","570","550","27130","27500"
"In post","2021","Heterosexual / straight","Cabinet Office","G6/G7","1640","1610","58780","56340"
"In post","2021","Heterosexual / straight","Cabinet Office","SCS","400","400","96830","87750"
"In post","2021","Heterosexual / straight","Cabinet Office","SEO/HEO","1480","1450","36340","35590"
"In post","2021","Heterosexual / straight","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chancellor's other departments","G6/G7","140","130","78020","71810"
"In post","2021","Heterosexual / straight","Chancellor's other departments","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chancellor's other departments","SEO/HEO","110","110","41660","41310"
"In post","2021","Heterosexual / straight","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","EO","60","50","24590","24440"
"In post","2021","Heterosexual / straight","Charity Commission","G6/G7","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","SEO/HEO","130","120","32710","29300"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","EO","60","60","28520","28160"
