"Status","Year","Parent_department","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","1320","1300","30180","26970"
"In post","2021","Attorney General's Departments","30-39","2170","2050","44940","50020"
"In post","2021","Attorney General's Departments","40-49","2760","2520","48300","51250"
"In post","2021","Attorney General's Departments","50-59","2890","2710","48610","51470"
"In post","2021","Attorney General's Departments","60-64","540","460","47840","54200"
"In post","2021","Attorney General's Departments","65+","140","110","45320","34480"
"In post","2021","Cabinet Office","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","20-29","3400","3390","33960","29250"
"In post","2021","Cabinet Office","30-39","2370","2320","49080","54700"
"In post","2021","Cabinet Office","40-49","1850","1790","58180","54700"
"In post","2021","Cabinet Office","50-59","1510","1480","56830","52630"
"In post","2021","Cabinet Office","60-64","260","230","50560","38420"
"In post","2021","Cabinet Office","65+","50","50","50180","35100"
"In post","2021","Chancellor's other departments","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","20-29","80","80","35780","34030"
"In post","2021","Chancellor's other departments","30-39","100","100","57930","52390"
"In post","2021","Chancellor's other departments","40-49","110","110","66140","58260"
"In post","2021","Chancellor's other departments","50-59","80","80","67730","54100"
"In post","2021","Chancellor's other departments","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","65+","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","20-29","50","50","[c]","[c]"
"In post","2021","Charity Commission","30-39","110","100","34770","29160"
"In post","2021","Charity Commission","40-49","130","120","37350","29550"
"In post","2021","Charity Commission","50-59","120","110","35550","30550"
"In post","2021","Charity Commission","60-64","30","30","[c]","[c]"
"In post","2021","Charity Commission","65+","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","20-29","150","150","38650","33610"
"In post","2021","Competition and Markets Authority","30-39","300","290","59800","56630"
"In post","2021","Competition and Markets Authority","40-49","220","210","71280","72430"
"In post","2021","Competition and Markets Authority","50-59","150","150","68150","59940"
"In post","2021","Competition and Markets Authority","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","16-19","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","20-29","2910","2900","36090","33570"
"In post","2021","Department for Business, Energy and Industrial Strategy","30-39","3440","3320","42390","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","40-49","3050","2890","44620","40940"
"In post","2021","Department for Business, Energy and Industrial Strategy","50-59","2900","2790","42380","39650"
"In post","2021","Department for Business, Energy and Industrial Strategy","60-64","600","520","37550","34500"
"In post","2021","Department for Business, Energy and Industrial Strategy","65+","230","170","37710","34500"
"In post","2021","Department for Digital, Culture, Media and Sport","20-29","680","670","41060","34840"
"In post","2021","Department for Digital, Culture, Media and Sport","30-39","610","590","52420","52070"
"In post","2021","Department for Digital, Culture, Media and Sport","40-49","280","270","57970","58190"
"In post","2021","Department for Digital, Culture, Media and Sport","50-59","170","170","54100","52250"
"In post","2021","Department for Digital, Culture, Media and Sport","60-64","30","30","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","20-29","1610","1600","35480","32940"
"In post","2021","Department for Education","30-39","2140","2050","44050","40940"
"In post","2021","Department for Education","40-49","2120","2010","47620","49860"
