"Status","Year","Age","Region_ITL1","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","East Midlands (England)","AA/AO","50","50","20700","20740"
"In post","2021","16-19","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","AA/AO","50","50","[c]","[c]"
"In post","2021","16-19","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","AA/AO","70","60","22940","22920"
"In post","2021","16-19","London","EO","80","80","26450","26410"
"In post","2021","16-19","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North East (England)","AA/AO","80","80","20530","20140"
"In post","2021","16-19","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","AA/AO","130","120","20570","20600"
"In post","2021","16-19","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","AA/AO","160","150","20730","20810"
"In post","2021","16-19","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","AA/AO","90","90","22000","21430"
"In post","2021","16-19","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","AA/AO","60","60","19400","19630"
"In post","2021","16-19","South West (England)","EO","110","110","18810","17780"
"In post","2021","16-19","South West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","40","40","[c]","[c]"
"In post","2021","16-19","Wales","AA/AO","120","110","19620","20140"
"In post","2021","16-19","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","AA/AO","50","50","20680","20740"
"In post","2021","16-19","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","AA/AO","90","90","20570","20600"
"In post","2021","16-19","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","AA/AO","1520","1480","22130","21010"
"In post","2021","20-29","East Midlands (England)","EO","850","840","26200","26330"
"In post","2021","20-29","East Midlands (England)","G6/G7","50","40","[c]","[c]"
