"Status","Year","Ethnicity","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Angus and Dundee City","40","40","[c]","[c]"
"In post","2021","Asian","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Barking & Dagenham and Havering","140","130","30720","31060"
"In post","2021","Asian","Barnet","400","380","37740","32090"
"In post","2021","Asian","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","360","350","35790","33190"
"In post","2021","Asian","Bedford","80","70","27780","27570"
"In post","2021","Asian","Belfast","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Berkshire","300","280","30340","29290"
"In post","2021","Asian","Bexley and Greenwich","110","100","30500","31060"
"In post","2021","Asian","Birmingham","2440","2260","27080","25560"
"In post","2021","Asian","Blackburn with Darwen","130","110","25510","27570"
"In post","2021","Asian","Blackpool","90","80","29550","27570"
"In post","2021","Asian","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bradford","680","610","25130","21440"
"In post","2021","Asian","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Brent","140","130","29920","31060"
"In post","2021","Asian","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bristol, City of","160","150","33640","27620"
"In post","2021","Asian","Bromley","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Buckinghamshire CC","90","90","30820","27570"
"In post","2021","Asian","Caithness and Sutherland and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Calderdale and Kirklees","140","130","26460","27570"
"In post","2021","Asian","Cambridgeshire CC","80","80","35750","29510"
"In post","2021","Asian","Camden and City of London","580","540","33280","29570"
"In post","2021","Asian","Cardiff and Vale of Glamorgan","240","220","29530","25560"
