"Status","Year","Disability","Region_ITL2","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","East of England","510","470","31040","29290"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","1000","950","31740","29290"
"In post","2021","Declared disabled","Cheshire","North West (England)","400","370","29170","27570"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","South West (England)","210","190","26460","27570"
"In post","2021","Declared disabled","Cumbria","North West (England)","240","220","27770","25790"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","East Midlands (England)","1550","1420","29570","27570"
"In post","2021","Declared disabled","Devon","South West (England)","960","860","28680","27570"
"In post","2021","Declared disabled","Dorset and Somerset","South West (England)","590","540","28750","27570"
"In post","2021","Declared disabled","East Anglia","East of England","1360","1250","29280","27570"
"In post","2021","Declared disabled","East Wales","Wales","1780","1640","31210","27570"
"In post","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","Yorkshire and The Humber","500","450","27030","27130"
"In post","2021","Declared disabled","Eastern Scotland","Scotland","1920","1780","32610","27570"
"In post","2021","Declared disabled","Essex","East of England","710","640","30210","29290"
"In post","2021","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","South West (England)","3000","2820","34510","31810"
"In post","2021","Declared disabled","Greater Manchester","North West (England)","2140","1970","29600","27570"
"In post","2021","Declared disabled","Hampshire and Isle of Wight","South East (England)","1670","1520","30410","27570"
"In post","2021","Declared disabled","Herefordshire, Worcestershire and Warwickshire","West Midlands (England)","440","400","27770","27380"
"In post","2021","Declared disabled","Highlands and Islands","Scotland","170","150","28210","27570"
"In post","2021","Declared disabled","Inner London - East","London","1570","1480","37760","31880"
"In post","2021","Declared disabled","Inner London - West","London","5180","5010","44730","39800"
"In post","2021","Declared disabled","Kent","South East (England)","950","890","29540","29290"
"In post","2021","Declared disabled","Lancashire","North West (England)","1940","1730","27100","27130"
"In post","2021","Declared disabled","Leicestershire, Rutland and Northamptonshire","East Midlands (England)","740","670","26250","24800"
"In post","2021","Declared disabled","Lincolnshire","East Midlands (England)","390","360","28200","27570"
"In post","2021","Declared disabled","Merseyside","North West (England)","2280","2020","27850","25560"
"In post","2021","Declared disabled","North Eastern Scotland","Scotland","130","130","33610","27570"
"In post","2021","Declared disabled","North Yorkshire","Yorkshire and The Humber","460","420","32500","27570"
"In post","2021","Declared disabled","Northern Ireland","Northern Ireland","320","300","27380","25560"
"In post","2021","Declared disabled","Northumberland and Tyne and Wear","North East (England)","2320","2030","26830","25560"
"In post","2021","Declared disabled","Outer London - East and North East","London","490","450","30220","31060"
"In post","2021","Declared disabled","Outer London - South","London","1080","1000","36060","31170"
"In post","2021","Declared disabled","Outer London - West and North West","London","880","810","32000","31060"
"In post","2021","Declared disabled","Overseas","Overseas","220","220","48160","45750"
"In post","2021","Declared disabled","Shropshire and Staffordshire","West Midlands (England)","1060","980","29310","27570"
"In post","2021","Declared disabled","South Yorkshire","Yorkshire and The Humber","1230","1100","30070","27570"
"In post","2021","Declared disabled","Southern Scotland","Scotland","500","450","28820","26140"
"In post","2021","Declared disabled","Surrey, East and West Sussex","South East (England)","940","850","28990","27570"
"In post","2021","Declared disabled","Tees Valley and Durham","North East (England)","1100","970","27270","27130"
"In post","2021","Declared disabled","Unknown","Unknown","190","180","31390","27570"
"In post","2021","Declared disabled","West Central Scotland","Scotland","1740","1550","28390","26160"
"In post","2021","Declared disabled","West Midlands","West Midlands (England)","2100","1900","28930","27570"
"In post","2021","Declared disabled","West Wales and The Valleys","Wales","1760","1530","26100","22810"
"In post","2021","Declared disabled","West Yorkshire","Yorkshire and The Humber","1800","1620","30250","27570"
"In post","2021","Declared non-disabled","Bedfordshire and Hertfordshire","East of England","3130","2910","32360","29290"
"In post","2021","Declared non-disabled","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","6390","6080","32810","29440"
"In post","2021","Declared non-disabled","Cheshire","North West (England)","2240","2100","30880","27570"
"In post","2021","Declared non-disabled","Cornwall and Isles of Scilly","South West (England)","1180","1080","26500","26670"
"In post","2021","Declared non-disabled","Cumbria","North West (England)","1680","1520","27630","24920"
"In post","2021","Declared non-disabled","Derbyshire and Nottinghamshire","East Midlands (England)","8050","7420","31740","27570"
"In post","2021","Declared non-disabled","Devon","South West (England)","6600","6060","32260","27570"
"In post","2021","Declared non-disabled","Dorset and Somerset","South West (England)","3540","3290","29520","27570"
"In post","2021","Declared non-disabled","East Anglia","East of England","8530","7930","29920","27570"
"In post","2021","Declared non-disabled","East Wales","Wales","13500","12620","33660","28850"
"In post","2021","Declared non-disabled","East Yorkshire and Northern Lincolnshire","Yorkshire and The Humber","3340","3050","27960","27130"
"In post","2021","Declared non-disabled","Eastern Scotland","Scotland","10120","9500","35320","29190"
"In post","2021","Declared non-disabled","Essex","East of England","3850","3530","30820","29290"
"In post","2021","Declared non-disabled","Gloucestershire, Wiltshire and Bath/Bristol area","South West (England)","20350","19320","36550","33300"
"In post","2021","Declared non-disabled","Greater Manchester","North West (England)","13110","12300","31470","27570"
"In post","2021","Declared non-disabled","Hampshire and Isle of Wight","South East (England)","9770","9080","32620","28650"
"In post","2021","Declared non-disabled","Herefordshire, Worcestershire and Warwickshire","West Midlands (England)","2870","2680","27900","26300"
"In post","2021","Declared non-disabled","Highlands and Islands","Scotland","1400","1310","28910","27570"
"In post","2021","Declared non-disabled","Inner London - East","London","11010","10470","42400","36160"
"In post","2021","Declared non-disabled","Inner London - West","London","39470","38310","47970","43200"
"In post","2021","Declared non-disabled","Kent","South East (England)","5940","5540","29490","28130"
"In post","2021","Declared non-disabled","Lancashire","North West (England)","9800","8900","28690","27570"
"In post","2021","Declared non-disabled","Leicestershire, Rutland and Northamptonshire","East Midlands (England)","4240","3870","27860","26780"
"In post","2021","Declared non-disabled","Lincolnshire","East Midlands (England)","1970","1860","28080","26750"
"In post","2021","Declared non-disabled","Merseyside","North West (England)","13440","12250","28750","25560"
"In post","2021","Declared non-disabled","North Eastern Scotland","Scotland","1050","990","38600","31060"
"In post","2021","Declared non-disabled","North Yorkshire","Yorkshire and The Humber","3330","3160","34130","29840"
"In post","2021","Declared non-disabled","Northern Ireland","Northern Ireland","2320","2180","28650","25560"
"In post","2021","Declared non-disabled","Northumberland and Tyne and Wear","North East (England)","13970","12520","28990","25560"
"In post","2021","Declared non-disabled","Outer London - East and North East","London","2620","2430","30860","31060"
"In post","2021","Declared non-disabled","Outer London - South","London","7700","7290","37900","33900"
"In post","2021","Declared non-disabled","Outer London - West and North West","London","6500","6020","32620","31060"
"In post","2021","Declared non-disabled","Overseas","Overseas","2570","2560","49430","47490"
"In post","2021","Declared non-disabled","Shropshire and Staffordshire","West Midlands (England)","5620","5230","29970","27570"
"In post","2021","Declared non-disabled","South Yorkshire","Yorkshire and The Humber","7270","6610","31540","27570"
"In post","2021","Declared non-disabled","Southern Scotland","Scotland","3480","3140","30290","27570"
