"Status","Year","Profession_of_post","Parent_department","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Attorney General's Departments","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","White","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","White","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","White","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","White","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","White","200","190","43250","40860"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","White","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","Asian","50","40","[c]","[c]"
"In post","2021","Commercial","Department for Education","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","Unknown","30","30","[c]","[c]"
"In post","2021","Commercial","Department for Education","White","270","270","41460","37280"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","White","110","110","38350","36970"
"In post","2021","Commercial","Department for International Trade","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","White","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","White","210","200","38660","33350"
"In post","2021","Commercial","Department for Work and Pensions","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Work and Pensions","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Work and Pensions","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Work and Pensions","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Work and Pensions","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Work and Pensions","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Work and Pensions","White","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","Unknown","120","120","48390","40650"
"In post","2021","Commercial","Department of Health and Social Care","White","100","100","46710","40650"
"In post","2021","Commercial","ESTYN","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","ESTYN","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","ESTYN","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","ESTYN","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","ESTYN","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","ESTYN","White","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","White","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","White","120","110","45030","41220"
"In post","2021","Commercial","HM Land Registry","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","Mixed","[c]","[c]","[c]","[c]"
