"Status","Year","Disability","Parent_department","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Attorney General's Departments","Asian","80","70","43210","39540"
"In post","2021","Declared disabled","Attorney General's Departments","Black","60","60","40660","35020"
"In post","2021","Declared disabled","Attorney General's Departments","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Mixed","30","30","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Unknown","40","30","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","White","690","640","44610","43920"
"In post","2021","Declared disabled","Cabinet Office","Asian","60","50","41990","35590"
"In post","2021","Declared disabled","Cabinet Office","Black","30","30","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Mixed","30","30","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Undeclared","30","30","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","White","530","510","44160","38420"
"In post","2021","Declared disabled","Chancellor's other departments","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","White","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","White","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","White","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Asian","60","60","38480","33640"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Black","60","50","39570","35460"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Mixed","40","40","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Unknown","70","60","32740","29940"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","White","770","730","40590","36740"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","White","90","90","48450","44740"
"In post","2021","Declared disabled","Department for Education","Asian","60","50","38230","36570"
"In post","2021","Declared disabled","Department for Education","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
