"Status","Year","Region_ITL3","Sexual_orientation","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Heterosexual / straight","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Heterosexual / straight","20-29","110","110","27590","27150"
"In post","2021","Aberdeen City and Aberdeenshire","Heterosexual / straight","30-39","240","230","34800","30680"
"In post","2021","Aberdeen City and Aberdeenshire","Heterosexual / straight","40-49","270","260","42980","35110"
"In post","2021","Aberdeen City and Aberdeenshire","Heterosexual / straight","50-59","340","330","40090","32700"
"In post","2021","Aberdeen City and Aberdeenshire","Heterosexual / straight","60-64","80","70","35850","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Heterosexual / straight","65+","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","LGBO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","LGBO","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","LGBO","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","LGBO","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","LGBO","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","30-39","50","40","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","40-49","50","40","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","50-59","70","60","37620","29270"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","20-29","80","80","26560","26010"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","30-39","120","110","31550","30930"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","40-49","110","100","34960","32140"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","50-59","170","160","35990","33650"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","60-64","30","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Heterosexual / straight","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Heterosexual / straight","20-29","110","110","23940","21150"
"In post","2021","Angus and Dundee City","Heterosexual / straight","30-39","290","270","26730","23730"
"In post","2021","Angus and Dundee City","Heterosexual / straight","40-49","300","280","27640","26160"
"In post","2021","Angus and Dundee City","Heterosexual / straight","50-59","350","330","28640","24550"
"In post","2021","Angus and Dundee City","Heterosexual / straight","60-64","110","90","25310","21440"
"In post","2021","Angus and Dundee City","Heterosexual / straight","65+","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","LGBO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","LGBO","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","LGBO","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","LGBO","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","LGBO","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","30-39","30","30","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","40-49","40","40","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","50-59","60","50","24180","21440"
"In post","2021","Angus and Dundee City","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","20-29","60","60","21680","21010"
"In post","2021","Angus and Dundee City","Unknown","30-39","90","90","23980","21010"
"In post","2021","Angus and Dundee City","Unknown","40-49","120","110","24760","21010"
"In post","2021","Angus and Dundee City","Unknown","50-59","110","100","26350","21400"
"In post","2021","Angus and Dundee City","Unknown","60-64","50","40","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Heterosexual / straight","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Heterosexual / straight","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Heterosexual / straight","40-49","40","30","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Heterosexual / straight","50-59","80","80","24520","20310"
"In post","2021","Antrim and Newtownabbey","Heterosexual / straight","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Heterosexual / straight","65+","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","LGBO","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","LGBO","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","LGBO","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","LGBO","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Heterosexual / straight","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Heterosexual / straight","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Heterosexual / straight","40-49","60","50","25840","20310"
"In post","2021","Ards and North Down","Heterosexual / straight","50-59","90","80","24840","20920"
