"Status","Year","Parent_department","Organisation","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Attorney General's Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Attorney General's Office","Legal","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Attorney General's Office","No function","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Crown Prosecution Service","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Crown Prosecution Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Crown Prosecution Service","Communications","50","50","41310","39750"
"In post","2021","Attorney General's Departments","Crown Prosecution Service","Digital, Data & Technology","120","110","39410","38180"
"In post","2021","Attorney General's Departments","Crown Prosecution Service","Finance","90","90","32650","30130"
"In post","2021","Attorney General's Departments","Crown Prosecution Service","Human Resources","140","140","40720","35610"
"In post","2021","Attorney General's Departments","Crown Prosecution Service","Legal","6240","5780","41420","38000"
"In post","2021","Attorney General's Departments","Crown Prosecution Service","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Crown Prosecution Service","Unknown","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Crown Prosecution Service Inspectorate","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Government Legal Department","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Government Legal Department","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Government Legal Department","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Government Legal Department","Finance","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Government Legal Department","Human Resources","60","60","37880","31180"
"In post","2021","Attorney General's Departments","Government Legal Department","Legal","2350","2190","55580","52730"
"In post","2021","Attorney General's Departments","Government Legal Department","No function","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Government Legal Department","Project Delivery","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Government Legal Department","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Serious Fraud Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Serious Fraud Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Serious Fraud Office","Counter Fraud","250","240","45590","40000"
"In post","2021","Attorney General's Departments","Serious Fraud Office","Digital, Data & Technology","50","50","41680","39270"
"In post","2021","Attorney General's Departments","Serious Fraud Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Serious Fraud Office","Human Resources","[c]","[c]","[c]","[c]"
