"Status","Year","Profession_of_post","Sexual_orientation","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Heterosexual / straight","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Commercial","2810","2720","40840","37540"
"In post","2021","Commercial","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","No function","200","190","44500","37280"
"In post","2021","Commercial","Heterosexual / straight","Project Delivery","620","600","38510","34770"
"In post","2021","Commercial","Heterosexual / straight","Property","30","30","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Unknown","90","90","40460","41940"
"In post","2021","Commercial","LGBO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Commercial","130","120","38090","34490"
"In post","2021","Commercial","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Commercial","360","340","38760","36460"
"In post","2021","Commercial","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Project Delivery","100","90","42290","39040"
"In post","2021","Commercial","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Commercial","800","770","40350","38480"
"In post","2021","Commercial","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","No function","60","60","43070","39070"
"In post","2021","Commercial","Unknown","Project Delivery","60","60","36630","33620"
"In post","2021","Commercial","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Communications","2180","2100","41220","37560"
"In post","2021","Communications","Heterosexual / straight","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
