"Status","Year","Organisation","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Female","Heterosexual / straight","50","40","32060","29190"
"In post","2021","Accountant in Bankruptcy","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Male","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Heterosexual / straight","380","340","33780","31240"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Undeclared","70","60","32710","33070"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Unknown","150","140","27980","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Heterosexual / straight","250","240","36290","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Undeclared","60","60","38220","38590"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Unknown","100","100","29210","24250"
"In post","2021","Animal and Plant Health Agency","Female","Heterosexual / straight","1170","1090","29310","25520"
"In post","2021","Animal and Plant Health Agency","Female","LGBO","70","70","26970","24920"
"In post","2021","Animal and Plant Health Agency","Female","Undeclared","180","170","31850","29180"
"In post","2021","Animal and Plant Health Agency","Female","Unknown","180","170","29860","25750"
"In post","2021","Animal and Plant Health Agency","Male","Heterosexual / straight","710","690","32350","29180"
"In post","2021","Animal and Plant Health Agency","Male","LGBO","70","60","28140","25190"
"In post","2021","Animal and Plant Health Agency","Male","Undeclared","160","150","34840","31730"
"In post","2021","Animal and Plant Health Agency","Male","Unknown","150","130","31100","26520"
"In post","2021","Attorney General's Office","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Heterosexual / straight","2470","2370","45960","40580"
"In post","2021","Cabinet Office (excl. agencies)","Female","LGBO","170","160","41470","34640"
"In post","2021","Cabinet Office (excl. agencies)","Female","Undeclared","230","220","45300","40580"
"In post","2021","Cabinet Office (excl. agencies)","Female","Unknown","2170","2130","42670","32000"
"In post","2021","Cabinet Office (excl. agencies)","Male","Heterosexual / straight","1940","1920","50540","49700"
"In post","2021","Cabinet Office (excl. agencies)","Male","LGBO","270","270","46990","43890"
"In post","2021","Cabinet Office (excl. agencies)","Male","Undeclared","280","270","49780","47050"
"In post","2021","Cabinet Office (excl. agencies)","Male","Unknown","1930","1920","48310","34640"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Female","Heterosexual / straight","110","100","32680","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Female","Unknown","160","150","30630","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Male","Heterosexual / straight","110","110","34940","30220"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Male","Unknown","180","180","37890","35900"
"In post","2021","Charity Commission","Female","Heterosexual / straight","130","120","34350","29160"
"In post","2021","Charity Commission","Female","LGBO","[c]","[c]","[c]","[c]"
