"Status","Year","Parent_department","Responsibility_level","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","AA/AO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Operational Delivery","1440","1310","22250","21950"
"In post","2021","Attorney General's Departments","AA/AO","Other","50","50","23720","23800"
"In post","2021","Attorney General's Departments","AA/AO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Counter Fraud","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Finance","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Human Resources","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Legal","180","180","29070","29280"
"In post","2021","Attorney General's Departments","EO","Operational Delivery","1170","1070","28120","28430"
"In post","2021","Attorney General's Departments","EO","Other","220","210","27570","27350"
"In post","2021","Attorney General's Departments","EO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Security","[c]","[c]","[c]","[c]"
