"Status","Year","Region_ITL2","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Analysis","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Commercial","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Commercial","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Commercial","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Communications","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Communications","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Communications","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Communications","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Counter Fraud","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Counter Fraud","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Counter Fraud","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Debt","HM Revenue and Customs","40","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Digital, Data & Technology","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Digital, Data & Technology","Ministry of Defence","50","50","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Digital, Data & Technology","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Digital, Data & Technology","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Digital, Data & Technology","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Finance","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Finance","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Finance","Ministry of Defence","70","70","43720","37640"
"In post","2021","Bedfordshire and Hertfordshire","Finance","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Finance","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Human Resources","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Human Resources","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Human Resources","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Human Resources","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Human Resources","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Human Resources","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Internal Audit","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Internal Audit","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Legal","Attorney General's Departments","170","150","42580","40000"
"In post","2021","Bedfordshire and Hertfordshire","Legal","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Legal","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","No function","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","No function","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","No function","Department for Education","[c]","[c]","[c]","[c]"
