"Status","Year","Function_of_post","Parent_department","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","G6/G7","110","100","87640","82910"
"In post","2021","Analysis","Chancellor's other departments","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","SEO/HEO","60","50","41480","41210"
"In post","2021","Analysis","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","G6/G7","80","70","65500","61590"
"In post","2021","Analysis","Competition and Markets Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","EO","40","40","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","G6/G7","90","90","61870","57990"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","SEO/HEO","190","190","37380","35640"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","G6/G7","60","60","63180","60130"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","SEO/HEO","70","60","42770","42020"
"In post","2021","Analysis","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","EO","30","30","[c]","[c]"
"In post","2021","Analysis","Department for Education","G6/G7","130","130","55500","53890"
"In post","2021","Analysis","Department for Education","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","SEO/HEO","240","230","40060","41990"
"In post","2021","Analysis","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","AA/AO","50","50","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","EO","120","110","25210","24920"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","G6/G7","110","110","52320","48080"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","SEO/HEO","310","290","32890","30660"
"In post","2021","Analysis","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","G6/G7","110","100","54090","51970"
"In post","2021","Analysis","Department for International Trade","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","SEO/HEO","110","100","33040","31800"
"In post","2021","Analysis","Department for Transport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","EO","70","60","28170","26780"
"In post","2021","Analysis","Department for Transport","G6/G7","180","160","57970","54760"
"In post","2021","Analysis","Department for Transport","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","SEO/HEO","210","210","36460","35060"
"In post","2021","Analysis","Department for Work and Pensions","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","G6/G7","220","210","57280","53360"
"In post","2021","Analysis","Department of Health and Social Care","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","SEO/HEO","50","50","34900","32790"
"In post","2021","Analysis","ESTYN","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","G6/G7","40","30","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","EO","40","40","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","G6/G7","240","230","57370","59160"
"In post","2021","Analysis","HM Revenue and Customs","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","SEO/HEO","380","370","36520","36160"
"In post","2021","Analysis","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","G6/G7","80","80","61450","57530"
"In post","2021","Analysis","HM Treasury","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","SEO/HEO","50","50","35510","33710"
"In post","2021","Analysis","Ministry of Defence","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","EO","50","50","28140","27850"
"In post","2021","Analysis","Ministry of Defence","G6/G7","230","220","50630","46130"
"In post","2021","Analysis","Ministry of Defence","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","SEO/HEO","360","350","35760","37320"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","G6/G7","100","90","58170","54760"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","SEO/HEO","80","80","35740","34000"
"In post","2021","Analysis","Ministry of Justice","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","EO","50","50","26110","26410"
"In post","2021","Analysis","Ministry of Justice","G6/G7","140","130","60320","58130"
"In post","2021","Analysis","Ministry of Justice","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","SEO/HEO","210","210","38030","39870"
"In post","2021","Analysis","Office for Standards in Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education","SEO/HEO","100","100","35860","35010"
"In post","2021","Analysis","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","G6/G7","40","40","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scottish Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scottish Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scottish Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","United Kingdom Statistics Authority","AA/AO","60","60","19490","19130"
"In post","2021","Analysis","United Kingdom Statistics Authority","EO","190","170","24160","23050"
"In post","2021","Analysis","United Kingdom Statistics Authority","G6/G7","350","340","52720","50090"
"In post","2021","Analysis","United Kingdom Statistics Authority","SCS","40","40","[c]","[c]"
"In post","2021","Analysis","United Kingdom Statistics Authority","SEO/HEO","1060","1020","33600","32540"
"In post","2021","Analysis","Wales Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Welsh Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Welsh Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Welsh Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office","G6/G7","800","780","63320","56920"
"In post","2021","Commercial","Cabinet Office","SCS","480","470","93150","74000"
"In post","2021","Commercial","Cabinet Office","SEO/HEO","110","110","38140","38420"
"In post","2021","Commercial","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","G6/G7","110","100","53050","48540"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","SEO/HEO","120","110","37260","37420"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","G6/G7","50","50","54580","52620"
"In post","2021","Commercial","Department for Education","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","SEO/HEO","130","130","36360","36780"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","G6/G7","40","40","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","SEO/HEO","130","120","35580","36700"
"In post","2021","Commercial","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","AA/AO","40","30","[c]","[c]"
"In post","2021","Commercial","Department for Transport","EO","50","40","[c]","[c]"
"In post","2021","Commercial","Department for Transport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","SEO/HEO","100","90","36720","35060"
"In post","2021","Commercial","Department for Work and Pensions","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Work and Pensions","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Work and Pensions","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Work and Pensions","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Work and Pensions","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","G6/G7","60","60","56220","53360"
"In post","2021","Commercial","Department of Health and Social Care","SCS","40","30","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","SEO/HEO","120","110","36880","38670"
"In post","2021","Commercial","ESTYN","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","ESTYN","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","G6/G7","50","50","59400","55990"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","SEO/HEO","80","80","38660","39600"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs","SEO/HEO","90","80","36030","38630"
"In post","2021","Commercial","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Treasury","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Treasury","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Treasury","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","AA/AO","240","230","21890","21130"
"In post","2021","Commercial","Ministry of Defence","EO","400","380","27190","26670"
"In post","2021","Commercial","Ministry of Defence","G6/G7","190","180","59340","56490"
"In post","2021","Commercial","Ministry of Defence","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","SEO/HEO","1040","1010","37730","37320"
"In post","2021","Commercial","Ministry of Defence","Unknown","200","190","40890","37400"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government","G6/G7","[c]","[c]","[c]","[c]"
