"Status","Year","Organisation","Ethnicity","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Asian","Female","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Asian","Male","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Black","Female","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Black","Male","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Mixed","Female","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Mixed","Male","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","White","Female","60","50","31460","29190"
"In post","2021","Accountant in Bankruptcy","White","Male","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Asian","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Asian","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Black","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Black","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Mixed","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Mixed","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Female","170","160","28530","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Male","120","120","29900","28250"
"In post","2021","Advisory, Conciliation and Arbitration Service","White","Female","380","340","33380","31240"
