"Status","Year","Region_ITL1","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","16-19","60","60","21390","20980"
"In post","2021","East Midlands (England)","20-29","3010","2950","25330","25200"
"In post","2021","East Midlands (England)","30-39","4240","3960","28820","27370"
"In post","2021","East Midlands (England)","40-49","4980","4600","31180","27570"
"In post","2021","East Midlands (England)","50-59","6850","6380","31130","27570"
"In post","2021","East Midlands (England)","60-64","1780","1460","28450","26780"
"In post","2021","East Midlands (England)","65+","460","350","28100","25560"
"In post","2021","East of England","16-19","60","50","22820","21430"
"In post","2021","East of England","20-29","2870","2810","26550","25850"
"In post","2021","East of England","30-39","4060","3810","30300","29270"
"In post","2021","East of England","40-49","5290","4910","32040","29290"
"In post","2021","East of England","50-59","7500","7060","32210","29270"
"In post","2021","East of England","60-64","2120","1800","29960","27570"
"In post","2021","East of England","65+","700","530","28730","26780"
"In post","2021","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","16-19","160","150","25180","24640"
"In post","2021","London","20-29","23000","22860","35830","33210"
"In post","2021","London","30-39","24320","23570","45710","41970"
"In post","2021","London","40-49","22300","21180","48360","42470"
"In post","2021","London","50-59","24220","23340","44720","37610"
"In post","2021","London","60-64","5700","5060","41070","33640"
"In post","2021","London","65+","2220","1820","37450","31060"
"In post","2021","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","16-19","100","90","21080","20610"
"In post","2021","North East (England)","20-29","3930","3830","24930","23970"
"In post","2021","North East (England)","30-39","6210","5770","28130","25560"
"In post","2021","North East (England)","40-49","7480","6860","29770","27370"
"In post","2021","North East (England)","50-59","9340","8330","29250","27130"
"In post","2021","North East (England)","60-64","2860","2130","26200","21440"
"In post","2021","North East (England)","65+","690","490","24630","21440"
"In post","2021","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","16-19","140","140","21040","21010"
"In post","2021","North West (England)","20-29","8350","8180","25560","24890"
"In post","2021","North West (England)","30-39","12060","11380","29180","27370"
"In post","2021","North West (England)","40-49","14560","13510","30940","27570"
"In post","2021","North West (England)","50-59","18210","16850","30860","27570"
"In post","2021","North West (England)","60-64","4660","3670","28260","26160"
"In post","2021","North West (England)","65+","1350","970","27090","24300"
"In post","2021","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","20-29","420","410","23340","20310"
"In post","2021","Northern Ireland","30-39","830","790","28130","25560"
"In post","2021","Northern Ireland","40-49","990","940","28070","25560"
"In post","2021","Northern Ireland","50-59","1210","1150","29740","26660"
"In post","2021","Northern Ireland","60-64","260","220","26880","22330"
"In post","2021","Northern Ireland","65+","90","70","26780","21430"
"In post","2021","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","20-29","310","310","37350","34220"
"In post","2021","Overseas","30-39","1060","1060","47130","50940"
"In post","2021","Overseas","40-49","1180","1170","52150","54030"
"In post","2021","Overseas","50-59","990","980","53290","52400"
"In post","2021","Overseas","60-64","190","190","56220","54540"
"In post","2021","Overseas","65+","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","16-19","180","170","20670","20760"
"In post","2021","Scotland","20-29","6520","6390","26230","25410"
"In post","2021","Scotland","30-39","10330","9830","32120","29140"
"In post","2021","Scotland","40-49","10740","10100","34940","29350"
"In post","2021","Scotland","50-59","14710","13720","33560","28130"
"In post","2021","Scotland","60-64","4030","3200","30550","27570"
"In post","2021","Scotland","65+","1070","810","29370","26120"
"In post","2021","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","16-19","130","120","22050","21430"
"In post","2021","South East (England)","20-29","5730","5650","27240","27130"
"In post","2021","South East (England)","30-39","7540","7130","31440","29290"
"In post","2021","South East (England)","40-49","9200","8620","33390","29540"
"In post","2021","South East (England)","50-59","13520","12660","32650","29290"
"In post","2021","South East (England)","60-64","4090","3470","30420","27570"
"In post","2021","South East (England)","65+","1560","1220","29230","26340"
"In post","2021","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","South West (England)","16-19","180","180","18850","18870"
"In post","2021","South West (England)","20-29","7050","6950","27200","26670"
"In post","2021","South West (England)","30-39","9510","8970","33930","32150"
"In post","2021","South West (England)","40-49","10370","9740","37160","33340"
"In post","2021","South West (England)","50-59","13250","12580","36540","33180"
"In post","2021","South West (England)","60-64","3640","3110","33630","29130"
"In post","2021","South West (England)","65+","1190","930","33210","27570"
"In post","2021","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","40","40","[c]","[c]"
"In post","2021","Unknown","20-29","890","890","29890","29250"
"In post","2021","Unknown","30-39","780","770","36640","32700"
"In post","2021","Unknown","40-49","730","710","37770","33130"
"In post","2021","Unknown","50-59","980","960","39020","33570"
"In post","2021","Unknown","60-64","260","240","37350","33570"
"In post","2021","Unknown","65+","50","40","32230","30630"
"In post","2021","Wales","16-19","130","120","20310","20140"
"In post","2021","Wales","20-29","5250","5130","25540","23830"
"In post","2021","Wales","30-39","8660","8090","29870","27570"
"In post","2021","Wales","40-49","8660","8090","33580","28200"
"In post","2021","Wales","50-59","9710","9010","32610","27570"
"In post","2021","Wales","60-64","2830","2210","30100","26780"
"In post","2021","Wales","65+","850","610","29640","24230"
"In post","2021","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","16-19","60","60","21390","20980"
"In post","2021","West Midlands (England)","20-29","4290","4210","25400","24830"
"In post","2021","West Midlands (England)","30-39","6310","5940","29400","27570"
"In post","2021","West Midlands (England)","40-49","7200","6680","32410","27570"
"In post","2021","West Midlands (England)","50-59","9450","8800","31610","27570"
"In post","2021","West Midlands (England)","60-64","2500","2070","29400","27380"
"In post","2021","West Midlands (England)","65+","680","520","28290","26510"
"In post","2021","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Yorkshire and The Humber","16-19","100","100","21210","20880"
"In post","2021","Yorkshire and The Humber","20-29","5800","5710","26200","25300"
"In post","2021","Yorkshire and The Humber","30-39","7490","6990","30800","27570"
"In post","2021","Yorkshire and The Humber","40-49","8630","7980","33600","29180"
"In post","2021","Yorkshire and The Humber","50-59","11090","10310","32920","27570"
"In post","2021","Yorkshire and The Humber","60-64","2780","2200","29660","27570"
"In post","2021","Yorkshire and The Humber","65+","710","520","28290","26670"
"In post","2021","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","16-19","50","50","22090","21250"
"In post","2022","East Midlands (England)","20-29","3500","3440","26120","25480"
"In post","2022","East Midlands (England)","30-39","4640","4360","29990","27570"
"In post","2022","East Midlands (England)","40-49","5300","4930","32430","27570"
"In post","2022","East Midlands (England)","50-59","7060","6590","32190","27570"
"In post","2022","East Midlands (England)","60-64","1960","1640","29130","27130"
"In post","2022","East Midlands (England)","65+","490","370","29250","26780"
"In post","2022","East of England","16-19","50","50","[c]","[c]"
"In post","2022","East of England","20-29","3040","3000","26760","26140"
"In post","2022","East of England","30-39","4190","3950","30830","29290"
"In post","2022","East of England","40-49","5290","4910","32880","29290"
"In post","2022","East of England","50-59","7410","6980","32800","29290"
"In post","2022","East of England","60-64","2190","1880","30550","27570"
"In post","2022","East of England","65+","750","580","29890","27370"
"In post","2022","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","London","16-19","150","140","25510","25170"
"In post","2022","London","20-29","23950","23800","36640","33710"
"In post","2022","London","30-39","25210","24500","46210","42470"
"In post","2022","London","40-49","22770","21670","48960","43810"
"In post","2022","London","50-59","24150","23310","45250","38360"
"In post","2022","London","60-64","6180","5530","41070","33910"
"In post","2022","London","65+","2420","2010","37780","31060"
"In post","2022","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","16-19","80","70","21860","21250"
"In post","2022","North East (England)","20-29","4600","4510","26310","25000"
"In post","2022","North East (England)","30-39","6920","6490","29980","27130"
"In post","2022","North East (England)","40-49","8020","7410","31620","27570"
"In post","2022","North East (England)","50-59","9640","8700","30710","27570"
"In post","2022","North East (England)","60-64","3130","2360","27460","22510"
"In post","2022","North East (England)","65+","710","510","25670","22080"
"In post","2022","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","16-19","150","150","22160","21260"
"In post","2022","North West (England)","20-29","9770","9610","26630","25120"
"In post","2022","North West (England)","30-39","13700","13030","30550","27570"
"In post","2022","North West (England)","40-49","15190","14180","32150","27570"
"In post","2022","North West (England)","50-59","18830","17500","31870","27570"
"In post","2022","North West (England)","60-64","5260","4200","28910","26820"
"In post","2022","North West (England)","65+","1410","1030","28040","26120"
"In post","2022","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","20-29","560","540","25460","24500"
"In post","2022","Northern Ireland","30-39","1000","960","30160","26820"
"In post","2022","Northern Ireland","40-49","1090","1030","30700","26820"
"In post","2022","Northern Ireland","50-59","1250","1190","30640","26820"
"In post","2022","Northern Ireland","60-64","270","240","28480","25310"
"In post","2022","Northern Ireland","65+","90","70","26700","21680"
"In post","2022","Overseas","20-29","330","330","35670","33230"
"In post","2022","Overseas","30-39","1030","1030","46720","49920"
"In post","2022","Overseas","40-49","1150","1150","52570","54020"
"In post","2022","Overseas","50-59","970","960","52380","52400"
"In post","2022","Overseas","60-64","180","170","56030","54330"
"In post","2022","Overseas","65+","30","30","[c]","[c]"
"In post","2022","Scotland","16-19","140","130","21550","21250"
"In post","2022","Scotland","20-29","7550","7420","27530","26590"
"In post","2022","Scotland","30-39","11640","11160","33480","30830"
"In post","2022","Scotland","40-49","11370","10730","36480","31540"
"In post","2022","Scotland","50-59","14930","13990","34760","29900"
"In post","2022","Scotland","60-64","4250","3410","31610","27570"
"In post","2022","Scotland","65+","1130","850","30350","26900"
"In post","2022","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","16-19","130","130","22390","21680"
"In post","2022","South East (England)","20-29","5890","5810","27660","27010"
"In post","2022","South East (England)","30-39","7790","7370","32090","29580"
"In post","2022","South East (England)","40-49","9250","8680","34490","30730"
"In post","2022","South East (England)","50-59","13510","12680","33480","29290"
"In post","2022","South East (England)","60-64","4330","3650","31250","27570"
"In post","2022","South East (England)","65+","1720","1340","30170","26830"
"In post","2022","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","16-19","180","180","19570","19460"
"In post","2022","South West (England)","20-29","7350","7260","27750","27000"
"In post","2022","South West (England)","30-39","10050","9510","34440","33000"
"In post","2022","South West (England)","40-49","10530","9910","37660","33900"
"In post","2022","South West (England)","50-59","13480","12810","37090","33300"
"In post","2022","South West (England)","60-64","3830","3290","34380","30160"
"In post","2022","South West (England)","65+","1290","1020","31910","27570"
"In post","2022","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","16-19","40","40","[c]","[c]"
"In post","2022","Unknown","20-29","800","800","29380","28980"
"In post","2022","Unknown","30-39","670","650","36750","32700"
"In post","2022","Unknown","40-49","660","640","39170","33570"
"In post","2022","Unknown","50-59","870","840","39420","34290"
"In post","2022","Unknown","60-64","230","210","37480","33570"
"In post","2022","Unknown","65+","50","50","33920","30780"
"In post","2022","Wales","16-19","140","120","20250","19450"
"In post","2022","Wales","20-29","5500","5390","26380","24730"
"In post","2022","Wales","30-39","9210","8670","30940","27570"
"In post","2022","Wales","40-49","9140","8550","34440","29430"
"In post","2022","Wales","50-59","9930","9290","33740","27570"
"In post","2022","Wales","60-64","3020","2390","30530","26820"
"In post","2022","Wales","65+","960","690","30600","26120"
"In post","2022","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","West Midlands (England)","16-19","70","70","22080","21260"
"In post","2022","West Midlands (England)","20-29","5090","4990","26480","25120"
"In post","2022","West Midlands (England)","30-39","7070","6700","30470","27570"
"In post","2022","West Midlands (England)","40-49","7640","7140","33530","27570"
"In post","2022","West Midlands (England)","50-59","9690","9040","32300","27570"
"In post","2022","West Midlands (England)","60-64","2820","2320","30090","27570"
